Wavelength [nm],Intensity,
175.764,226.91675,
176.337,252.53297,
176.910,231.22358,
177.483,264.86772,
178.056,242.14209,
178.629,236.30218,
179.202,245.19448,
179.776,248.82176,
180.349,257.56105,
180.922,247.73592,
181.495,240.19352,
182.068,255.68236,
182.641,250.4449,
183.214,229.51391,
183.787,234.29955,
184.360,236.54979,
184.933,253.05441,
185.506,274.59683,
186.079,258.32738,
186.652,233.54724,
187.226,245.63414,
187.799,261.47548,
188.372,259.37134,
188.945,243.26807,
189.518,226.93123,
190.091,241.7733,
190.664,254.03206,
191.237,246.96817,
191.810,241.1131,
192.383,254.55398,
192.956,252.22158,
193.529,254.69556,
194.102,270.12291,
194.675,259.28496,
195.249,236.46995,
195.822,232.22751,
196.395,236.55391,
196.968,250.12108,
197.541,232.71022,
198.114,243.68536,
198.687,223.11172,
199.260,256.65787,
199.833,226.46816,
200.406,249.50014,
200.979,242.80831,
201.552,243.79208,
202.125,260.75879,
202.699,272.16679,
203.272,244.90378,
203.845,227.46056,
204.418,243.86494,
204.991,243.8452,
205.564,242.33355,
206.137,256.17892,
206.710,263.10802,
207.283,246.26334,
207.856,219.90571,
208.429,213.47129,
209.002,228.41749,
209.575,235.35071,
210.149,237.79951,
210.722,249.34167,
211.295,215.68364,
211.868,219.92764,
212.441,252.94414,
213.014,208.25217,
213.587,236.18702,
214.160,216.99265,
214.733,217.88961,
215.306,221.03299,
215.879,202.61669,
216.452,222.31676,
217.025,226.32227,
217.599,225.87168,
218.172,209.62296,
218.745,208.9329,
219.318,213.16429,
219.891,199.93349,
220.464,200.04727,
221.037,205.77503,
221.610,193.65968,
222.183,193.98936,
222.756,192.60256,
223.329,208.39894,
223.902,208.72575,
224.475,214.9148,
225.049,204.60206,
225.622,234.72549,
226.195,212.55461,
226.768,201.53854,
227.341,190.8296,
227.914,215.44846,
228.487,202.20708,
229.060,201.3586,
229.633,210.49497,
230.206,210.86071,
230.779,210.09798,
231.352,198.3482,
231.925,187.39718,
232.498,199.70047,
233.072,190.94288,
233.645,178.29297,
234.218,197.39202,
234.791,183.98914,
235.364,184.38583,
235.937,211.13741,
236.510,216.04227,
237.083,195.49022,
237.656,207.54868,
238.229,186.74067,
238.802,186.4782,
239.375,186.5804,
239.948,196.05682,
240.522,211.12808,
241.095,201.84757,
241.668,176.44092,
242.241,207.13492,
242.814,206.65271,
243.387,220.5441,
243.960,217.66299,
244.533,220.74128,
245.106,212.58034,
245.679,205.95168,
246.252,216.36708,
246.825,210.19026,
247.398,204.81116,
247.972,218.55873,
248.545,213.24679,
249.118,218.35591,
249.691,222.12322,
250.264,215.22454,
250.837,212.20238,
251.410,206.22206,
251.983,186.53942,
252.556,202.09343,
253.129,187.83927,
253.702,211.17114,
254.275,199.73326,
254.848,205.14289,
255.422,207.15695,
255.995,196.31687,
256.568,214.29554,
257.141,225.22842,
257.714,220.81305,
258.287,196.25894,
258.860,207.11475,
259.433,221.99585,
260.006,207.91661,
260.579,208.49174,
261.152,217.47361,
261.725,218.76302,
262.298,224.92698,
262.871,210.23913,
263.445,202.8288,
264.018,221.64315,
264.591,192.99074,
265.164,185.91161,
265.737,194.63047,
266.310,196.32532,
