Wavelength [nm]	Wavenumbers [1/cm]	from clipboard (1)	from clipboard (2)	from clipboard (3)	from clipboard (4)	from clipboard (5)	from clipboard (6)	from clipboard (7)	from clipboard (8)	from clipboard (9)	from clipboard (10)	from clipboard (11)	from clipboard (12)	from clipboard (13)	from clipboard (14)	from clipboard (15)	from clipboard (16)	from clipboard (17)	from clipboard (18)	from clipboard (19)	from clipboard (20)	from clipboard (21)	from clipboard (22)	from clipboard (23)	from clipboard (24)	from clipboard (25)	from clipboard (26)	from clipboard (27)	from clipboard (28)	from clipboard (29)	from clipboard (30)	from clipboard (31)	from clipboard (32)	from clipboard (33)	from clipboard (34)	from clipboard (35)	from clipboard (36)	from clipboard (37)	from clipboard (38)	from clipboard (39)	from clipboard (40)	from clipboard (41)	from clipboard (42)	from clipboard (43)	from clipboard (44)	from clipboard (45)	from clipboard (46)	from clipboard (47)	from clipboard (48)	from clipboard (49)	from clipboard (50)	from clipboard (51)	from clipboard (52)	from clipboard (53)	from clipboard (54)	from clipboard (55)	from clipboard (56)	from clipboard (57)	from clipboard (58)	from clipboard (59)	from clipboard (60)	from clipboard (61)	from clipboard (62)	from clipboard (63)	from clipboard (64)	from clipboard (65)	from clipboard (66)	from clipboard (67)	from clipboard (68)	from clipboard (69)	from clipboard (70)	from clipboard (71)	from clipboard (72)	from clipboard (73)	from clipboard (74)	from clipboard (75)	from clipboard (76)	from clipboard (77)	from clipboard (78)	from clipboard (79)	from clipboard (80)	from clipboard (81)	from clipboard (82)	from clipboard (83)	from clipboard (84)	from clipboard (85)	from clipboard (86)	from clipboard (87)	from clipboard (88)	from clipboard (89)	from clipboard (90)	from clipboard (91)	from clipboard (92)	from clipboard (93)	from clipboard (94)	from clipboard (95)	from clipboard (96)	from clipboard (97)	from clipboard (98)	from clipboard (99)	from clipboard (100)	from clipboard (101)	from clipboard (102)	from clipboard (103)	from clipboard (104)	from clipboard (105)	from clipboard (106)	from clipboard (107)	from clipboard (108)	from clipboard (109)	from clipboard (110)	from clipboard (111)	from clipboard (112)	from clipboard (113)	from clipboard (114)	from clipboard (115)	from clipboard (116)	from clipboard (117)	from clipboard (118)	from clipboard (119)	from clipboard (120)	from clipboard (121)
187.798	53248.70	0.1065	0.104	0.1017	0.1142	0.1042	0.1022	0.1053	0.1098	0.1045	0.1063	0.1026	0.1033	0.1009	0.1008	0.09438	0.1008	0.09829	0.1007	0.1017	0.09785	0.09154	0.09776	0.09462	0.09387	0.09589	0.09517	0.09404	0.09897	0.09881	0.09132	0.08667	0.09264	0.08425	0.0848	0.09017	0.08617	0.09215	0.09598	0.09331	0.09147	0.08425	0.08911	0.08423	0.08357	0.09017	0.08821	0.08657	0.0866	0.09308	0.0906	0.08871	0.08538	0.08415	0.08179	0.0831	0.09026	0.09133	0.09023	0.08934	0.08837	0.08875	0.08587	0.09587	0.09151	0.09389	0.09215	0.08958	0.08593	0.0827	0.08521	0.08693	0.09028	0.08853	0.08864	0.09111	0.09005	0.09029	0.09118	0.08601	0.08866	0.09142	0.09023	0.08431	0.09227	0.08778	0.08818	0.08415	0.09186	0.08273	0.08822	0.08328	0.07836	0.08719	0.08485	0.09251	0.09305	0.08728	0.08937	0.09133	0.09217	0.08985	0.08336	0.08996	0.08907	0.09196	0.08824	0.09166	0.08552	0.08739	0.08405	0.08416	0.0849	0.08731	0.08698	0.08995	0.08159	0.08023	0.08978	0.08673	0.09339	0.09031
188.371	53086.71	0.1134	0.1096	0.1074	0.1178	0.1108	0.1062	0.1074	0.1112	0.1104	0.1143	0.1076	0.1093	0.1055	0.104	0.1015	0.103	0.1012	0.1059	0.1091	0.1029	0.09959	0.1006	0.09623	0.09801	0.09823	0.09944	0.09986	0.1001	0.09806	0.09584	0.09202	0.09714	0.094	0.09066	0.09097	0.08908	0.09407	0.09713	0.09509	0.09323	0.08829	0.09267	0.09001	0.08775	0.09295	0.09413	0.09143	0.092	0.09781	0.09384	0.09205	0.09082	0.0901	0.08959	0.09013	0.09375	0.09565	0.0931	0.09164	0.0943	0.09213	0.08913	0.09913	0.09803	0.09629	0.09344	0.09405	0.08836	0.08992	0.09316	0.09201	0.09508	0.09365	0.09179	0.09441	0.09396	0.09244	0.09567	0.0893	0.09324	0.09363	0.0941	0.09145	0.09735	0.09383	0.093	0.08783	0.09551	0.08746	0.09214	0.08592	0.08512	0.08874	0.09069	0.09637	0.09642	0.09262	0.09535	0.09374	0.09327	0.09161	0.08777	0.09181	0.09403	0.09453	0.09459	0.09551	0.09089	0.09229	0.08927	0.08859	0.08741	0.09085	0.09272	0.09371	0.0853	0.08788	0.09236	0.08946	0.09676	0.09179
188.944	52925.69	0.1165	0.1122	0.1094	0.119	0.1138	0.1083	0.1081	0.1109	0.113	0.1179	0.1097	0.1119	0.1075	0.1053	0.1047	0.1034	0.1024	0.1081	0.1117	0.1047	0.1034	0.1017	0.09695	0.09926	0.09925	0.1012	0.1024	0.09977	0.09749	0.09784	0.09454	0.09881	0.09868	0.09357	0.09152	0.09026	0.09479	0.0972	0.09594	0.09377	0.09018	0.09396	0.09282	0.08976	0.09409	0.09675	0.09367	0.09448	0.0999	0.09552	0.09328	0.09364	0.0929	0.09364	0.09354	0.09507	0.09732	0.09442	0.09306	0.09703	0.09353	0.09074	0.1003	0.1013	0.09721	0.0937	0.09553	0.08946	0.09358	0.09704	0.09402	0.09709	0.09614	0.09326	0.0961	0.09577	0.09311	0.09738	0.09056	0.09502	0.09429	0.09546	0.09573	0.09901	0.09633	0.09523	0.08991	0.09691	0.08972	0.09358	0.08744	0.08868	0.08907	0.09328	0.09828	0.09767	0.09506	0.09803	0.09501	0.09326	0.09254	0.08958	0.09276	0.0965	0.0958	0.09727	0.09669	0.09333	0.09454	0.0918	0.09067	0.08888	0.09247	0.09538	0.09532	0.08781	0.09185	0.09355	0.0911	0.09818	0.09268
189.517	52765.65	0.1169	0.1127	0.1088	0.1184	0.1143	0.1088	0.1079	0.1096	0.1131	0.1184	0.1099	0.1121	0.1076	0.1053	0.1051	0.1025	0.1024	0.108	0.1108	0.1044	0.1041	0.1016	0.09715	0.09854	0.09936	0.1014	0.1026	0.09861	0.09716	0.09805	0.09502	0.09854	0.09961	0.09433	0.09199	0.0903	0.09473	0.09662	0.09619	0.09352	0.09052	0.0937	0.09354	0.09024	0.09414	0.09704	0.09406	0.09489	0.1001	0.09611	0.09307	0.09456	0.09343	0.09495	0.09435	0.09489	0.0971	0.09471	0.09387	0.09749	0.0936	0.0912	0.09987	0.1021	0.09713	0.09325	0.09494	0.0897	0.0946	0.09796	0.09391	0.09718	0.09674	0.09355	0.09666	0.09608	0.09283	0.09717	0.0905	0.09486	0.09393	0.09514	0.09783	0.09834	0.09634	0.09561	0.09086	0.09674	0.09022	0.09334	0.08818	0.08988	0.08867	0.09353	0.0988	0.09746	0.09547	0.09832	0.09548	0.09257	0.09292	0.08959	0.09311	0.09719	0.09619	0.09736	0.09606	0.09369	0.0949	0.09237	0.09113	0.08965	0.09277	0.0958	0.09542	0.08936	0.09311	0.09378	0.09195	0.09825	0.09311
190.090	52606.58	0.1156	0.1119	0.1069	0.1169	0.1133	0.1085	0.1073	0.1078	0.1117	0.1169	0.1089	0.1108	0.1068	0.1046	0.1038	0.1011	0.1019	0.1066	0.1079	0.1028	0.1028	0.1008	0.09722	0.09681	0.09898	0.1007	0.1015	0.09718	0.09714	0.0972	0.09427	0.09724	0.09814	0.09374	0.09255	0.0898	0.09431	0.09578	0.09617	0.09291	0.08995	0.09263	0.093	0.08985	0.09367	0.09591	0.09338	0.09409	0.09925	0.0961	0.0921	0.0943	0.09255	0.09454	0.09354	0.09388	0.09572	0.09448	0.09437	0.0966	0.09295	0.09101	0.09863	0.1013	0.09653	0.09241	0.0932	0.08953	0.09392	0.09699	0.09264	0.09619	0.09618	0.09313	0.09658	0.09547	0.09213	0.09587	0.0898	0.09363	0.09307	0.09398	0.09843	0.09639	0.09491	0.09493	0.09114	0.0957	0.08967	0.09223	0.0885	0.0896	0.08804	0.09234	0.09848	0.09641	0.09472	0.09714	0.09546	0.09163	0.09302	0.08863	0.09316	0.09682	0.09614	0.09592	0.09446	0.09281	0.09412	0.09172	0.09065	0.09004	0.09235	0.09483	0.09463	0.09024	0.09261	0.09346	0.09235	0.09755	0.09322
190.663	52448.46	0.1137	0.1102	0.1039	0.1149	0.1117	0.1073	0.1074	0.1061	0.1099	0.1138	0.107	0.1085	0.1063	0.1045	0.1019	0.1	0.1017	0.1045	0.1034	0.1007	0.1	0.1001	0.09771	0.09461	0.09876	0.1001	0.09962	0.09599	0.09732	0.09536	0.09245	0.09577	0.09496	0.09228	0.09399	0.0893	0.0939	0.09489	0.09628	0.09231	0.08947	0.09099	0.09183	0.0894	0.09331	0.09392	0.09186	0.09287	0.0973	0.09592	0.0909	0.09367	0.09035	0.09297	0.0918	0.09254	0.09303	0.0941	0.09536	0.09499	0.09221	0.09065	0.09629	0.09901	0.09586	0.09133	0.09042	0.08921	0.09194	0.0949	0.09108	0.09457	0.09518	0.09271	0.09658	0.09448	0.09178	0.09394	0.08907	0.09187	0.0918	0.09277	0.09802	0.09416	0.09247	0.09329	0.09129	0.09423	0.08834	0.09111	0.089	0.08838	0.08763	0.08975	0.09715	0.09462	0.09355	0.09493	0.09519	0.09072	0.09345	0.08759	0.09335	0.09609	0.09606	0.09345	0.09282	0.09164	0.09254	0.09028	0.0899	0.09044	0.09165	0.09247	0.09303	0.09025	0.09106	0.0926	0.09285	0.09643	0.09255
191.236	52291.28	0.1141	0.1104	0.1045	0.1152	0.112	0.1077	0.1084	0.1071	0.1094	0.1135	0.1061	0.1091	0.1075	0.1055	0.1025	0.1013	0.1043	0.1046	0.103	0.1013	0.09998	0.1015	0.1001	0.09572	0.09874	0.1012	0.1007	0.09699	0.09842	0.09585	0.09336	0.09672	0.0941	0.09238	0.09553	0.09048	0.09475	0.09567	0.09754	0.09307	0.08916	0.09184	0.09322	0.0901	0.09472	0.09421	0.09334	0.09361	0.09819	0.09696	0.09142	0.09394	0.09064	0.09371	0.09234	0.09273	0.0922	0.09573	0.09641	0.0959	0.09319	0.09157	0.09657	0.09806	0.09635	0.09079	0.0913	0.09037	0.09172	0.09499	0.09194	0.09561	0.09524	0.09252	0.09723	0.09407	0.09263	0.0942	0.09146	0.09258	0.09268	0.09389	0.0983	0.09465	0.09317	0.094	0.0924	0.09479	0.08876	0.09218	0.08994	0.08883	0.08952	0.08973	0.0981	0.09483	0.09451	0.09483	0.09527	0.09189	0.09362	0.08872	0.09392	0.09672	0.09759	0.09388	0.09307	0.09174	0.09312	0.0901	0.09095	0.09164	0.09279	0.09248	0.0934	0.0912	0.09139	0.09351	0.09367	0.09671	0.09226
191.810	52135.05	0.116	0.1129	0.1079	0.1178	0.1141	0.1099	0.1114	0.1097	0.1104	0.1155	0.1078	0.1112	0.1106	0.1083	0.1047	0.104	0.1077	0.1064	0.1057	0.1038	0.1015	0.1044	0.1034	0.09857	0.1006	0.1047	0.1031	0.09983	0.1012	0.09841	0.09539	0.09953	0.09571	0.09454	0.09822	0.09375	0.09681	0.09794	0.09973	0.09512	0.09077	0.09533	0.09621	0.09244	0.09729	0.0963	0.09571	0.096	0.1016	0.09926	0.09397	0.0958	0.0938	0.09704	0.09454	0.09447	0.0943	0.09842	0.0982	0.09882	0.09614	0.094	0.09881	0.09883	0.09823	0.09207	0.09338	0.09374	0.09346	0.09687	0.09496	0.09871	0.09668	0.09368	0.09972	0.09604	0.09521	0.0968	0.09482	0.09489	0.09569	0.09721	0.09972	0.0972	0.09626	0.09755	0.0951	0.09674	0.09107	0.09497	0.09163	0.09126	0.09312	0.09212	0.1011	0.09732	0.09735	0.09644	0.09695	0.09397	0.0956	0.09098	0.09617	0.09877	0.1001	0.09672	0.09534	0.09412	0.09474	0.09158	0.09343	0.09383	0.09579	0.09454	0.09558	0.09241	0.09246	0.09587	0.09562	0.09878	0.09342
192.383	51979.75	0.1196	0.1176	0.1129	0.1205	0.1176	0.1139	0.1146	0.1144	0.1139	0.1189	0.1113	0.1152	0.1149	0.1113	0.1088	0.1078	0.1113	0.1101	0.1096	0.1082	0.1053	0.1081	0.1074	0.1035	0.1045	0.1096	0.1069	0.104	0.1045	0.102	0.09897	0.104	0.09937	0.09758	0.102	0.09749	0.1009	0.1022	0.1026	0.09905	0.09362	0.09995	0.09997	0.09586	0.1011	0.1009	0.09899	0.09964	0.1054	0.1025	0.09739	0.09931	0.09779	0.1004	0.09859	0.0981	0.09807	0.1017	0.1006	0.1023	0.09918	0.09745	0.1026	0.1014	0.1017	0.0943	0.09724	0.09784	0.09661	0.1004	0.09885	0.1029	0.1005	0.09648	0.103	0.0993	0.09939	0.1006	0.09848	0.09898	0.09976	0.1016	0.1013	0.1017	0.09948	0.1014	0.09791	0.1003	0.09489	0.09936	0.09507	0.0944	0.0969	0.09599	0.1048	0.1003	0.1011	0.09967	0.09987	0.09785	0.09881	0.09458	0.09994	0.1028	0.1025	0.1007	0.0992	0.09793	0.09845	0.09495	0.09698	0.09704	0.0997	0.09824	0.099	0.09507	0.09534	0.09929	0.09839	0.1017	0.0959
192.956	51825.37	0.1262	0.1247	0.1191	0.1262	0.1233	0.1198	0.1208	0.1214	0.1205	0.1248	0.1162	0.1213	0.1213	0.1174	0.1146	0.1137	0.1172	0.1166	0.116	0.1146	0.1119	0.1135	0.113	0.1097	0.1109	0.1152	0.1129	0.1095	0.1097	0.107	0.1051	0.1102	0.1053	0.1036	0.1065	0.104	0.1075	0.1089	0.1068	0.1048	0.09893	0.1066	0.1054	0.1007	0.1064	0.1067	0.1042	0.1052	0.1113	0.1075	0.1027	0.1044	0.1033	0.1055	0.1045	0.1045	0.1037	0.1068	0.1051	0.1077	0.1042	0.1028	0.1083	0.1073	0.1071	0.09922	0.103	0.1032	0.1014	0.1065	0.1045	0.1088	0.106	0.1017	0.1085	0.1043	0.1045	0.1063	0.1039	0.1048	0.1048	0.1077	0.1059	0.1076	0.1045	0.1072	0.1029	0.1054	0.1009	0.1058	0.1007	0.1004	0.1024	0.1012	0.1096	0.1053	0.1065	0.1046	0.1046	0.1028	0.1041	0.1	0.105	0.108	0.1075	0.1067	0.1051	0.1033	0.1053	0.09975	0.1022	0.1021	0.1058	0.1032	0.1045	0.0997	0.1009	0.1042	0.1027	0.1069	0.1007
