Wavelength [nm]	Wavenumbers [1/cm]	cis_azobenzene_epsilons
250.000	40000.00	9235
250.100	39984.01	9195
250.200	39968.03	9155
250.300	39952.06	9114
250.400	39936.10	9073
250.500	39920.16	9033
250.600	39904.23	8989
250.700	39888.31	8947
250.800	39872.41	8904
250.900	39856.52	8861
251.000	39840.64	8815
251.100	39824.77	8771
251.200	39808.92	8724
251.300	39793.08	8679
251.400	39777.25	8632
251.500	39761.43	8586
251.600	39745.63	8540
251.700	39729.84	8493
251.800	39714.06	8447
251.900	39698.29	8397
252.000	39682.54	8351
252.100	39666.80	8303
252.200	39651.07	8255
252.300	39635.35	8204
252.400	39619.65	8155
252.500	39603.96	8103
252.600	39588.28	8055
252.700	39572.62	8003
252.800	39556.96	7955
252.900	39541.32	7902
253.000	39525.69	7854
253.100	39510.08	7803
253.200	39494.47	7752
253.300	39478.88	7701
253.400	39463.30	7649
253.500	39447.73	7601
253.600	39432.18	7548
253.700	39416.63	7498
253.800	39401.10	7444
253.900	39385.58	7395
254.000	39370.08	7341
254.100	39354.58	7291
254.200	39339.10	7238
254.300	39323.63	7189
254.400	39308.18	7139
254.500	39292.73	7088
254.600	39277.30	7038
254.700	39261.88	6987
254.800	39246.47	6939
254.900	39231.07	6886
255.000	39215.69	6837
255.100	39200.31	6784
255.200	39184.95	6736
255.300	39169.60	6684
255.400	39154.27	6637
255.500	39138.94	6586
255.600	39123.63	6539
255.700	39108.33	6492
255.800	39093.04	6443
255.900	39077.76	6396
256.000	39062.50	6347
256.100	39047.25	6303
256.200	39032.01	6254
256.300	39016.78	6210
256.400	39001.56	6161
256.500	38986.35	6117
256.600	38971.16	6071
256.700	38955.98	6027
256.800	38940.81	5981
256.900	38925.65	5940
257.000	38910.51	5897
257.100	38895.37	5855
257.200	38880.25	5813
257.300	38865.14	5771
257.400	38850.04	5732
257.500	38834.95	5690
257.600	38819.88	5652
257.700	38804.81	5610
257.800	38789.76	5572
257.900	38774.72	5533
258.000	38759.69	5496
258.100	38744.67	5458
258.200	38729.67	5423
258.300	38714.67	5388
258.400	38699.69	5353
258.500	38684.72	5320
258.600	38669.76	5284
258.700	38654.81	5252
258.800	38639.88	5218
258.900	38624.95	5187
259.000	38610.04	5154
259.100	38595.14	5124
259.200	38580.25	5092
259.300	38565.37	5065
259.400	38550.50	5034
259.500	38535.65	5007
259.600	38520.80	4979
259.700	38505.97	4953
259.800	38491.15	4927
259.900	38476.34	4901
260.000	38461.54	4877
260.100	38446.75	4852
260.200	38431.98	4830
260.300	38417.21	4805
260.400	38402.46	4783
260.500	38387.72	4760
260.600	38372.99	4739
260.700	38358.27	4718
260.800	38343.56	4699
260.900	38328.86	4680
261.000	38314.18	4661
261.100	38299.50	4643
261.200	38284.84	4626
261.300	38270.19	4609
261.400	38255.55	4592
261.500	38240.92	4577
261.600	38226.30	4561
261.700	38211.69	4546
261.800	38197.10	4532
261.900	38182.51	4519
262.000	38167.94	4506
262.100	38153.38	4493
262.200	38138.83	4481
262.300	38124.29	4470
262.400	38109.76	4459
262.500	38095.24	4450
262.600	38080.73	4439
262.700	38066.24	4430
262.800	38051.75	4422
262.900	38037.28	4413
263.000	38022.81	4405
263.100	38008.36	4397
263.200	37993.92	4390
263.300	37979.49	4383
263.400	37965.07	4378
263.500	37950.66	4371
263.600	37936.27	4367
263.700	37921.88	4362
263.800	37907.51	4357
263.900	37893.14	4354
264.000	37878.79	4349
264.100	37864.45	4346
264.200	37850.11	4344
264.300	37835.79	4341
264.400	37821.48	4339
264.500	37807.18	4337
264.600	37792.89	4335
264.700	37778.62	4334
264.800	37764.35	4333
264.900	37750.09	4333
265.000	37735.85	4333
265.100	37721.61	4333
265.200	37707.39	4333
265.300	37693.18	4334
265.400	37678.98	4335
265.500	37664.78	4336
265.600	37650.60	4337
265.700	37636.43	4339
265.800	37622.27	4342
265.900	37608.12	4343
266.000	37593.98	4345
266.100	37579.86	4348
266.200	37565.74	4351
266.300	37551.63	4354
266.400	37537.54	4358
266.500	37523.45	4361
266.600	37509.38	4365
266.700	37495.31	4368
266.800	37481.26	4373
266.900	37467.22	4376
267.000	37453.18	4381
267.100	37439.16	4385
267.200	37425.15	4389
267.300	37411.15	4394
267.400	37397.16	4400
267.500	37383.18	4405
267.600	37369.21	4410
267.700	37355.25	4415
267.800	37341.30	4420
267.900	37327.36	4425
268.000	37313.43	4431
268.100	37299.52	4437
268.200	37285.61	4442
268.300	37271.71	4448
268.400	37257.82	4454
268.500	37243.95	4461
268.600	37230.08	4467
268.700	37216.23	4474
268.800	37202.38	4479
268.900	37188.55	4486
269.000	37174.72	4492
269.100	37160.91	4499
269.200	37147.10	4505
269.300	37133.31	4511
269.400	37119.52	4517
269.500	37105.75	4524
269.600	37091.99	4531
269.700	37078.24	4537
269.800	37064.49	4545
269.900	37050.76	4550
270.000	37037.04	4558
270.100	37023.32	4565
270.200	37009.62	4571
270.300	36995.93	4578
270.400	36982.25	4585
270.500	36968.58	4591
270.600	36954.92	4597
270.700	36941.26	4604
270.800	36927.62	4611
270.900	36913.99	4617
271.000	36900.37	4624
271.100	36886.76	4631
271.200	36873.16	4637
271.300	36859.57	4644
271.400	36845.98	4651
271.500	36832.41	4657
271.600	36818.85	4663
271.700	36805.30	4670
271.800	36791.76	4675
271.900	36778.23	4682
272.000	36764.71	4688
272.100	36751.19	4694
272.200	36737.69	4701
272.300	36724.20	4706
272.400	36710.72	4713
272.500	36697.25	4719
272.600	36683.79	4725
272.700	36670.33	4730
272.800	36656.89	4737
272.900	36643.46	4742
273.000	36630.04	4748
273.100	36616.62	4754
273.200	36603.22	4759
273.300	36589.83	4765
273.400	36576.44	4771
273.500	36563.07	4776
273.600	36549.71	4782
273.700	36536.35	4787
273.800	36523.01	4792
