Wavelength [nm]	Wavenumbers [1/cm]	Intensity
175.764	56894.47	8.276
176.337	56709.57	33.89
176.910	56525.87	12.58
177.483	56343.35	46.23
178.056	56162.01	23.5
178.629	55981.83	17.66
179.202	55802.81	26.55
179.776	55624.92	30.18
180.349	55448.17	38.92
180.922	55272.54	29.09
181.495	55098.01	21.55
182.068	54924.58	37.04
182.641	54752.25	31.8
183.214	54580.99	10.87
183.787	54410.80	15.66
184.360	54241.66	17.91
184.933	54073.58	34.41
185.506	53906.53	55.96
186.079	53740.51	39.69
186.652	53575.51	14.91
187.226	53411.52	26.99
187.799	53248.54	42.83
188.372	53086.54	40.73
188.945	52925.53	24.63
189.518	52765.49	8.29
190.091	52606.41	23.13
190.664	52448.30	35.39
191.237	52291.12	28.33
191.810	52134.89	22.47
192.383	51979.59	35.91
192.956	51825.21	33.58
193.529	51671.75	36.05
194.102	51519.19	51.48
194.675	51367.53	40.64
195.249	51216.76	17.83
195.822	51066.88	13.59
196.395	50917.87	17.91
196.968	50769.72	31.48
197.541	50622.43	14.07
198.114	50476.00	25.04
198.687	50330.41	4.471
199.260	50185.66	38.02
199.833	50041.74	7.827
200.406	49898.64	30.86
200.979	49756.36	24.17
201.552	49614.89	25.15
202.125	49474.22	42.12
202.699	49334.34	53.53
203.272	49195.26	26.26
203.845	49056.95	8.82
204.418	48919.42	25.22
204.991	48782.66	25.2
205.564	48646.67	23.69
206.137	48511.42	37.54
206.710	48376.93	44.47
207.283	48243.19	27.62
207.856	48110.18	1.265
208.429	47977.90	-5.17
209.002	47846.34	9.776
209.575	47715.51	16.71
210.149	47585.39	19.16
210.722	47455.98	30.7
211.295	47327.27	-2.957
211.868	47199.25	1.287
212.441	47071.93	34.3
213.014	46945.29	-10.39
213.587	46819.33	17.55
214.160	46694.05	-1.648
214.733	46569.43	-0.7514
215.306	46445.48	2.392
215.879	46322.18	-16.02
216.452	46199.54	3.676
217.025	46077.55	7.681
217.599	45956.19	7.231
218.172	45835.48	-9.018
218.745	45715.40	-9.708
219.318	45595.95	-5.477
219.891	45477.11	-18.71
220.464	45358.90	-18.59
221.037	45241.30	-12.87
221.610	45124.31	-24.98
222.183	45007.92	-24.65
222.756	44892.13	-26.04
223.329	44776.93	-10.24
223.902	44662.33	-9.915
224.475	44548.31	-3.726
225.049	44434.87	-14.04
225.622	44322.00	16.08
226.195	44209.71	-6.086
226.768	44097.98	-17.1
227.341	43986.82	-27.81
