Wavelength [nm]	Wavenumbers [1/cm]	2107362U1_0001	2107362U1_0002	2107362U1_0003	2107362U1_0004	2107362U1_0005	2107362U1_0006	2107362U1_0007	2107362U1_0008	2107362U1_0009	2107362U1_0010	2107362U1_0011	2107362U1_0012	2107362U1_0013	2107362U1_0014	2107362U1_0015	2107362U1_0016	2107362U1_0017	2107362U1_0018	2107362U1_0019	2107362U1_0020	2107362U1_0021	2107362U1_0022	2107362U1_0023	2107362U1_0024	2107362U1_0025	2107362U1_0026	2107362U1_0027	2107362U1_0028	2107362U1_0029	2107362U1_0030	2107362U1_0031	2107362U1_0032	2107362U1_0033	2107362U1_0034	2107362U1_0035	2107362U1_0036	2107362U1_0037	2107362U1_0038	2107362U1_0039	2107362U1_0040	2107362U1_0041	2107362U1_0042	2107362U1_0043	2107362U1_0044	2107362U1_0045	2107362U1_0046	2107362U1_0047	2107362U1_0048	2107362U1_0049	2107362U1_0050	2107362U1_0051	2107362U1_0052	2107362U1_0053	2107362U1_0054	2107362U1_0055	2107362U1_0056	2107362U1_0057	2107362U1_0058	2107362U1_0059	2107362U1_0060	2107362U1_0061	2107362U1_0062	2107362U1_0063	2107362U1_0064	2107362U1_0065	2107362U1_0066	2107362U1_0067	2107362U1_0068	2107362U1_0069	2107362U1_0070	2107362U1_0071	2107362U1_0072	2107362U1_0073	2107362U1_0074	2107362U1_0075	2107362U1_0076	2107362U1_0077	2107362U1_0078	2107362U1_0079	2107362U1_0080	2107362U1_0081	2107362U1_0082	2107362U1_0083	2107362U1_0084	2107362U1_0085	2107362U1_0086	2107362U1_0087	2107362U1_0088	2107362U1_0089	2107362U1_0090	2107362U1_0091	2107362U1_0092	2107362U1_0093	2107362U1_0094	2107362U1_0095	2107362U1_0096	2107362U1_0097	2107362U1_0098	2107362U1_0099	2107362U1_0100	2107362U1_0101	2107362U1_0102	2107362U1_0103	2107362U1_0104	2107362U1_0105	2107362U1_0106	2107362U1_0107	2107362U1_0108	2107362U1_0109	2107362U1_0110	2107362U1_0111	2107362U1_0112	2107362U1_0113	2107362U1_0114	2107362U1_0115	2107362U1_0116	2107362U1_0117	2107362U1_0118	2107362U1_0119	2107362U1_0120	2107362U1_0121	2107362U1_0122	2107362U1_0123	2107362U1_0124	2107362U1_0125	2107362U1_0126	2107362U1_0127	2107362U1_0128	2107362U1_0129	2107362U1_0130	2107362U1_0131	2107362U1_0132	2107362U1_0133	2107362U1_0134	2107362U1_0135	2107362U1_0136	2107362U1_0137	2107362U1_0138	2107362U1_0139	2107362U1_0140	2107362U1_0141	2107362U1_0142	2107362U1_0143	2107362U1_0144	2107362U1_0145	2107362U1_0146
175.355	57027.31	0.1927	0.01643	-0.01019	0.02698	0.04419	0.06097	-0.01196	0.09804	0.0154	0.1178	0.07366	0.1521	0.08684	0.1435	0.1318	0.08583	0.07809	0.1338	0.05355	0.07825	0.1117	0.08087	0.1338	0.05787	0.09711	0.07734	0.04639	0.1565	0.04717	0.1114	0.02506	0.08057	0.07768	0.1068	0.1302	0.006178	0.1861	0.0675	0.07937	0.09171	0.009855	0.1104	0.06903	0.04137	-0.02488	0.2035	-0.01639	0.1029	0.1621	0.1049	0.2291	0.1053	0.01088	0.1014	0.007381	0.0656	0.2267	0.2285	0.1126	0.2745	0.07601	0.1039	0.08184	0.04337	0.1939	0.1677	0.04189	0.07709	0.08071	0.1461	0.0895	0.07768	0.101	0.1144	0.1183	0.03228	0.1094	0.1486	0.1407	0.08761	0.16	0.1071	0.1262	0.05837	0.1009	0.1684	0.1683	0.04388	0.1196	0.02791	0.02828	0.0493	0.1274	0.1429	-0.03552	0.03592	0.05088	-0.0454	0.1249	0.1012	0.03578	0.1303	0.2048	0.06915	0.07747	0.05674	-0.01053	0.11	-0.003167	0.1266	0.07589	0.05746	0.04435	0.1112	-0.01	0.1278	0.1123	0.1173	0.1355	0.05775	0.07515	0.07502	0.0263	0.1599	0.02785	0.06114	0.1117	0.07167	0.07807	0.08161	0.168	0.1079	0.03044	0.08643	0.09268	0.1206	0.08157	0.07575	0.0977	0.053	0.01562	-0.01434	0.1204	0.07381	0.04877	0.1933
175.931	56840.38	0.4263	3.824	3.823	1.376	0.6436	3.826	0.9792	3.828	3.824	-0.07321	3.827	0.5109	-0.008923	-0.287	-0.01992	3.827	3.827	0.1728	3.826	0.4049	-0.0537	3.827	3.829	3.826	0.0923	-0.1023	-0.1826	-0.06702	0.3297	0.2292	-0.04332	3.827	0.511	0.5598	0.05584	3.824	0.1717	0.6068	0.02852	0.2378	1.165	3.828	0.2379	0.7041	0.07441	0.2364	0.0864	-0.01407	-0.002547	0.5785	0.1827	-0.121	-0.08748	3.828	3.824	-0.07185	-0.1301	-0.04195	0.2801	-0.3106	0.009938	0.4229	-0.1755	0.08133	0.9049	0.1231	1.525	3.827	0.4761	0.3133	0.2409	3.827	3.828	0.2439	0.3659	3.825	-0.1224	3.83	-0.2095	3.827	0.06619	-0.3383	3.829	0.573	0.03358	-0.09696	1.023	-0.01893	0.04959	-0.1766	-0.2161	3.826	3.829	3.83	3.822	3.825	3.826	1.456	0.1975	0.02645	0.7	-0.1035	0.1269	1.583	3.827	3.826	3.823	0.3514	3.823	3.829	3.827	0.5026	3.826	0.3197	3.823	0.3863	0.6276	0.6998	0.07311	3.826	3.827	3.827	3.825	3.831	-0.1077	0.3934	0.1651	3.827	3.827	0.147	0.2661	1.049	0.3126	3.827	3.828	3.829	3.827	0.01153	0.726	-0.0941	3.824	3.823	3.829	3.827	0.03233	0.316
176.508	56654.66	-0.04784	0.1888	0.3569	0.1983	-0.1148	0.2012	-0.00816	0.3055	0.7739	-0.03512	0.28	0.01047	-0.1464	-0.07806	-0.1145	0.2617	0.4617	0.05674	0.3586	-0.1017	-0.07077	0.4223	0.5143	0.4027	0.09536	-0.2084	-0.1425	-0.03467	-0.04585	-0.1978	-0.0755	0.1775	0.05546	-0.03902	-0.258	0.262	-0.158	-0.04213	0.7627	-0.04426	-0.2885	0.7209	0.2628	-0.1267	0.183	-0.1806	-0.1795	-0.213	-0.1829	0.0449	-0.3747	-0.1393	0.01154	0.3168	0.5097	-0.1635	-0.2591	-0.4427	-0.003846	-0.3651	-0.128	0.06631	-0.3406	-0.003571	0.06462	-0.127	0.02834	0.2765	0.1613	-0.1981	0.1815	0.5559	0.3688	0.1248	-0.1352	0.2071	-0.1562	0.3075	-0.02084	0.2627	-0.171	-0.2203	0.3102	0.001685	-0.03454	-0.07675	0.1806	-0.02572	0.02732	-0.3167	-0.04632	0.5139	0.5844	0.2087	0.5111	4	0.2177	0.3366	-0.01563	-0.225	0.1864	-0.1421	-0.1682	0.081	0.4449	0.3699	0.8974	-0.01621	0.992	0.3824	0.272	0.1524	0.3805	0.01505	0.5361	-0.2183	-0.1388	-0.1606	-0.1211	0.5699	0.6393	0.5072	0.4058	0.366	-0.01242	-0.179	-0.03195	0.5124	0.6576	-0.01581	0.188	0.01219	0.2061	0.3909	0.3196	0.6987	0.363	-0.1416	-0.07986	-0.1048	0.3868	0.444	0.3044	1.077	0.03697	-0.000702
177.085	56470.15	0.04052	0.02962	-0.03497	0.2623	-0.03619	0.04685	0.1124	-0.087	-0.04266	0.1341	0.2352	0.1289	0.01539	0.08319	0.3352	-0.025	0.1086	0.0493	-0.108	0.1542	0.2084	0.06754	0.1236	0.2761	0.1155	0.1325	0.2352	0.09427	0.2592	0.1489	0.2499	-0.1403	0.1561	0.1038	0.03393	0.08656	0.02686	0.2061	0.196	0.06771	0.00458	0.1237	-0.01293	-0.1039	0.1445	0.1409	0.03004	0.03373	0.3797	0.1672	0.32	0.3578	0.01563	0.1002	0.2285	0.02404	0.5505	0.2082	0.3386	0.04136	0.05854	0.1232	0.04641	0.2254	0.03778	0.01321	0.03292	0.005133	0.02272	0.04595	-0.07272	0.08014	0.2148	0.0133	0.4239	0.1137	0.1338	0.06797	0.3445	0.009861	0.07818	0.1469	0.02368	0.2603	0.07007	-0.14	0.064	0.03982	-0.004593	0.06502	0.1196	-0.1294	0.02095	-0.06051	-0.09246	0.5558	-0.0817	0.09151	0.1402	-0.1239	0.02329	-0.05017	0.05036	0.04538	0.09781	0.3289	0.1098	-0.1113	0.1391	0.05339	0.003265	0.002497	-0.162	0.03057	0.1622	0.02037	-0.2132	0.2883	-0.05207	0.03448	-0.005537	0.04318	-0.1148	-0.03196	0.04711	0.002877	0.05641	-0.06081	-0.005586	-0.0596	0.09516	0.09419	0.07129	-0.0726	0.007464	0.2472	-0.07369	0.2835	-0.05163	0.2201	0.0215	0.1304	0.0938	0.04453	0.0554	-0.005538
177.661	56286.85	0.1162	-0.08381	0.1938	0.1246	-0.02695	0.03878	0.1437	-0.05855	-0.07421	0.09899	0.03251	0.175	0.1654	0.01673	0.1817	0.09065	0.07818	0.1616	0.01702	0.1415	0.2115	-0.07117	-0.004736	0.03497	0.01739	0.1021	0.1429	0.223	0.07591	0.05073	-0.01853	0.0954	0.04507	0.02493	0.1589	-0.03715	0.1297	0.05419	-0.07785	0.07399	0.1518	0.02016	-0.09659	-0.003509	0.01317	0.1454	-0.03269	0.01591	0.1853	0.09353	0.1039	0.1215	0.07721	-0.06778	-0.03095	0.008502	0.08325	0.3278	0.09688	0.08019	0.1673	0.06328	0.1092	0.1772	0.1516	0.2596	0.1309	0.08274	-0.009986	0.07182	-0.09547	-0.02184	-0.007776	0.1298	0.1461	0.01414	-0.07268	0.1389	0.1545	-0.01674	0.07762	0.06633	0.002544	0.03753	-0.0793	-0.02787	0.08275	0.3548	0.02683	0.1216	0.01248	0.03286	-0.1057	-0.1283	-0.05665	0.04489	-0.04471	0.06716	0.0449	0.05944	0.1353	0.05694	0.09602	0.01509	0.131	0.09233	-0.0416	-0.04823	-0.02559	-0.01644	-0.07102	0.02602	-0.1528	0.08144	0.01841	0.05407	-0.04347	0.09864	0.02124	-0.0362	-0.01898	0.02929	-0.01025	0.02391	0.01016	0.06895	0.008118	-0.09811	-0.0512	-0.01265	0.116	0.06639	0.1742	0.01529	-0.02904	-0.01693	-0.002216	0.1963	0.03146	0.08297	-0.0157	-0.03138	-0.006514	-0.1133	0.001576	0.1306
178.238	56104.72	0.1077	-0.1499	-0.01457	0.04275	0.07805	-0.04761	-0.0008155	-0.01957	-0.1556	-0.07251	-0.1075	0.09623	-0.01717	0.1213	-0.01827	-0.01911	-0.09798	0.127	0.01139	0.008975	0.1301	-0.1426	-0.05393	-0.001986	-0.1122	0.04819	0.1084	0.1421	0.09058	0.05647	-0.06529	0.06746	-0.06814	0.2169	0.3099	0.05857	-0.04446	-0.03239	-0.08033	0.1558	0.00135	0.01368	-0.1307	-0.001452	-0.1065	0.2309	-0.0221	0.05399	-0.05091	0.02197	0.157	0.08003	-0.081	0.06123	-0.1208	-0.07427	0.03323	0.1987	0.1846	0.009943	0.166	0.009768	-0.003755	0.1094	0.1067	-0.03109	0.1155	0.004625	-0.03146	0.08229	0.01891	-0.1072	0.01619	0.03935	-0.006071	-0.08147	-0.01557	0.03688	-0.02152	-0.1493	0.006504	0.1198	-0.132	0.005019	0.04451	0.01075	0.04293	-0.002231	0.1008	-0.09624	0.1103	-0.007426	-0.01227	-0.1021	-0.1518	-0.001582	-0.1075	-0.08538	-0.1334	0.03111	0.03383	0.07571	0.0408	0.0004901	0.1259	0.1689	-0.08391	-0.09004	-0.09567	-0.01452	-0.07428	-0.05606	-0.1486	-0.05738	-0.05534	0.05052	-0.096	-0.09616	-0.02023	-0.04127	-0.1401	-0.05423	0.02658	-0.005481	0.08541	-0.04215	-0.08507	-0.1682	0.07618	0.07628	0.05959	0.0386	0.0746	-0.0702	-0.03599	0.01975	0.006104	0.09145	0.1441	-0.07678	-0.02251	-0.07725	-0.05997	-0.1452	-0.001323	0.01327
178.815	55923.78	0.7649	0.2473	0.2716	0.1115	0.2863	0.06246	-0.01934	0.1169	0.001713	0.1712	2.909	0.1674	0.06295	0.4854	0.01114	0.3345	0.09945	0.1151	0.1047	0.09896	0.3411	0.09966	0.1759	0.07464	0.04605	0.2048	0.2569	0.287	0.106	0.2104	0.172	0.2333	0.187	0.1907	0.2869	0.1288	0.3273	0.1363	0.05852	0.2453	0.143	0.1068	0.0495	0.2763	0.2424	0.3328	0.1288	0.1684	0.02254	0.142	0.2338	0.2458	0.03444	0.06656	0.1097	0.2848	0.0939	0.2785	0.1958	0.1236	0.1207	0.05271	0.9368	0.3104	0.2464	0.4269	0.2339	0.05	0.05699	0.6626	0.1757	0.08723	0.28	0.1422	0.05557	0.3105	0.3678	0.162	0.1724	0.07138	0.1559	0.1176	-0.03994	-0.05606	0.1813	0.4604	0.1901	0.1519	0.0165	0.3374	0.2014	0.1242	0.1046	0.1071	0.01676	0.116	0.01462	0.09119	0.1343	0.3278	0.2899	0.1285	0.1154	0.1032	0.2945	0.1517	0.1161	0.09697	0.05612	0.1854	-0.007599	-0.02799	0.07724	0.1677	0.005363	0.1614	0.08326	0.1536	0.1674	0.0002385	0.05296	0.03219	-0.01068	0.2471	0.2185	0.2585	0.05087	0.06145	0.1035	0.3011	0.1476	0.4433	0.2843	0.02991	0.05485	0.1468	0.02563	0.154	0.2704	0.3907	0.04856	0.00698	0.1199	0.0786	0.07732	0.219
179.392	55743.99	0.3352	0.1623	0.1127	0.1659	0.1943	0.2003	0.1637	0.1906	0.1371	0.0953	1.264	0.08804	0.03139	0.1545	0.01193	0.1011	0.09132	0.1279	0.1991	0.0636	0.05596	0.1031	0.0929	0.07446	0.08094	0.0844	0.09486	0.1007	0.09656	0.1287	0.1181	0.07974	0.1187	-0.003861	0.03945	0.1998	0.1294	0.03442	0.1167	0.1113	0.06208	0.1445	0.1572	0.1142	0.2369	0.1098	0.1193	0.1181	0.1062	0.08298	0.08322	0.1056	0.06273	0.04462	0.1388	0.1544	0.00572	0.05072	0.04965	0.04934	0.01304	0.03483	0.4269	0.06427	0.1027	0.2149	0.1271	0.1152	0.06754	0.2493	0.1154	0.09588	0.3068	0.2025	0.183	0.2472	0.1386	0.07812	0.1354	0.09508	0.07122	0.1274	0.2128	0.06852	0.1109	0.2251	0.1402	0.1511	-0.02779	0.1343	0.1125	0.09183	0.1207	0.3223	0.2179	0.1879	0.0371	0.2372	0.1091	0.08842	0.2142	0.1251	0.01701	0.1495	0.1511	0.1102	0.2236	0.1174	0.1236	0.1351	0.06681	0.02863	0.1159	0.1335	0.04528	0.08564	0.1665	0.1067	0.033	0.08265	0.07401	0.07171	0.08408	0.358	0.243	0.1759	0.07517	0.1765	0.0837	0.09748	0.1193	0.2275	0.14	0.1713	0.0303	0.2537	0.04031	0.02743	0.1966	0.3062	0.1639	0.08712	0.09459	0.1712	0.104	0.2309
179.968	55565.36	0.02213	0.0742	-0.1204	-0.1175	0.07853	-0.2176	-0.04626	-0.01773	-0.2143	0.2211	-0.02775	-0.0593	0.243	-0.06273	-0.08942	-0.0502	0.1147	-0.01666	-0.05491	0.1561	0.05075	-0.1339	-0.06809	-0.1303	0.1349	0.03395	2.592	2.589	0.05107	-0.04627	0.06425	0.0748	0.4856	-0.1653	0.7449	-0.07568	2.583	0.2165	-0.03159	-0.0464	0.1126	-0.04127	-0.01964	-0.124	-0.1193	-0.2179	-0.09491	-0.03686	0.256	-0.01824	0.513	0.1282	-0.08864	0.2592	-0.218	-0.01597	0.03545	2.568	2.589	0.134	0.05631	-0.06761	0.05077	0.02008	0.3697	-0.1728	2.613	-0.1633	-0.134	0.1671	2.617	-0.08958	-0.1387	0.2478	0.1587	0.2001	-0.1721	-0.02912	-0.1248	-0.2281	-0.1286	0.08195	0.2271	0.09859	-0.1029	0.02674	0.02937	0.1265	-0.2316	-0.001712	-0.05403	-0.02208	-0.2704	-0.1601	0.1986	-0.1263	-0.2439	-0.1361	-0.04105	0.06512	-0.1895	2.633	0.1236	-0.06089	-0.08771	0.2164	-0.0448	0.01954	-0.1757	-0.06408	0.01737	-0.2176	-0.2656	-0.03447	0.0131	-0.1522	-0.1622	2.606	0.131	-0.005316	-0.225	-0.1235	-0.1563	0.00584	-0.1628	-0.1705	-0.1905	-0.1202	-0.01399	-0.1609	0.05646	0.2201	0.02239	-0.08247	-0.1587	0.2693	-0.04004	-0.08166	-0.01664	-0.06194	-0.1135	-0.1223	0.07	-0.1834	-0.1886	0.0822
180.545	55387.87	0.5324	0.1475	0.1096	0.05541	0.3004	-0.1254	2.337	0.1769	2.25	0.424	0.01803	0.1155	0.2747	-0.04612	-0.06151	0.02499	0.06866	0.009536	0.1076	0.1139	0.1165	0.4738	0.4892	-0.001581	1.018	0.008214	1.816	1.841	0.2662	0.3039	0.3201	0.3178	0.5544	-0.0341	0.508	0.1261	1.659	0.2441	0.09073	0.06803	0.6607	0.09614	-0.1357	0.16	0.3498	0.1525	2.339	0.07913	0.4014	0.152	0.4855	0.06325	0.04513	0.7515	2.26	-0.09612	0.1358	1.666	1.515	0.2236	0.2133	-0.02399	0.03475	0.198	0.2922	0.06963	1.472	0.1558	2.323	0.5906	4	2.348	0.2024	0.1294	0.01024	0.05637	0.1867	0.2439	0.1407	-0.04067	2.337	2.438	0.4488	2.448	-0.01456	0.04784	0.2622	0.03247	2.282	0.09873	2.37	0.05784	0.7835	2.236	2.479	2.297	0.3166	0.3749	0.1994	0.3837	0.1062	1.648	2.501	0.1854	0.1029	0.1766	2.339	2.409	2.282	-0.0005649	2.408	0.1293	0.01428	0.1048	2.414	-0.05924	2.281	1.537	0.2292	0.5781	0.4774	0.3995	0.9356	0.2426	2.267	2.295	0.1037	0.7259	0.4506	2.324	0.07501	0.2408	1.021	0.1549	0.1352	0.1179	2.383	0.2273	2.375	0.02303	2.304	0.06296	0.4204	2.267	2.28	0.6846
