Wavelength [nm]	Wavenumbers [1/cm]	trans_azobenzene_epsilons
250.000	40000.00	2377
250.100	39984.01	2376
250.200	39968.03	2373
250.300	39952.06	2372
250.400	39936.10	2372
250.500	39920.16	2369
250.600	39904.23	2367
250.700	39888.31	2368
250.800	39872.41	2367
250.900	39856.52	2365
251.000	39840.64	2364
251.100	39824.77	2365
251.200	39808.92	2364
251.300	39793.08	2366
251.400	39777.25	2369
251.500	39761.43	2368
251.600	39745.63	2366
251.700	39729.84	2369
251.800	39714.06	2370
251.900	39698.29	2371
252.000	39682.54	2374
252.100	39666.80	2376
252.200	39651.07	2376
252.300	39635.35	2378
252.400	39619.65	2380
252.500	39603.96	2383
252.600	39588.28	2385
252.700	39572.62	2387
252.800	39556.96	2391
252.900	39541.32	2390
253.000	39525.69	2396
253.100	39510.08	2399
253.200	39494.47	2402
253.300	39478.88	2407
253.400	39463.30	2411
253.500	39447.73	2413
253.600	39432.18	2416
253.700	39416.63	2421
253.800	39401.10	2426
253.900	39385.58	2430
254.000	39370.08	2435
254.100	39354.58	2440
254.200	39339.10	2442
254.300	39323.63	2447
254.400	39308.18	2454
254.500	39292.73	2459
254.600	39277.30	2463
254.700	39261.88	2470
254.800	39246.47	2476
254.900	39231.07	2479
255.000	39215.69	2485
255.100	39200.31	2493
255.200	39184.95	2497
255.300	39169.60	2505
255.400	39154.27	2512
255.500	39138.94	2519
255.600	39123.63	2524
255.700	39108.33	2531
255.800	39093.04	2537
255.900	39077.76	2543
256.000	39062.50	2553
256.100	39047.25	2560
256.200	39032.01	2565
256.300	39016.78	2574
256.400	39001.56	2583
256.500	38986.35	2590
256.600	38971.16	2597
256.700	38955.98	2605
256.800	38940.81	2616
256.900	38925.65	2622
257.000	38910.51	2630
257.100	38895.37	2640
257.200	38880.25	2646
257.300	38865.14	2657
257.400	38850.04	2665
257.500	38834.95	2674
257.600	38819.88	2682
257.700	38804.81	2692
257.800	38789.76	2701
257.900	38774.72	2710
258.000	38759.69	2720
258.100	38744.67	2732
258.200	38729.67	2740
258.300	38714.67	2750
258.400	38699.69	2760
258.500	38684.72	2770
258.600	38669.76	2780
258.700	38654.81	2791
258.800	38639.88	2803
258.900	38624.95	2811
259.000	38610.04	2822
259.100	38595.14	2834
259.200	38580.25	2846
259.300	38565.37	2857
259.400	38550.50	2870
259.500	38535.65	2881
259.600	38520.80	2892
259.700	38505.97	2904
259.800	38491.15	2914
259.900	38476.34	2926
260.000	38461.54	2939
260.100	38446.75	2953
260.200	38431.98	2965
260.300	38417.21	2976
260.400	38402.46	2991
260.500	38387.72	3002
