Wavelength_nm,value
250,9235
250.09999999999999,9195
250.19999999999999,9155
250.30000000000001,9114
250.40000000000001,9073
250.5,9033
250.59999999999999,8989
250.69999999999999,8947
250.80000000000001,8904
250.90000000000001,8861
251,8815
251.09999999999999,8771
251.19999999999999,8724
251.30000000000001,8679
251.40000000000001,8632
251.5,8586
251.59999999999999,8540
251.69999999999999,8493
251.80000000000001,8447
251.90000000000001,8397
252,8351
252.09999999999999,8303
252.19999999999999,8255
252.30000000000001,8204
252.40000000000001,8155
252.5,8103
252.59999999999999,8055
252.69999999999999,8003
252.80000000000001,7955
252.90000000000001,7902
253,7854
253.09999999999999,7803
253.19999999999999,7752
253.30000000000001,7701
253.40000000000001,7649
253.5,7601
253.59999999999999,7548
253.69999999999999,7498
253.80000000000001,7444
253.90000000000001,7395
254,7341
254.09999999999999,7291
254.19999999999999,7238
254.30000000000001,7189
254.40000000000001,7139
254.5,7088
254.59999999999999,7038
254.69999999999999,6987
254.80000000000001,6939
254.90000000000001,6886
255,6837
255.09999999999999,6784
255.19999999999999,6736
255.30000000000001,6684
255.40000000000001,6637
255.5,6586
255.59999999999999,6539
255.69999999999999,6492
255.80000000000001,6443
255.90000000000001,6396
256,6347
256.10000000000002,6303
256.19999999999999,6254
256.30000000000001,6210
256.39999999999998,6161
256.5,6117
256.60000000000002,6071
256.69999999999999,6027
256.80000000000001,5981
256.89999999999998,5940
257,5897
257.10000000000002,5855
257.19999999999999,5813
257.30000000000001,5771
257.39999999999998,5732
257.5,5690
257.60000000000002,5652
257.69999999999999,5610
257.80000000000001,5572
257.89999999999998,5533
258,5496
258.10000000000002,5458
258.19999999999999,5423
258.30000000000001,5388
258.39999999999998,5353
258.5,5320
258.60000000000002,5284
258.69999999999999,5252
258.80000000000001,5218
258.89999999999998,5187
259,5154
259.10000000000002,5124
259.19999999999999,5092
259.30000000000001,5065
259.39999999999998,5034
259.5,5007
259.60000000000002,4979
259.69999999999999,4953
259.80000000000001,4927
259.89999999999998,4901
260,4877
260.10000000000002,4852
260.19999999999999,4830
260.30000000000001,4805
260.39999999999998,4783
260.5,4760
260.60000000000002,4739
260.69999999999999,4718
260.80000000000001,4699
260.89999999999998,4680
261,4661
261.10000000000002,4643
261.19999999999999,4626
261.30000000000001,4609
261.39999999999998,4592
261.5,4577
261.60000000000002,4561
261.69999999999999,4546
261.80000000000001,4532
261.89999999999998,4519
262,4506
262.10000000000002,4493
262.19999999999999,4481
262.30000000000001,4470
262.39999999999998,4459
262.5,4450
262.60000000000002,4439
262.69999999999999,4430
262.80000000000001,4422
262.89999999999998,4413
263,4405
263.10000000000002,4397
263.19999999999999,4390
263.30000000000001,4383
263.39999999999998,4378
263.5,4371
263.60000000000002,4367
263.69999999999999,4362
263.80000000000001,4357
263.89999999999998,4354
264,4349
264.10000000000002,4346
264.19999999999999,4344
264.30000000000001,4341
264.39999999999998,4339
264.5,4337
264.60000000000002,4335
264.69999999999999,4334
264.80000000000001,4333
264.89999999999998,4333
265,4333
265.10000000000002,4333
265.19999999999999,4333
265.30000000000001,4334
265.39999999999998,4335
265.5,4336
265.60000000000002,4337
265.69999999999999,4339
265.80000000000001,4342
265.89999999999998,4343
266,4345
266.10000000000002,4348
266.19999999999999,4351
266.30000000000001,4354
266.39999999999998,4358
266.5,4361
266.60000000000002,4365
266.69999999999999,4368
266.80000000000001,4373
266.89999999999998,4376
267,4381
267.10000000000002,4385
267.19999999999999,4389
267.30000000000001,4394
267.39999999999998,4400
267.5,4405
267.60000000000002,4410
267.69999999999999,4415
267.80000000000001,4420
267.89999999999998,4425
268,4431
268.10000000000002,4437
268.19999999999999,4442
268.30000000000001,4448
268.39999999999998,4454
268.5,4461
268.60000000000002,4467
268.69999999999999,4474
268.80000000000001,4479
268.89999999999998,4486
269,4492
269.10000000000002,4499
269.19999999999999,4505
269.30000000000001,4511
269.39999999999998,4517
269.5,4524
269.60000000000002,4531
269.69999999999999,4537
269.80000000000001,4545
269.89999999999998,4550
270,4558
270.10000000000002,4565
270.19999999999999,4571
270.30000000000001,4578
270.39999999999998,4585
270.5,4591
270.60000000000002,4597
270.69999999999999,4604
270.80000000000001,4611
270.89999999999998,4617
271,4624
271.10000000000002,4631
271.19999999999999,4637
271.30000000000001,4644
271.39999999999998,4651
271.5,4657
271.60000000000002,4663
271.69999999999999,4670
271.80000000000001,4675
271.89999999999998,4682
272,4688
272.10000000000002,4694
272.19999999999999,4701
272.30000000000001,4706
272.39999999999998,4713
272.5,4719
272.60000000000002,4725
272.69999999999999,4730
272.80000000000001,4737
272.89999999999998,4742
273,4748
273.10000000000002,4754
273.19999999999999,4759
273.30000000000001,4765
273.39999999999998,4771
273.5,4776
273.60000000000002,4782
273.69999999999999,4787
273.80000000000001,4792
273.89999999999998,4797
