Wavelength_nm,value
250,2377
250.09999999999999,2376
250.19999999999999,2373
250.30000000000001,2372
250.40000000000001,2372
250.5,2369
250.59999999999999,2367
250.69999999999999,2368
250.80000000000001,2367
250.90000000000001,2365
251,2364
251.09999999999999,2365
251.19999999999999,2364
251.30000000000001,2366
251.40000000000001,2369
251.5,2368
251.59999999999999,2366
251.69999999999999,2369
251.80000000000001,2370
251.90000000000001,2371
252,2374
252.09999999999999,2376
252.19999999999999,2376
252.30000000000001,2378
252.40000000000001,2380
252.5,2383
252.59999999999999,2385
252.69999999999999,2387
252.80000000000001,2391
252.90000000000001,2390
253,2396
253.09999999999999,2399
253.19999999999999,2402
253.30000000000001,2407
253.40000000000001,2411
253.5,2413
253.59999999999999,2416
253.69999999999999,2421
253.80000000000001,2426
253.90000000000001,2430
254,2435
254.09999999999999,2440
254.19999999999999,2442
254.30000000000001,2447
254.40000000000001,2454
254.5,2459
254.59999999999999,2463
254.69999999999999,2470
254.80000000000001,2476
254.90000000000001,2479
255,2485
255.09999999999999,2493
255.19999999999999,2497
255.30000000000001,2505
255.40000000000001,2512
255.5,2519
255.59999999999999,2524
255.69999999999999,2531
255.80000000000001,2537
255.90000000000001,2543
256,2553
256.10000000000002,2560
256.19999999999999,2565
256.30000000000001,2574
256.39999999999998,2583
256.5,2590
256.60000000000002,2597
256.69999999999999,2605
256.80000000000001,2616
256.89999999999998,2622
257,2630
257.10000000000002,2640
257.19999999999999,2646
257.30000000000001,2657
257.39999999999998,2665
257.5,2674
257.60000000000002,2682
257.69999999999999,2692
257.80000000000001,2701
257.89999999999998,2710
258,2720
258.10000000000002,2732
258.19999999999999,2740
258.30000000000001,2750
258.39999999999998,2760
258.5,2770
258.60000000000002,2780
258.69999999999999,2791
258.80000000000001,2803
258.89999999999998,2811
259,2822
259.10000000000002,2834
259.19999999999999,2846
259.30000000000001,2857
259.39999999999998,2870
259.5,2881
259.60000000000002,2892
259.69999999999999,2904
259.80000000000001,2914
259.89999999999998,2926
260,2939
260.10000000000002,2953
260.19999999999999,2965
260.30000000000001,2976
260.39999999999998,2991
260.5,3002
260.60000000000002,3015
260.69999999999999,3030
260.80000000000001,3044
260.89999999999998,3056
261,3070
261.10000000000002,3085
261.19999999999999,3097
261.30000000000001,3110
261.39999999999998,3127
261.5,3140
261.60000000000002,3152
261.69999999999999,3166
261.80000000000001,3182
261.89999999999998,3197
262,3211
262.10000000000002,3227
262.19999999999999,3240
262.30000000000001,3256
262.39999999999998,3273
262.5,3288
262.60000000000002,3300
262.69999999999999,3318
262.80000000000001,3333
262.89999999999998,3348
