Wavelength [nm]	Wavenumbers [1/cm]	2107362U1_0001	2107362U1_0002	2107362U1_0003	2107362U1_0004	2107362U1_0005	2107362U1_0006	2107362U1_0007	2107362U1_0008	2107362U1_0009	2107362U1_0010	2107362U1_0011	2107362U1_0012	2107362U1_0013	2107362U1_0014	2107362U1_0015	2107362U1_0016	2107362U1_0017	2107362U1_0018	2107362U1_0019	2107362U1_0020	2107362U1_0021	2107362U1_0022	2107362U1_0023	2107362U1_0024	2107362U1_0025	2107362U1_0026	2107362U1_0027	2107362U1_0028	2107362U1_0029	2107362U1_0030	2107362U1_0031	2107362U1_0032	2107362U1_0033	2107362U1_0034	2107362U1_0035	2107362U1_0036	2107362U1_0037	2107362U1_0038	2107362U1_0039	2107362U1_0040
175.355	57027.31	0.1927	0.01643	-0.01019	0.02698	0.04419	0.06097	-0.01196	0.09804	0.0154	0.1178	0.07366	0.1521	0.08684	0.1435	0.1318	0.08583	0.07809	0.1338	0.05355	0.07825	0.1117	0.08087	0.1338	0.05787	0.09711	0.07734	0.04639	0.1565	0.04717	0.1114	0.02506	0.08057	0.07768	0.1068	0.1302	0.006178	0.1861	0.0675	0.07937	0.09171
175.931	56840.38	0.4263	3.824	3.823	1.376	0.6436	3.826	0.9792	3.828	3.824	-0.07321	3.827	0.5109	-0.008923	-0.287	-0.01992	3.827	3.827	0.1728	3.826	0.4049	-0.0537	3.827	3.829	3.826	0.0923	-0.1023	-0.1826	-0.06702	0.3297	0.2292	-0.04332	3.827	0.511	0.5598	0.05584	3.824	0.1717	0.6068	0.02852	0.2378
176.508	56654.66	-0.04784	0.1888	0.3569	0.1983	-0.1148	0.2012	-0.00816	0.3055	0.7739	-0.03512	0.28	0.01047	-0.1464	-0.07806	-0.1145	0.2617	0.4617	0.05674	0.3586	-0.1017	-0.07077	0.4223	0.5143	0.4027	0.09536	-0.2084	-0.1425	-0.03467	-0.04585	-0.1978	-0.0755	0.1775	0.05546	-0.03902	-0.258	0.262	-0.158	-0.04213	0.7627	-0.04426
177.085	56470.15	0.04052	0.02962	-0.03497	0.2623	-0.03619	0.04685	0.1124	-0.087	-0.04266	0.1341	0.2352	0.1289	0.01539	0.08319	0.3352	-0.025	0.1086	0.0493	-0.108	0.1542	0.2084	0.06754	0.1236	0.2761	0.1155	0.1325	0.2352	0.09427	0.2592	0.1489	0.2499	-0.1403	0.1561	0.1038	0.03393	0.08656	0.02686	0.2061	0.196	0.06771
177.661	56286.85	0.1162	-0.08381	0.1938	0.1246	-0.02695	0.03878	0.1437	-0.05855	-0.07421	0.09899	0.03251	0.175	0.1654	0.01673	0.1817	0.09065	0.07818	0.1616	0.01702	0.1415	0.2115	-0.07117	-0.004736	0.03497	0.01739	0.1021	0.1429	0.223	0.07591	0.05073	-0.01853	0.0954	0.04507	0.02493	0.1589	-0.03715	0.1297	0.05419	-0.07785	0.07399
178.238	56104.72	0.1077	-0.1499	-0.01457	0.04275	0.07805	-0.04761	-0.0008155	-0.01957	-0.1556	-0.07251	-0.1075	0.09623	-0.01717	0.1213	-0.01827	-0.01911	-0.09798	0.127	0.01139	0.008975	0.1301	-0.1426	-0.05393	-0.001986	-0.1122	0.04819	0.1084	0.1421	0.09058	0.05647	-0.06529	0.06746	-0.06814	0.2169	0.3099	0.05857	-0.04446	-0.03239	-0.08033	0.1558
178.815	55923.78	0.7649	0.2473	0.2716	0.1115	0.2863	0.06246	-0.01934	0.1169	0.001713	0.1712	2.909	0.1674	0.06295	0.4854	0.01114	0.3345	0.09945	0.1151	0.1047	0.09896	0.3411	0.09966	0.1759	0.07464	0.04605	0.2048	0.2569	0.287	0.106	0.2104	0.172	0.2333	0.187	0.1907	0.2869	0.1288	0.3273	0.1363	0.05852	0.2453
179.392	55743.99	0.3352	0.1623	0.1127	0.1659	0.1943	0.2003	0.1637	0.1906	0.1371	0.0953	1.264	0.08804	0.03139	0.1545	0.01193	0.1011	0.09132	0.1279	0.1991	0.0636	0.05596	0.1031	0.0929	0.07446	0.08094	0.0844	0.09486	0.1007	0.09656	0.1287	0.1181	0.07974	0.1187	-0.003861	0.03945	0.1998	0.1294	0.03442	0.1167	0.1113
179.968	55565.36	0.02213	0.0742	-0.1204	-0.1175	0.07853	-0.2176	-0.04626	-0.01773	-0.2143	0.2211	-0.02775	-0.0593	0.243	-0.06273	-0.08942	-0.0502	0.1147	-0.01666	-0.05491	0.1561	0.05075	-0.1339	-0.06809	-0.1303	0.1349	0.03395	2.592	2.589	0.05107	-0.04627	0.06425	0.0748	0.4856	-0.1653	0.7449	-0.07568	2.583	0.2165	-0.03159	-0.0464
180.545	55387.87	0.5324	0.1475	0.1096	0.05541	0.3004	-0.1254	2.337	0.1769	2.25	0.424	0.01803	0.1155	0.2747	-0.04612	-0.06151	0.02499	0.06866	0.009536	0.1076	0.1139	0.1165	0.4738	0.4892	-0.001581	1.018	0.008214	1.816	1.841	0.2662	0.3039	0.3201	0.3178	0.5544	-0.0341	0.508	0.1261	1.659	0.2441	0.09073	0.06803
181.122	55211.51	0.9007	0.2024	0.3257	0.8512	0.2524	2.285	1.94	0.1017	1.983	0.2781	0.4321	0.1061	0.09836	0.0511	0.1898	0.04685	0.08481	0.1578	0.5328	0.8546	0.02535	0.579	0.6506	2.308	1.197	-0.05096	0.2409	0.2968	0.1688	0.3828	2.455	0.3905	0.2918	0.2576	-0.05812	0.4263	0.1021	2.317	0.3851	0.09435
181.698	55036.27	0.4863	0.1003	0.1706	0.6336	0.02874	1.895	0.1288	-0.03822	0.1845	0.03544	0.3802	-0.00871	0.04063	0.08283	0.1703	0.01733	0.05239	0.1211	0.3305	0.7833	0.01753	0.1183	0.2386	1.936	0.4486	-0.04086	0.05108	0.07998	0.0002793	0.1147	1.922	0.1764	0.08495	0.2152	-0.02864	0.2141	0.06817	1.932	0.234	0.02534
182.275	54862.14	1.933	1.89	1.895	1.895	1.878	1.853	1.864	1.912	1.883	1.87	0.04209	1.892	1.927	1.92	1.894	1.895	1.877	1.908	0.1912	1.955	1.927	1.868	0.5593	1.895	1.905	1.888	1.881	1.878	1.907	1.894	1.88	1.9	1.893	1.917	1.94	1.877	1.921	1.891	-0.01855	1.902
182.852	54689.10	2.267	2.276	2.29	2.218	2.286	2.26	2.205	2.253	2.248	2.262	0.009555	2.298	2.291	2.294	2.371	2.23	2.27	2.326	0.2071	2.268	2.285	2.239	0.6191	2.229	2.217	2.365	2.3	2.262	2.27	2.32	2.216	2.303	2.315	2.348	2.277	2.267	2.267	2.312	-0.05854	2.329
