Wavelength_nm	Reactant_normalized	PSS_normalized_to_reactant	Reactant_reconstructed_M-1_cm-1	PSS_reconstructed_M-1_cm-1	Product_epsilon_M-1_cm-1	Product_epsilon_raw_M-1_cm-1	Product_lower_nonnegative_M-1_cm-1	Product_upper_nonnegative_M-1_cm-1	Product_error_lower_M-1_cm-1	Product_error_upper_M-1_cm-1
2.50000000e+02	1.03637897e-01	1.66332056e-01	2.37864831e+03	3.81757519e+03	8.91922505e+03	8.91922505e+03	8.54849931e+03	9.32299252e+03	3.70725741e+02	4.03767462e+02
2.50100000e+02	1.03610664e-01	1.65775162e-01	2.37802327e+03	3.80479364e+03	8.86334311e+03	8.86334311e+03	8.49555466e+03	9.26389413e+03	3.67788445e+02	4.00551019e+02
2.50200000e+02	1.03590401e-01	1.65224887e-01	2.37755822e+03	3.79216398e+03	8.80758440e+03	8.80758440e+03	8.44273360e+03	9.20491844e+03	3.64850800e+02	3.97334041e+02
2.50300000e+02	1.03577020e-01	1.64681158e-01	2.37725109e+03	3.77968456e+03	8.75194867e+03	8.75194867e+03	8.39003579e+03	9.14606528e+03	3.61912881e+02	3.94116612e+02
2.50400000e+02	1.03570429e-01	1.64143902e-01	2.37709982e+03	3.76735371e+03	8.69643568e+03	8.69643568e+03	8.33746092e+03	9.08733450e+03	3.58974764e+02	3.90898819e+02
2.50500000e+02	1.03570539e-01	1.63613046e-01	2.37710234e+03	3.75516977e+03	8.64104519e+03	8.64104519e+03	8.28500866e+03	9.02872593e+03	3.56036524e+02	3.87680744e+02
2.50600000e+02	1.03577260e-01	1.63088520e-01	2.37725660e+03	3.74313108e+03	8.58577693e+03	8.58577693e+03	8.23267870e+03	8.97023941e+03	3.53098237e+02	3.84462474e+02
2.50700000e+02	1.03590502e-01	1.62570249e-01	2.37756054e+03	3.73123597e+03	8.53063068e+03	8.53063068e+03	8.18047070e+03	8.91187477e+03	3.50159980e+02	3.81244092e+02
2.50800000e+02	1.03610176e-01	1.62058162e-01	2.37801208e+03	3.71948278e+03	8.47560618e+03	8.47560618e+03	8.12838436e+03	8.85363187e+03	3.47221826e+02	3.78025685e+02
2.50900000e+02	1.03636191e-01	1.61552185e-01	2.37860917e+03	3.70786986e+03	8.42070319e+03	8.42070319e+03	8.07641933e+03	8.79551052e+03	3.44283853e+02	3.74807336e+02
