Wavelength_nm	Absorbance__trans_azobenzene_epsilons_-_Copy	Concentration_M__trans_azobenzene_epsilons_-_Copy	Path_length_cm__trans_azobenzene_epsilons_-_Copy	Epsilon_M-1_cm-1__trans_azobenzene_epsilons_-_Copy	Absorbance__trans_azobenzene_epsilons	Concentration_M__trans_azobenzene_epsilons	Path_length_cm__trans_azobenzene_epsilons	Epsilon_M-1_cm-1__trans_azobenzene_epsilons	Absorbance__trans_azobenzene_epsilons_-_Copy__2	Concentration_M__trans_azobenzene_epsilons_-_Copy__2	Path_length_cm__trans_azobenzene_epsilons_-_Copy__2	Epsilon_M-1_cm-1__trans_azobenzene_epsilons_-_Copy__2	Epsilon_mean_M-1_cm-1	Epsilon_SD_M-1_cm-1	Epsilon_SEM_M-1_cm-1	Epsilon_lower_nonnegative_M-1_cm-1	Epsilon_upper_nonnegative_M-1_cm-1
2.50000000e+02	2.37700000e+03	1.01000000e+00	1	2.35346535e+03	2.37700000e+03	1.00000000e+00	1	2.37700000e+03	2.37700000e+03	9.90000000e-01	1	2.40101010e+03	2.37715848e+03	2.37727734e+01	1.37252171e+01	2.35338571e+03	2.40093126e+03
2.50100000e+02	2.37600000e+03	1.01000000e+00	1	2.35247525e+03	2.37600000e+03	1.00000000e+00	1	2.37600000e+03	2.37600000e+03	9.90000000e-01	1	2.40000000e+03	2.37615842e+03	2.37627723e+01	1.37194430e+01	2.35239564e+03	2.39992119e+03
2.50200000e+02	2.37300000e+03	1.01000000e+00	1	2.34950495e+03	2.37300000e+03	1.00000000e+00	1	2.37300000e+03	2.37300000e+03	9.90000000e-01	1	2.39696970e+03	2.37315822e+03	2.37327688e+01	1.37021204e+01	2.34942545e+03	2.39689098e+03
2.50300000e+02	2.37200000e+03	1.01000000e+00	1	2.34851485e+03	2.37200000e+03	1.00000000e+00	1	2.37200000e+03	2.37200000e+03	9.90000000e-01	1	2.39595960e+03	2.37215815e+03	2.37227676e+01	1.36963463e+01	2.34843538e+03	2.39588092e+03
2.50400000e+02	2.37200000e+03	1.01000000e+00	1	2.34851485e+03	2.37200000e+03	1.00000000e+00	1	2.37200000e+03	2.37200000e+03	9.90000000e-01	1	2.39595960e+03	2.37215815e+03	2.37227676e+01	1.36963463e+01	2.34843538e+03	2.39588092e+03
2.50500000e+02	2.36900000e+03	1.01000000e+00	1	2.34554455e+03	2.36900000e+03	1.00000000e+00	1	2.36900000e+03	2.36900000e+03	9.90000000e-01	1	2.39292929e+03	2.36915795e+03	2.36927641e+01	1.36790237e+01	2.34546519e+03	2.39285071e+03
2.50600000e+02	2.36700000e+03	1.01000000e+00	1	2.34356436e+03	2.36700000e+03	1.00000000e+00	1	2.36700000e+03	2.36700000e+03	9.90000000e-01	1	2.39090909e+03	2.36715782e+03	2.36727618e+01	1.36674754e+01	2.34348505e+03	2.39083058e+03
2.50700000e+02	2.36800000e+03	1.01000000e+00	1	2.34455446e+03	2.36800000e+03	1.00000000e+00	1	2.36800000e+03	2.36800000e+03	9.90000000e-01	1	2.39191919e+03	2.36815788e+03	2.36827629e+01	1.36732496e+01	2.34447512e+03	2.39184065e+03
2.50800000e+02	2.36700000e+03	1.01000000e+00	1	2.34356436e+03	2.36700000e+03	1.00000000e+00	1	2.36700000e+03	2.36700000e+03	9.90000000e-01	1	2.39090909e+03	2.36715782e+03	2.36727618e+01	1.36674754e+01	2.34348505e+03	2.39083058e+03
2.50900000e+02	2.36500000e+03	1.01000000e+00	1	2.34158416e+03	2.36500000e+03	1.00000000e+00	1	2.36500000e+03	2.36500000e+03	9.90000000e-01	1	2.38888889e+03	2.36515768e+03	2.36527594e+01	1.36559270e+01	2.34150492e+03	2.38881044e+03
