Wavelength [nm]	Wavenumbers [1/cm]	2107362U1_0001	2107362U1_0002	2107362U1_0003	2107362U1_0004	2107362U1_0005	2107362U1_0006	2107362U1_0007	2107362U1_0008	2107362U1_0009	2107362U1_0010	2107362U1_0011	2107362U1_0012	2107362U1_0013	2107362U1_0014	2107362U1_0015	2107362U1_0016	2107362U1_0017	2107362U1_0018	2107362U1_0019	2107362U1_0020	2107362U1_0021	2107362U1_0022	2107362U1_0023	2107362U1_0024	2107362U1_0025	2107362U1_0026	2107362U1_0027	2107362U1_0028	2107362U1_0029	2107362U1_0030	2107362U1_0031	2107362U1_0032	2107362U1_0033	2107362U1_0034	2107362U1_0035	2107362U1_0036	2107362U1_0037	2107362U1_0038	2107362U1_0039	2107362U1_0040	2107362U1_0041	2107362U1_0042	2107362U1_0043	2107362U1_0044	2107362U1_0045	2107362U1_0046	2107362U1_0047	2107362U1_0048	2107362U1_0049	2107362U1_0050
175.355	57027.31	-0.07973	0.0001277	-0.02132	-0.06424	-0.08909	-0.07913	-0.08527	-0.1532	-0.09752	0.06505	0.01506	-0.03651	-0.02867	-0.06776	-0.03092	0.03374	-0.06858	-0.0352	-0.1451	0.03821	-0.1571	-0.07017	-0.09493	0.01038	-0.1391	-0.09434	-0.02865	-0.02706	-0.01152	-0.1513	-0.03825	-0.07033	-0.08609	-0.1005	-0.1696	-0.08729	0.05028	-0.1383	-0.07673	-0.02399	-0.09426	-0.1475	-0.1298	-0.09456	-0.117	-0.08708	-0.03789	-0.1297	-0.1041	-0.1411
175.931	56840.38	3.82	3.823	0.3021	0.8618	3.82	0.3555	3.819	0.1133	-0.3355	3.826	3.824	-0.03745	-0.3301	0.2898	-0.1215	3.825	3.821	0.3458	3.817	-0.3815	-0.1388	-0.3543	-0.009741	3.824	-0.4512	0.111	-0.2134	0.01259	-0.3635	-0.02493	-0.6032	-0.3576	-0.4166	0.3853	3.816	-0.308	0.245	-0.2149	1.37	0.07372	-0.2881	-0.1163	-0.5527	3.82	-0.103	3.82	-0.1683	-0.2989	0.03869	-0.3024
176.508	56654.66	0.2494	0.1555	-0.01596	3.727	4	-0.1083	4	3.658	-0.01343	0.1125	0.1747	-0.1176	3.617	0.879	3.636	0.06889	0.9715	-0.06832	0.279	0.1969	0.0471	0.2346	-0.0716	1.016	0.1371	3.658	3.628	0.232	0.5219	3.646	0.1012	3.615	3.609	3.683	4	3.62	3.67	3.628	3.774	3.654	3.621	3.637	3.597	1.099	0.3691	4	0.01364	3.62	3.652	3.62
177.085	56470.15	-0.1067	-0.08417	0.0005359	0.4784	0.5332	0.007855	0.5286	0.4386	-0.09336	0.01423	0.1069	-0.1025	0.5037	0.03857	0.4319	0.1155	0.005724	-0.1593	-0.06073	-0.07846	-0.1256	-0.1018	-0.1108	0.00117	-0.04747	0.5021	0.4367	-0.02466	0.1086	0.4482	0.0773	0.4246	0.4124	0.4184	0.4449	0.4351	0.4738	0.4129	0.5223	0.4145	0.4131	0.4753	0.3644	-0.06991	0.008831	0.355	-0.09087	0.3643	0.4977	0.3704
177.661	56286.85	-0.111	-0.04395	-0.07692	-0.0793	-0.04479	-0.05051	-0.09665	-0.1009	-0.07101	-0.1093	0.008534	-0.07864	-0.08669	-0.06099	-0.1278	-0.01066	-0.08668	-0.1152	-0.08993	-0.03788	-0.07142	-0.1012	-0.04214	-0.06878	-0.1348	-0.1084	-0.1485	-0.1256	-0.01834	-0.1662	-0.07386	-0.09205	-0.09449	-0.1363	-0.09316	-0.1071	-0.04153	-0.1256	-0.01334	-0.09925	-0.1314	-0.08329	-0.1914	-0.1663	-0.1081	-0.1417	-0.1163	-0.1121	-0.1191	-0.1076
178.238	56104.72	-0.03026	-0.04568	-0.03478	-0.153	-0.1425	-0.1023	-0.0379	-0.1528	-0.2109	-0.06352	-0.05247	-0.05125	-0.1771	-0.0006463	-0.1735	0.009618	-0.1087	-0.1906	-0.1247	-0.04245	-0.1278	-0.1498	-0.1486	0.007025	-0.1051	-0.09972	-0.1411	-0.06981	-0.09307	-0.1694	-0.1283	-0.09403	-0.1248	-0.1016	-0.1297	-0.1769	-0.1339	-0.1678	-0.0527	-0.1341	-0.1024	-0.1203	-0.198	-0.1213	-0.08475	-0.2099	-0.1068	-0.1852	-0.1839	-0.1518
178.815	55923.78	-0.03741	0.2082	0.02881	-0.05517	0.07614	-0.01779	-0.006589	-0.1358	-0.1171	-0.03121	0.1014	0.01784	-0.04754	0.08227	-0.0656	0.1546	-0.05738	-0.09688	-0.0483	0.01389	-0.05079	-0.004079	-0.1306	0.01776	-0.03551	0.03516	-0.08335	-0.0003392	-0.05614	-0.1232	0.04093	-0.04912	-0.00874	-0.08373	-0.1075	-0.1672	-0.05119	-0.08906	0.01282	-0.09209	-0.04408	-0.04286	-0.1466	-0.04257	0.008524	-0.06641	-0.04765	-0.0945	-0.05995	-0.08242
179.392	55743.99	0.05711	0.07984	-0.1003	-0.1107	0.0786	-0.03534	-0.008201	0.1363	-0.07699	-0.0761	0.07907	0.00189	0.07568	0.06559	-0.07436	-0.04062	-0.06861	0.1282	-0.07907	-0.04545	-0.05451	0.1041	-0.03182	-0.01518	-0.1174	-0.007833	-0.03458	-0.003363	0.01141	-0.01008	0.04759	0.1153	0.09975	0.1998	0.02951	0.1158	-0.03678	0.04473	0.1021	-0.07322	0.2996	-0.02663	-0.04736	-0.01863	0.01514	-0.001646	0.4565	0.2041	0.1586	0.1832
179.968	55565.36	-0.04567	0.01989	-0.1067	-0.1039	-0.03569	-0.1041	-0.03595	-0.05807	-0.1181	-0.04682	0.0304	-0.07879	-0.06123	-0.07448	-0.1676	-0.0722	-0.02543	-0.03886	-0.1276	-0.07806	-0.132	-0.03295	-0.1242	-0.04994	-0.07255	-0.1061	-0.04121	-0.03372	0.02622	-0.06323	0.05784	-0.03291	0.02028	-0.003061	-0.1183	0.02821	-0.08869	-0.09345	-0.04918	-0.09516	0.03032	-0.08382	-0.0562	-0.02757	-0.07255	-0.09904	0.1358	0.06815	-0.0138	-0.02028
180.545	55387.87	0.05604	0.07101	-0.01072	0.2272	-0.01684	0.0248	-0.02827	0.1203	0.1424	0.128	0.03158	0.04097	0.203	0.0822	0.026	-0.006195	0.1594	0.1369	0.09163	0.2162	-0.001162	-0.032	0.1369	0.003002	0.08592	-0.003321	0.1386	-0.06671	0.1183	0.2157	-0.0001661	0.009563	0.1397	0.3895	0.3749	0.04936	0.3027	0.1773	0.102	0.1886	0.1977	-0.006179	0.3462	-0.05616	0.1018	0.03661	0.5413	0.2398	0.1832	0.1945
