Wavelength [nm]	Wavenumbers [1/cm]	LED395nm_Intensity_baselined
175.764	56894.47	-32.94
176.337	56709.57	-8.248
176.910	56525.87	-24.53
177.483	56343.35	0.7412
178.056	56162.01	-18.25
178.629	55981.83	-23.03
179.202	55802.81	-14.74
179.776	55624.92	-11.43
180.349	55448.17	-1.461
180.922	55272.54	-11.44
181.495	55098.01	-17.62
182.068	54924.58	-0.4549
182.641	54752.25	-4.677
183.214	54580.99	-26.14
183.787	54410.79	-23.14
184.360	54241.66	-17.23
184.933	54073.58	4.28
185.506	53906.53	37.44
186.079	53740.51	21.73
186.652	53575.51	0.4772
187.226	53411.52	14.16
187.799	53248.54	26.65
188.372	53086.54	32.63
188.945	52925.53	13.55
189.518	52765.49	0.8835
190.091	52606.41	17.18
190.664	52448.29	29.46
191.237	52291.12	20.36
191.810	52134.89	16.66
192.383	51979.59	26.26
192.956	51825.21	25.86
193.529	51671.75	26.97
194.102	51519.19	40.84
194.675	51367.53	34.02
195.249	51216.76	13.17
195.822	51066.88	8.962
196.395	50917.86	11.17
196.968	50769.72	21.54
197.541	50622.43	7.083
198.114	50476.00	22.85
198.687	50330.41	-4.94
199.260	50185.66	29.45
199.833	50041.74	4.366
200.406	49898.64	20.65
200.979	49756.36	13.37
201.552	49614.89	22.67
202.125	49474.22	31.48
202.699	49334.34	43.22
203.272	49195.26	16.27
203.845	49056.95	6.275
204.418	48919.42	17.46
204.991	48782.66	19.35
205.564	48646.66	14.46
206.137	48511.42	22.06
206.710	48376.93	34.35
207.283	48243.18	22.34
207.856	48110.17	-3.248
208.429	47977.90	-7.434
209.002	47846.34	1.06
209.575	47715.51	4.07
210.149	47585.39	12.15
210.722	47455.98	20.81
211.295	47327.26	-9.614
211.868	47199.25	1.591
212.441	47071.93	30.08
213.014	46945.29	-14.93
213.587	46819.33	17.26
214.160	46694.04	-9.942
214.733	46569.43	-2.942
215.306	46445.48	1.442
215.879	46322.18	-17.42
216.452	46199.54	2.46
217.025	46077.54	5.852
217.599	45956.19	3.345
218.172	45835.48	-10.74
218.745	45715.40	-12.74
219.318	45595.94	-7.859
219.891	45477.11	-18.15
220.464	45358.90	-20.84
221.037	45241.30	-16.64
221.610	45124.31	-26.54
222.183	45007.92	-26.64
222.756	44892.13	-27.93
223.329	44776.93	-12.24
223.902	44662.32	-9.036
224.475	44548.30	-3.159
225.049	44434.86	-13.01
225.622	44322.00	19.1
226.195	44209.71	-14.43
226.768	44097.98	-15.76
227.341	43986.82	-32
227.914	43876.22	-8.264
228.487	43766.17	-18.04
229.060	43656.68	-11.54
229.633	43547.73	-12.24
230.206	43439.32	-11.64
230.779	43331.45	-8.156
231.352	43224.11	-20.56
231.925	43117.31	-35.12
232.498	43011.03	-20.45
233.072	42905.28	-24.56
233.645	42800.04	-38.31
234.218	42695.32	-18.06
234.791	42591.11	-26.25
235.364	42487.40	-28.51
235.937	42384.20	-7.448
236.510	42281.51	-4.246
237.083	42179.30	-23.14
237.656	42077.59	-11.26
238.229	41976.37	-30.65
238.802	41875.64	-33.85
239.375	41775.39	-37.01
239.948	41675.61	-15.22
240.522	41576.31	-0.4615
241.095	41477.49	-7.08
241.668	41379.13	-43.79
242.241	41281.24	-20.25
242.814	41183.81	-17.42
243.387	41086.84	-0.8476
243.960	40990.32	-6.144
244.533	40894.26	-2.446
245.106	40798.65	-7.946
245.679	40703.48	-12.94
