Wavelength [nm]	Wavenumbers [1/cm]	2107362U1_0001	2107362U1_0002	2107362U1_0003	2107362U1_0004	2107362U1_0005	2107362U1_0006	2107362U1_0007	2107362U1_0008	2107362U1_0009	2107362U1_0010	2107362U1_0011	2107362U1_0012	2107362U1_0013	2107362U1_0014	2107362U1_0015	2107362U1_0016	2107362U1_0017	2107362U1_0018	2107362U1_0019	2107362U1_0020	2107362U1_0021	2107362U1_0022	2107362U1_0023	2107362U1_0024	2107362U1_0025	2107362U1_0026	2107362U1_0027	2107362U1_0028	2107362U1_0029	2107362U1_0030	2107362U1_0031	2107362U1_0032	2107362U1_0033	2107362U1_0034	2107362U1_0035
175.355	57027.31	-0.04737	-0.0416	-0.009709	0.0879	-0.03159	0.02442	0.04883	0.06487	-0.05132	0.2187	-0.005087	-0.02889	-0.02891	-0.07205	-0.0209	-0.06017	-0.07064	0.001572	0.07135	0.0154	-0.05622	0.00452	-0.02889	0.0253	0.09255	0.1341	0.03174	0.3646	0.1273	0.2605	0.1136	0.1193	0.1471	0.09371	0.2063
175.931	56840.38	-0.0221	1.199	-0.1941	0.02551	0.1662	-0.09058	-0.1425	-0.03669	0.132	-0.128	-0.3535	0.04093	0.1382	-0.03017	0.0004524	-0.07477	-0.09782	0.1657	0.08772	0.9554	0.1078	-0.1761	3.824	-0.01929	-0.3525	-0.3102	-0.4679	-0.4773	-0.3753	-0.4294	-0.3157	-0.2336	-0.4442	-0.4	-0.3972
176.508	56654.66	-0.4264	3.76	3.631	0.07882	3.665	3.641	0.1555	3.645	-0.07248	3.636	-0.09159	-0.3429	3.662	3.646	0.6504	-0.0256	3.64	-0.3454	0.1016	3.737	0.1649	3.633	1.032	-0.1555	-0.594	-0.4959	-0.5641	-0.5966	-0.4805	-0.521	-0.6616	-0.3999	-0.5619	-0.5567	-0.6763
177.085	56470.15	0.05609	0.5532	0.5394	0.1526	0.4838	1.464	0.3811	0.4615	0.003169	0.9559	0.0952	0.4135	0.4827	0.8593	0.4949	0.1619	0.3677	-0.07827	0.05366	0.5434	0.1965	0.4327	0.2711	0.5343	0.7398	0.4338	0.1047	3.393	3.408	0.6802	3.381	0.1247	3.397	3.397	3.38
177.661	56286.85	-0.0291	-0.06551	-0.05622	-0.01209	-0.0953	0.1098	0.03529	-0.05485	0.05958	0.07506	-0.0005135	0.02045	-0.01807	0.0104	0.07669	0.02483	-0.04879	-0.03803	-0.1042	-0.08995	0.003841	0.01346	0.005121	0.1004	0.2408	0.2777	0.1387	0.8031	0.8276	0.3783	0.788	0.1082	0.8109	0.8222	0.9133
178.238	56104.72	0.1043	0.02742	0.01477	-0.0824	-0.04159	-0.01566	0.05689	0.1009	0.05044	0.2208	0.1549	0.08272	-0.05696	-0.07383	0.02846	0.02541	-0.0695	0.002215	-0.01905	0.004579	0.06398	0.1446	-0.02089	-0.06578	0.2255	0.1823	0.6173	0.2739	0.1442	0.5057	0.2019	0.2136	0.3894	0.4805	0.4801
178.815	55923.78	0.07656	-0.1596	-0.1549	-0.07672	-0.09466	-0.1705	0.1275	-0.03588	-0.1486	0.006245	-0.0323	-0.0735	-0.164	-0.1585	-0.1289	-0.1192	-0.07565	0.05886	-0.1515	-0.1189	-0.09754	-0.09616	-0.02782	-0.1635	0.3465	0.1095	0.2412	0.3489	0.09721	0.234	0.2707	-0.0007969	0.402	0.3766	0.2021
179.392	55743.99	0.1529	-0.07387	-0.03747	0.05158	0.02727	-0.0757	0.01819	0.02751	-0.06044	-0.0529	0.005126	-0.1163	0.1564	0.07041	-0.09754	0.004188	-0.005056	0.01428	0.08566	0.02827	-0.09055	0.01015	0.02884	0.0835	-0.01259	-0.09658	-0.085	-0.05928	-0.05234	-0.1109	0.03232	-0.08119	0.01393	0.0171	-0.09959
179.968	55565.36	-0.1033	0.05601	-0.198	-0.2856	-0.3487	-0.2232	-0.02827	-0.09218	-0.1833	-0.01681	-0.06582	-0.102	-0.2527	-0.001547	-0.2539	0.1525	-0.2994	-0.1398	-0.0148	-0.2607	-0.03929	-0.2072	-0.3339	-0.0997	-0.07802	0.02372	0.04319	2.507	0.6695	-0.09627	1.012	0.02409	-0.1378	-0.1806	2.531
180.545	55387.87	-0.03764	0.152	-0.08451	-0.09601	-0.187	-0.09687	-0.08852	0.03064	-0.1326	-0.05776	-0.03685	-0.04103	0.04168	-0.02244	-0.01164	0.09675	-0.0369	0.005144	-0.07775	-0.2004	-0.06211	-0.1502	-0.246	-0.09102	-0.0868	-0.07593	-0.03237	1.46	0.3157	-0.1768	0.5924	-0.07584	-0.1942	-0.2579	1.468
181.122	55211.51	0.07598	0.08873	0.2063	0.1341	0.0985	0.1133	-0.09847	0.2834	0.1176	0.0309	0.04069	0.03634	0.3465	0.1261	0.1693	0.0749	0.1774	0.2846	0.1248	0.1425	-0.08086	0.2176	0.1377	0.01739	-0.08634	-0.1134	-0.0005363	-0.1746	-0.1257	-0.2514	-0.1443	-0.133	-0.19	-0.2182	-0.2218
181.698	55036.27	-0.007047	-0.0003697	0.0981	0.03496	0.01163	0.05587	-0.04385	0.142	0.1059	0.07401	0.02013	0.03059	0.115	0.05583	0.01799	0.0297	0.0309	0.1931	0.07569	0.1187	-0.07933	0.1519	0.1101	0.002265	0.008626	0.004546	0.07552	-0.02136	-0.03933	-0.07556	-0.07372	-0.04825	-0.05285	-0.0558	-0.09618
182.275	54862.14	-0.202	0.2518	-0.1526	-0.1243	-0.01228	-0.09335	-0.1672	-0.04915	-0.002451	-0.1189	-0.09691	-0.0678	-0.1306	-0.0202	-0.16	-0.08072	-0.06611	-0.1666	-0.05519	-0.01667	-0.1206	0.1393	-0.06487	-0.1186	-0.2033	-0.2276	-0.1788	-0.1984	-0.1861	-0.1453	-0.1903	-0.131	-0.257	-0.2289	-0.215
