Cycle,CurrentTime (YYYYMMDDHHMISS),ElapsedTime (s),Event
0,20260218172016,0.031,Measure
1,20260218172017,0.48399999999999999,LEDon
1,20260218172035,18.843,LEDoff
1,20260218172036,20.202999999999999,Measure
2,20260218172037,20.655999999999999,LEDon
2,20260218172055,39.061999999999998,LEDoff
2,20260218172057,40.405999999999999,Measure
3,20260218172057,40.859000000000002,LEDon
3,20260218172115,59.218000000000004,LEDoff
3,20260218172117,60.545999999999999,Measure
4,20260218172117,61.0,LEDon
4,20260218172136,79.358999999999995,LEDoff
4,20260218172137,80.686999999999998,Measure
5,20260218172137,81.140000000000001,LEDon
5,20260218172156,99.5,LEDoff
5,20260218172157,100.828,Measure
6,20260218172157,101.28100000000001,LEDon
6,20260218172216,119.64,LEDoff
6,20260218172217,120.968,Measure
7,20260218172218,121.42100000000001,LEDon
7,20260218172236,139.78100000000001,LEDoff
7,20260218172237,141.10900000000001,Measure
8,20260218172238,141.56200000000001,LEDon
8,20260218172256,159.92099999999999,LEDoff
8,20260218172257,161.25,Measure
9,20260218172258,161.71799999999999,LEDon
9,20260218172316,180.078,LEDoff
9,20260218172318,181.40600000000001,Measure
10,20260218172318,181.85900000000001,LEDon
10,20260218172336,200.21799999999999,LEDoff
10,20260218172338,201.54599999999999,Measure
11,20260218172338,202.0,LEDon
11,20260218172357,220.35900000000001,LEDoff
11,20260218172358,221.68700000000001,Measure
12,20260218172358,222.15600000000001,LEDon
12,20260218172417,240.53100000000001,LEDoff
12,20260218172418,241.85900000000001,Measure
13,20260218172418,242.31200000000001,LEDon
13,20260218172437,260.67099999999999,LEDoff
13,20260218172438,262.0,Measure
14,20260218172439,262.46800000000002,LEDon
14,20260218172457,280.82799999999997,LEDoff
14,20260218172458,282.15600000000001,Measure
15,20260218172459,282.60899999999998,LEDon
15,20260218172517,300.96800000000002,LEDoff
15,20260218172518,302.29599999999999,Measure
16,20260218172519,302.75,LEDon
16,20260218172537,321.10899999999998,LEDoff
16,20260218172539,322.45299999999997,Measure
17,20260218172539,322.90600000000001,LEDon
17,20260218172557,341.26499999999999,LEDoff
17,20260218172559,342.59300000000002,Measure
18,20260218172559,343.04599999999999,LEDon
18,20260218172618,361.40600000000001,LEDoff
18,20260218172619,362.73399999999998,Measure
19,20260218172619,363.18700000000001,LEDon
19,20260218172638,381.56200000000001,LEDoff
19,20260218172639,382.88999999999999,Measure
20,20260218172640,383.34300000000002,LEDon
20,20260218172658,401.70299999999997,LEDoff
20,20260218172659,403.03100000000001,Measure
21,20260218172700,403.48399999999998,LEDon
21,20260218172718,421.84300000000002,LEDoff
21,20260218172719,423.17099999999999,Measure
22,20260218172720,423.625,LEDon
22,20260218172738,441.98399999999998,LEDoff
22,20260218172739,443.31200000000001,Measure
23,20260218172740,443.76499999999999,LEDon
23,20260218172758,462.13999999999999,LEDoff
23,20260218172800,463.48399999999998,Measure
24,20260218172800,463.93700000000001,LEDon
24,20260218172818,482.29599999999999,LEDoff
24,20260218172820,483.625,Measure
25,20260218172820,484.07799999999997,LEDon
25,20260218172839,502.43700000000001,LEDoff
25,20260218172840,503.76499999999999,Measure
26,20260218172840,504.23399999999998,LEDon
26,20260218172859,522.59299999999996,LEDoff
26,20260218172900,523.92100000000005,Measure
27,20260218172901,524.375,LEDon
27,20260218172919,542.73400000000004,LEDoff
27,20260218172920,544.06200000000001,Measure
28,20260218172921,544.53099999999995,LEDon
28,20260218172939,562.88999999999999,LEDoff
28,20260218172940,564.21799999999996,Measure
29,20260218172941,564.67100000000005,LEDon
29,20260218172959,583.03099999999995,LEDoff
29,20260218173001,584.35900000000004,Measure
30,20260218173001,584.81200000000001,LEDon
30,20260218173019,603.17100000000005,LEDoff
30,20260218173021,604.5,Measure
31,20260218173021,604.96799999999996,LEDon
31,20260218173040,623.32799999999997,LEDoff
31,20260218173041,624.65599999999995,Measure
32,20260218173041,625.10900000000004,LEDon
32,20260218173100,643.46799999999996,LEDoff
32,20260218173101,644.79600000000005,Measure
33,20260218173101,645.28099999999995,LEDon
33,20260218173120,663.63999999999999,LEDoff
33,20260218173121,664.96799999999996,Measure
34,20260218173122,665.42100000000005,LEDon
34,20260218173140,683.78099999999995,LEDoff
34,20260218173141,685.10900000000004,Measure
35,20260218173142,685.56200000000001,LEDon
