Wavelength_nm	Absorbance__2107362U1_0001A	Concentration_M__2107362U1_0001A	Path_length_cm__2107362U1_0001A	Epsilon_M-1_cm-1__2107362U1_0001A	Absorbance__2107362U1_0001B	Concentration_M__2107362U1_0001B	Path_length_cm__2107362U1_0001B	Epsilon_M-1_cm-1__2107362U1_0001B	Absorbance__2107362U1_0001C	Concentration_M__2107362U1_0001C	Path_length_cm__2107362U1_0001C	Epsilon_M-1_cm-1__2107362U1_0001C	Epsilon_mean_M-1_cm-1	Epsilon_SD_M-1_cm-1	Epsilon_SEM_M-1_cm-1	Epsilon_lower_nonnegative_M-1_cm-1	Epsilon_upper_nonnegative_M-1_cm-1
2.50584122e+02	6.72122313e-01	6.82000000e-05	1	9.85516589e+03	6.55848793e-01	6.87000000e-05	1	9.54656177e+03	6.59630033e-01	6.80000000e-05	1	9.70044166e+03	9.70072310e+03	1.54302252e+02	8.90864468e+01	9.54642085e+03	9.85502536e+03
2.51184402e+02	6.73662966e-01	6.82000000e-05	1	9.87775611e+03	6.55018284e-01	6.87000000e-05	1	9.53447284e+03	6.58620475e-01	6.80000000e-05	1	9.68559522e+03	9.69927472e+03	1.72049983e+02	9.93331039e+01	9.52722474e+03	9.87132471e+03
2.51784653e+02	6.74527282e-01	6.82000000e-05	1	9.89042936e+03	6.53583674e-01	6.87000000e-05	1	9.51359060e+03	6.57049965e-01	6.80000000e-05	1	9.66249948e+03	9.68883981e+03	1.89795214e+02	1.09578318e+02	9.49904460e+03	9.87863503e+03
2.52384872e+02	6.74676868e-01	6.82000000e-05	1	9.89262270e+03	6.51602392e-01	6.87000000e-05	1	9.48475098e+03	6.54949175e-01	6.80000000e-05	1	9.63160551e+03	9.66965973e+03	2.06581531e+02	1.19269902e+02	9.46307820e+03	9.87624126e+03
2.52985077e+02	6.74073331e-01	6.82000000e-05	1	9.88377318e+03	6.49131868e-01	6.87000000e-05	1	9.44878992e+03	6.52348777e-01	6.80000000e-05	1	9.59336437e+03	9.64197583e+03	2.21528586e+02	1.27899589e+02	9.42044724e+03	9.86350441e+03
2.53585251e+02	6.72697384e-01	6.82000000e-05	1	9.86359801e+03	6.46176420e-01	6.87000000e-05	1	9.40577031e+03	6.49207772e-01	6.80000000e-05	1	9.54717312e+03	9.60551382e+03	2.34423289e+02	1.35344349e+02	9.37109053e+03	9.83993710e+03
2.54185394e+02	6.70186018e-01	6.82000000e-05	1	9.82677445e+03	6.42998308e-01	6.87000000e-05	1	9.35950958e+03	6.45691560e-01	6.80000000e-05	1	9.49546411e+03	9.56058271e+03	2.40342339e+02	1.38761714e+02	9.32024038e+03	9.80092505e+03
2.54785522e+02	6.66885817e-01	6.82000000e-05	1	9.77838441e+03	6.39329979e-01	6.87000000e-05	1	9.30611323e+03	6.41772677e-01	6.80000000e-05	1	9.43783349e+03	9.50744371e+03	2.43709264e+02	1.40705609e+02	9.26373444e+03	9.75115297e+03
2.55385620e+02	6.63049280e-01	6.82000000e-05	1	9.72213020e+03	6.35126275e-01	6.87000000e-05	1	9.24492395e+03	6.37674776e-01	6.80000000e-05	1	9.37757024e+03	9.44820813e+03	2.46320394e+02	1.42213146e+02	9.20188774e+03	9.69452853e+03
2.55985687e+02	6.59028228e-01	6.82000000e-05	1	9.66317050e+03	6.31297808e-01	6.87000000e-05	1	9.18919662e+03	6.33664724e-01	6.80000000e-05	1	9.31859888e+03	9.39032200e+03	2.44991762e+02	1.41446060e+02	9.14533024e+03	9.63531376e+03
2.56585754e+02	6.55658293e-01	6.82000000e-05	1	9.61375796e+03	6.27340115e-01	6.87000000e-05	1	9.13158828e+03	6.29737053e-01	6.80000000e-05	1	9.26083902e+03	9.33539509e+03	2.49581357e+02	1.44095864e+02	9.08581373e+03	9.58497644e+03
2.57185760e+02	6.52502549e-01	6.82000000e-05	1	9.56748606e+03	6.23641212e-01	6.87000000e-05	1	9.07774690e+03	6.25991485e-01	6.80000000e-05	1	9.20575713e+03	9.28366337e+03	2.53994385e+02	1.46643727e+02	9.02966898e+03	9.53765775e+03
2.57785767e+02	6.50570463e-01	6.82000000e-05	1	9.53915635e+03	6.20988768e-01	6.87000000e-05	1	9.03913781e+03	6.23094698e-01	6.80000000e-05	1	9.16315733e+03	9.24715050e+03	2.60376217e+02	1.50328279e+02	8.98677428e+03	9.50752671e+03
2.58385742e+02	6.49317255e-01	6.82000000e-05	1	9.52078087e+03	6.18800622e-01	6.87000000e-05	1	9.00728707e+03	6.20457632e-01	6.80000000e-05	1	9.12437694e+03	9.21748163e+03	2.69110261e+02	1.55370882e+02	8.94837137e+03	9.48659189e+03
2.58985657e+02	6.48879843e-01	6.82000000e-05	1	9.51436721e+03	6.17154675e-01	6.87000000e-05	1	8.98332861e+03	6.18324893e-01	6.80000000e-05	1	9.09301314e+03	9.19690298e+03	2.80348576e+02	1.61859326e+02	8.91655441e+03	9.47725156e+03
2.59585602e+02	6.49771006e-01	6.82000000e-05	1	9.52743411e+03	6.15838669e-01	6.87000000e-05	1	8.96417276e+03	6.16651782e-01	6.80000000e-05	1	9.06840856e+03	9.18667181e+03	2.99675630e+02	1.73017806e+02	8.88699618e+03	9.48634744e+03
2.60185486e+02	6.51146165e-01	6.82000000e-05	1	9.54759773e+03	6.14901967e-01	6.87000000e-05	1	8.95053810e+03	6.15476829e-01	6.80000000e-05	1	9.05112984e+03	9.18308855e+03	3.19655872e+02	1.84553404e+02	8.86343268e+03	9.50274443e+03
2.60785339e+02	6.51747390e-01	6.82000000e-05	1	9.55641334e+03	6.14239394e-01	6.87000000e-05	1	8.94089365e+03	6.14539379e-01	6.80000000e-05	1	9.03734381e+03	9.17821693e+03	3.31058980e+02	1.91136992e+02	8.84715795e+03	9.50927591e+03
2.61385193e+02	6.50651038e-01	6.82000000e-05	1	9.54033779e+03	6.13022148e-01	6.87000000e-05	1	8.92317536e+03	6.13646119e-01	6.80000000e-05	1	9.02420763e+03	9.16257360e+03	3.31030545e+02	1.91120574e+02	8.83154305e+03	9.49360414e+03
2.61985016e+02	6.47514268e-01	6.82000000e-05	1	9.49434411e+03	6.11697398e-01	6.87000000e-05	1	8.90389226e+03	6.12422338e-01	6.80000000e-05	1	9.00621086e+03	9.13481574e+03	3.15535670e+02	1.82174604e+02	8.81928007e+03	9.45035141e+03
2.62584778e+02	6.42643901e-01	6.82000000e-05	1	9.42293110e+03	6.09729198e-01	6.87000000e-05	1	8.87524305e+03	6.10934218e-01	6.80000000e-05	1	8.98432674e+03	9.09416696e+03	2.89895164e+02	1.67371051e+02	8.80427180e+03	9.38406213e+03
2.63184540e+02	6.35935249e-01	6.82000000e-05	1	9.32456377e+03	6.06736018e-01	6.87000000e-05	1	8.83167421e+03	6.08289205e-01	6.80000000e-05	1	8.94542948e+03	9.03388915e+03	2.58077248e+02	1.49000968e+02	8.77581191e+03	9.29196640e+03
2.63784302e+02	6.27892065e-01	6.82000000e-05	1	9.20662852e+03	6.02552429e-01	6.87000000e-05	1	8.77077771e+03	6.04623255e-01	6.80000000e-05	1	8.89151845e+03	8.95630823e+03	2.25032815e+02	1.29922757e+02	8.73127541e+03	9.18134104e+03
2.64384003e+02	6.19059968e-01	6.82000000e-05	1	9.07712563e+03	5.97130151e-01	6.87000000e-05	1	8.69185081e+03	5.99799076e-01	6.80000000e-05	1	8.82057464e+03	8.86318370e+03	1.96139797e+02	1.13241365e+02	8.66704390e+03	9.05932349e+03
2.64983673e+02	6.10069881e-01	6.82000000e-05	1	8.94530617e+03	5.90867436e-01	6.87000000e-05	1	8.60069048e+03	5.93973248e-01	6.80000000e-05	1	8.73490071e+03	8.76029912e+03	1.73706082e+02	1.00289253e+02	8.58659304e+03	8.93400520e+03
2.65583344e+02	6.02205915e-01	6.82000000e-05	1	8.82999876e+03	5.83941561e-01	6.87000000e-05	1	8.49987716e+03	5.87226478e-01	6.80000000e-05	1	8.63568350e+03	8.65518647e+03	1.65922696e+02	9.57955132e+01	8.48926378e+03	8.82110917e+03
2.66182983e+02	5.96636437e-01	6.82000000e-05	1	8.74833486e+03	5.76538644e-01	6.87000000e-05	1	8.39212001e+03	5.79658758e-01	6.80000000e-05	1	8.52439350e+03	8.55494945e+03	1.80062501e+02	1.03959134e+02	8.37488695e+03	8.73501195e+03
2.66782593e+02	5.93032497e-01	6.82000000e-05	1	8.69549116e+03	5.69225619e-01	6.87000000e-05	1	8.28567132e+03	5.71445725e-01	6.80000000e-05	1	8.40361360e+03	8.46159202e+03	2.10972037e+02	1.21804762e+02	8.25061999e+03	8.67256406e+03
