Wavelength [nm]	Wavenumbers [1/cm]	2107362U1_0001	2107362U1_0035
175.355	57027.31	-0.04737	0.2063
175.931	56840.38	-0.0221	-0.3972
176.508	56654.66	-0.4264	-0.6763
177.085	56470.15	0.05609	3.38
177.661	56286.85	-0.0291	0.9133
178.238	56104.72	0.1043	0.4801
178.815	55923.78	0.07656	0.2021
179.392	55743.99	0.1529	-0.09959
179.968	55565.36	-0.1033	2.531
180.545	55387.87	-0.03764	1.468
181.122	55211.51	0.07598	-0.2218
181.698	55036.27	-0.007047	-0.09618
182.275	54862.14	-0.202	-0.215
182.852	54689.1	-0.1946	-0.2133
183.428	54517.16	0.08928	1.649
184.005	54346.29	0.1342	2.681
184.582	54176.49	0.1404	0.1865
185.159	54007.75	0.3671	0.2825
185.735	53840.05	0.3131	0.2429
186.312	53673.4	0.3148	0.2614
186.889	53507.77	0.2654	0.2271
187.465	53343.16	0.3328	0.2752
188.042	53179.56	0.3476	0.2564
188.619	53016.96	0.5287	0.4119
189.196	52855.36	0.3273	0.296
189.772	52694.73	0.2956	0.2356
190.349	52535.08	0.286	0.238
190.926	52376.39	0.3125	0.2668
191.502	52218.66	0.3051	0.2671
192.079	52061.88	0.3233	0.2752
192.656	51906.03	0.3062	0.2621
193.233	51751.12	0.3205	0.2728
193.809	51597.12	0.3445	0.3024
194.386	51444.04	0.352	0.3031
194.963	51291.87	0.3508	0.3016
195.539	51140.59	0.367	0.326
196.116	50990.21	0.3806	0.3401
196.693	50840.7	0.3937	0.3526
197.27	50692.07	0.4206	0.3705
197.846	50544.31	0.4133	0.3567
198.423	50397.4	0.4138	0.3716
199	50251.35	0.4099	0.382
199.576	50106.14	0.4673	0.4368
200.153	49961.76	0.5669	0.5376
200.73	49818.22	0.6217	0.5992
201.306	49675.5	0.674	0.6656
201.883	49533.59	0.8385	0.8125
202.46	49392.5	0.8164	0.795
203.037	49252.2	0.8766	0.8407
203.613	49112.7	0.9329	0.8842
204.19	48973.99	1.042	0.9822
204.767	48836.06	1.056	1.031
205.343	48698.9	1.076	1.039
205.92	48562.51	1.086	1.045
206.497	48426.89	1.108	1.099
207.074	48292.02	1.116	1.091
207.65	48157.89	1.152	1.11
208.227	48024.51	1.196	1.17
208.804	47891.87	1.237	1.214
209.38	47759.96	1.275	1.242
209.957	47628.77	1.3	1.272
210.534	47498.31	1.295	1.282
211.111	47368.55	1.282	1.279
211.687	47239.5	1.312	1.314
212.264	47111.16	1.281	1.298
212.841	46983.5	1.237	1.258
213.417	46856.54	1.263	1.267
213.994	46730.26	1.207	1.208
214.571	46604.67	1.164	1.163
215.147	46479.74	1.054	1.069
215.724	46355.48	0.9791	0.9959
216.301	46231.89	1.209	1.287
216.878	46108.95	1.283	1.372
217.454	45986.67	1.314	1.427
218.031	45865.03	1.253	1.355
218.608	45744.03	1.167	1.235
219.184	45623.67	1.088	1.122
219.761	45503.94	1.009	1.013
220.338	45384.84	0.938	0.9245
220.915	45266.36	0.884	0.8568
221.491	45148.5	0.8355	0.8018
222.068	45031.25	0.7931	0.7584
222.645	44914.61	0.7563	0.7255
223.221	44798.57	0.7229	0.6982
223.798	44683.12	0.6944	0.675
224.375	44568.28	0.6677	0.6552
224.952	44454.02	0.6435	0.639
225.528	44340.34	0.625	0.6278
226.105	44227.25	0.6079	0.6184
226.682	44114.73	0.5935	0.6118
227.258	44002.78	0.5798	0.608
227.835	43891.39	0.5684	0.6058
228.412	43780.57	0.5588	0.607
228.989	43670.31	0.5511	0.6104
229.565	43560.6	0.544	0.6136
230.142	43451.45	0.5391	0.6201
230.719	43342.83	0.5346	0.628
231.295	43234.76	0.5308	0.6371
231.872	43127.23	0.5287	0.6461
232.449	43020.23	0.5279	0.658
233.025	42913.76	0.5271	0.6687
233.602	42807.82	0.528	0.6811
234.179	42702.4	0.5293	0.6942
234.756	42597.49	0.532	0.7086
235.332	42493.1	0.536	0.7249
235.909	42389.22	0.5396	0.7403
236.486	42285.85	0.5434	0.7548
237.062	42182.98	0.5479	0.7699
237.639	42080.61	0.5532	0.7859
238.216	41978.73	0.5588	0.8022
238.793	41877.35	0.5641	0.8179
239.369	41776.46	0.571	0.8336
239.946	41676.05	0.5785	0.8513
240.523	41576.12	0.5868	0.8696
241.099	41476.67	0.5932	0.8847
241.676	41377.69	0.601	0.9013
242.253	41279.19	0.6104	0.9181
242.83	41181.15	0.6173	0.9307
243.406	41083.58	0.6246	0.9437
