Cycle,CurrentTime (YYYYMMDDHHMISS),ElapsedTime (s),Event
0,20240207113118,0.078,Measure
1,20240207113119,1.125,LEDon
1,20240207113147,29.687999999999999,LEDoff
1,20240207113148,30.219000000000001,Measure
2,20240207113149,31.265999999999998,LEDon
2,20240207113217,59.828000000000003,LEDoff
2,20240207113218,60.359999999999999,Measure
3,20240207113219,61.406999999999996,LEDon
3,20240207113248,89.968999999999994,LEDoff
3,20240207113248,90.5,Measure
4,20240207113249,91.546999999999997,LEDon
4,20240207113318,120.11,LEDoff
4,20240207113318,120.64100000000001,Measure
5,20240207113319,121.688,LEDon
5,20240207113348,150.25,LEDoff
5,20240207113348,150.78200000000001,Measure
6,20240207113349,151.828,LEDon
6,20240207113418,180.39099999999999,LEDoff
6,20240207113419,180.922,Measure
7,20240207113420,181.96899999999999,LEDon
7,20240207113448,210.53200000000001,LEDoff
7,20240207113449,211.06299999999999,Measure
8,20240207113450,212.11000000000001,LEDon
8,20240207113518,240.672,LEDoff
8,20240207113519,241.203,Measure
9,20240207113520,242.25,LEDon
9,20240207113548,270.81299999999999,LEDoff
9,20240207113549,271.34399999999999,Measure
10,20240207113550,272.39100000000002,LEDon
10,20240207113619,300.95299999999997,LEDoff
10,20240207113619,301.48500000000001,Measure
11,20240207113620,302.53199999999998,LEDon
11,20240207113649,331.09399999999999,LEDoff
11,20240207113649,331.625,Measure
12,20240207113650,332.67200000000003,LEDon
12,20240207113719,361.23500000000001,LEDoff
12,20240207113719,361.76600000000002,Measure
13,20240207113720,362.81299999999999,LEDon
13,20240207113749,391.375,LEDoff
13,20240207113750,391.90699999999998,Measure
14,20240207113751,392.95299999999997,LEDon
14,20240207113819,421.51600000000002,LEDoff
14,20240207113820,422.04700000000003,Measure
15,20240207113821,423.09399999999999,LEDon
15,20240207113849,451.65699999999998,LEDoff
15,20240207113850,452.18799999999999,Measure
16,20240207113851,453.23500000000001,LEDon
16,20240207113919,481.79700000000003,LEDoff
16,20240207113920,482.32799999999997,Measure
17,20240207113921,483.375,LEDon
17,20240207113950,511.93799999999999,LEDoff
17,20240207113950,512.46900000000005,Measure
18,20240207113951,513.51599999999996,LEDon
18,20240207114020,542.07799999999997,LEDoff
18,20240207114020,542.61000000000001,Measure
19,20240207114021,543.65700000000004,LEDon
19,20240207114050,572.21900000000005,LEDoff
19,20240207114050,572.75,Measure
20,20240207114051,573.79700000000003,LEDon
20,20240207114120,602.36000000000001,LEDoff
20,20240207114121,602.89099999999996,Measure
21,20240207114122,603.93799999999999,LEDon
21,20240207114150,632.5,LEDoff
21,20240207114151,633.03200000000004,Measure
22,20240207114152,634.07799999999997,LEDon
22,20240207114220,662.64099999999996,LEDoff
22,20240207114221,663.17200000000003,Measure
23,20240207114222,664.21900000000005,LEDon
23,20240207114250,692.78200000000004,LEDoff
23,20240207114251,693.31299999999999,Measure
24,20240207114252,694.36000000000001,LEDon
24,20240207114321,722.92200000000003,LEDoff
24,20240207114321,723.45299999999997,Measure
25,20240207114322,724.5,LEDon
25,20240207114351,753.06299999999999,LEDoff
25,20240207114351,753.61000000000001,Measure
26,20240207114352,754.65700000000004,LEDon
26,20240207114421,783.21900000000005,LEDoff
26,20240207114421,783.75,Measure
27,20240207114422,784.79700000000003,LEDon
27,20240207114451,813.36000000000001,LEDoff
27,20240207114452,813.89099999999996,Measure
28,20240207114453,814.93799999999999,LEDon
28,20240207114521,843.5,LEDoff
28,20240207114522,844.03200000000004,Measure
29,20240207114523,845.07799999999997,LEDon
29,20240207114551,873.64099999999996,LEDoff
29,20240207114552,874.17200000000003,Measure
30,20240207114553,875.21900000000005,LEDon
30,20240207114621,903.78200000000004,LEDoff
30,20240207114622,904.31299999999999,Measure
31,20240207114623,905.36000000000001,LEDon
31,20240207114652,933.92200000000003,LEDoff
31,20240207114652,934.45299999999997,Measure
32,20240207114653,935.5,LEDon
32,20240207114722,964.06299999999999,LEDoff
32,20240207114722,964.59400000000005,Measure
33,20240207114723,965.64099999999996,LEDon
33,20240207114752,994.20299999999997,LEDoff
33,20240207114752,994.75,Measure
34,20240207114753,995.79700000000003,LEDon
34,20240207114822,1024.3599999999999,LEDoff
34,20240207114823,1024.9069999999999,Measure
35,20240207114824,1025.953,LEDon
35,20240207114852,1054.5160000000001,LEDoff
35,20240207114853,1055.047,Measure
36,20240207114854,1056.0940000000001,LEDon
36,20240207114922,1084.6569999999999,LEDoff
36,20240207114923,1085.1880000000001,Measure
37,20240207114924,1086.2349999999999,LEDon
37,20240207114952,1114.797,LEDoff
37,20240207114953,1115.328,Measure
38,20240207114954,1116.375,LEDon
38,20240207115023,1144.9380000000001,LEDoff
38,20240207115023,1145.4690000000001,Measure
39,20240207115024,1146.5160000000001,LEDon
39,20240207115053,1175.078,LEDoff
39,20240207115053,1175.6099999999999,Measure
40,20240207115054,1176.6569999999999,LEDon
40,20240207115123,1205.2190000000001,LEDoff
40,20240207115123,1205.75,Measure
41,20240207115124,1206.797,LEDon
41,20240207115153,1235.3599999999999,LEDoff
41,20240207115154,1235.8910000000001,Measure
42,20240207115155,1236.9380000000001,LEDon
42,20240207115223,1265.5,LEDoff
42,20240207115224,1266.0319999999999,Measure
43,20240207115225,1267.078,LEDon
43,20240207115253,1295.6410000000001,LEDoff
43,20240207115254,1296.172,Measure
44,20240207115255,1297.2190000000001,LEDon
44,20240207115323,1325.7819999999999,LEDoff
44,20240207115324,1326.3130000000001,Measure
45,20240207115325,1327.3599999999999,LEDon
45,20240207115354,1355.922,LEDoff
45,20240207115354,1356.453,Measure
46,20240207115355,1357.5,LEDon
46,20240207115424,1386.0630000000001,LEDoff
46,20240207115424,1386.5940000000001,Measure
47,20240207115425,1387.6410000000001,LEDon
47,20240207115454,1416.203,LEDoff
47,20240207115454,1416.7349999999999,Measure
48,20240207115455,1417.7819999999999,LEDon
48,20240207115524,1446.3440000000001,LEDoff
48,20240207115525,1446.875,Measure
49,20240207115526,1447.922,LEDon
49,20240207115554,1476.4849999999999,LEDoff
49,20240207115555,1477.0160000000001,Measure
50,20240207115556,1478.0630000000001,LEDon
50,20240207115624,1506.625,LEDoff
50,20240207115625,1507.1569999999999,Measure
51,20240207115626,1508.203,LEDon
51,20240207115654,1536.7660000000001,LEDoff
51,20240207115655,1537.297,Measure
52,20240207115656,1538.3440000000001,LEDon
52,20240207115725,1566.9069999999999,LEDoff
52,20240207115725,1567.4380000000001,Measure
53,20240207115726,1568.4849999999999,LEDon
53,20240207115755,1597.047,LEDoff
53,20240207115755,1597.578,Measure
54,20240207115756,1598.625,LEDon
54,20240207115825,1627.1880000000001,LEDoff
54,20240207115825,1627.7190000000001,Measure
55,20240207115826,1628.7660000000001,LEDon
55,20240207115855,1657.328,LEDoff
55,20240207115856,1657.8599999999999,Measure
56,20240207115857,1658.9069999999999,LEDon
56,20240207115925,1687.4690000000001,LEDoff
56,20240207115926,1688.0,Measure
57,20240207115927,1689.047,LEDon
57,20240207115955,1717.6099999999999,LEDoff
57,20240207115956,1718.1410000000001,Measure
58,20240207115957,1719.1880000000001,LEDon
58,20240207120025,1747.75,LEDoff
58,20240207120026,1748.2819999999999,Measure
59,20240207120027,1749.328,LEDon
59,20240207120056,1777.8910000000001,LEDoff
59,20240207120056,1778.422,Measure
60,20240207120057,1779.4690000000001,LEDon
60,20240207120126,1808.0319999999999,LEDoff
60,20240207120126,1808.5630000000001,Measure
61,20240207120127,1809.6099999999999,LEDon
61,20240207120156,1838.172,LEDoff
61,20240207120156,1838.703,Measure
62,20240207120157,1839.75,LEDon
62,20240207120226,1868.3130000000001,LEDoff
62,20240207120227,1868.8440000000001,Measure
63,20240207120228,1869.8910000000001,LEDon
63,20240207120256,1898.453,LEDoff
63,20240207120257,1898.9849999999999,Measure
64,20240207120258,1900.0319999999999,LEDon
64,20240207120326,1928.5940000000001,LEDoff
64,20240207120327,1929.125,Measure
65,20240207120328,1930.172,LEDon
65,20240207120356,1958.7349999999999,LEDoff
65,20240207120357,1959.2660000000001,Measure
66,20240207120358,1960.3130000000001,LEDon
66,20240207120427,1988.875,LEDoff
66,20240207120427,1989.4069999999999,Measure
67,20240207120428,1990.453,LEDon
67,20240207120457,2019.0160000000001,LEDoff
67,20240207120457,2019.547,Measure
68,20240207120458,2020.5940000000001,LEDon
68,20240207120527,2049.1570000000002,LEDoff
68,20240207120527,2049.6880000000001,Measure
69,20240207120528,2050.7350000000001,LEDon
69,20240207120557,2079.297,LEDoff
69,20240207120558,2079.828,Measure
70,20240207120559,2080.875,LEDon
70,20240207120627,2109.4380000000001,LEDoff
70,20240207120628,2109.9690000000001,Measure
71,20240207120629,2111.0160000000001,LEDon
71,20240207120657,2139.6100000000001,LEDoff
71,20240207120658,2140.1410000000001,Measure
72,20240207120659,2141.1880000000001,LEDon
72,20240207120727,2169.75,LEDoff
72,20240207120728,2170.2820000000002,Measure
73,20240207120729,2171.328,LEDon
73,20240207120758,2199.8910000000001,LEDoff
73,20240207120758,2200.4380000000001,Measure
74,20240207120759,2201.4850000000001,LEDon
