Wavelength [nm]	Wavenumbers [1/cm]	Epsilons ITI-Z
200.003	49999.13	1.187E4
201.003	49750.38	1.189E4
202.003	49504.10	1.202E4
203.003	49260.24	1.225E4
204.003	49018.78	1.251E4
205.003	48779.67	1.277E4
206.003	48542.88	1.314E4
207.003	48308.38	1.356E4
208.003	48076.13	1.402E4
209.003	47846.11	1.448E4
210.003	47618.28	1.485E4
211.003	47392.60	1.533E4
212.003	47169.06	1.582E4
213.003	46947.61	1.632E4
214.003	46728.24	1.668E4
215.003	46510.90	1.698E4
216.003	46295.58	1.736E4
217.003	46082.24	1.767E4
218.003	45870.86	1.797E4
219.003	45661.41	1.808E4
220.003	45453.86	1.811E4
221.003	45248.19	1.82E4
222.003	45044.38	1.808E4
223.003	44842.39	1.792E4
224.003	44642.20	1.773E4
225.003	44443.80	1.775E4
226.003	44247.15	1.807E4
227.003	44052.23	1.797E4
228.003	43859.03	1.946E4
229.003	43667.51	2.025E4
230.003	43477.65	2.115E4
231.003	43289.44	2.236E4
232.003	43102.85	2.357E4
233.003	42917.87	2.503E4
234.003	42734.46	2.624E4
235.003	42552.62	2.656E4
236.003	42372.31	2.766E4
237.003	42193.53	2.846E4
238.003	42016.25	2.915E4
239.003	41840.45	2.937E4
240.003	41666.12	2.963E4
241.003	41493.24	3.033E4
242.003	41321.78	3.051E4
243.003	41151.74	3.034E4
244.003	40983.09	3.045E4
245.003	40815.81	3.046E4
246.003	40649.90	3.06E4
247.003	40485.33	3.062E4
248.003	40322.08	3.086E4
249.003	40160.15	3.036E4
250.003	39999.51	2.995E4
251.003	39840.16	2.994E4
252.003	39682.06	3.03E4
253.003	39525.22	3.097E4
254.003	39369.61	3.03E4
255.003	39215.22	3.035E4
256.003	39062.04	3.095E4
257.003	38910.05	3.08E4
258.003	38759.24	3.05E4
259.003	38609.60	3.065E4
260.003	38461.10	3.073E4
261.003	38313.74	3.083E4
262.003	38167.51	2.913E4
263.003	38022.39	2.556E4
264.003	37878.37	2.138E4
265.003	37735.43	1.668E4
266.003	37593.57	1.308E4
267.003	37452.78	1.069E4
268.003	37313.03	8734
269.003	37174.32	7286
270.003	37036.64	6051
271.003	36899.98	5194
272.003	36764.32	4669
273.003	36629.66	4145
274.003	36495.97	3708
275.003	36363.26	3362
276.003	36231.51	3132
277.003	36100.72	2915
278.003	35970.86	2749
279.003	35841.94	2589
280.003	35713.93	2459
281.003	35586.84	2350
282.003	35460.65	2241
283.003	35335.35	2149
284.003	35210.93	2054
285.003	35087.38	1971
286.003	34964.70	1900
287.003	34842.88	1834
288.003	34721.90	1771
289.003	34601.75	1691
290.003	34482.44	1636
291.003	34363.94	1568
292.003	34246.26	1525
293.003	34129.38	1475
294.003	34013.30	1413
295.003	33898.00	1370
296.003	33783.48	1319
297.003	33669.74	1277
298.003	33556.75	1243
299.003	33444.52	1202
300.003	33333.04	1156
301.003	33222.31	1121
302.003	33112.30	1097
303.003	33003.02	1070
304.003	32894.46	1037
305.003	32786.61	1013
306.003	32679.47	998.3
307.003	32573.02	982.3
308.003	32467.27	958.1
309.003	32362.20	955
310.003	32257.80	950.8
311.003	32154.08	957.1
312.002	32051.03	960.6
313.002	31948.63	974.7
314.002	31846.88	989.6
315.002	31745.78	1008
316.002	31645.32	1028
317.002	31545.50	1047
318.002	31446.30	1068
319.002	31347.72	1100
320.002	31249.76	1121
321.002	31152.41	1146
322.002	31055.67	1178
323.002	30959.52	1219
324.002	30863.97	1262
325.002	30769.01	1324
326.002	30674.62	1402
327.002	30580.82	1482
328.002	30487.59	1594
329.002	30394.92	1733
330.002	30302.82	1833
331.002	30211.27	1930
332.002	30120.27	2025
333.002	30029.82	2114
334.002	29939.91	2195
335.002	29850.54	2271
336.002	29761.70	2330
337.002	29673.39	2381
338.002	29585.60	2430
339.002	29498.33	2502
340.002	29411.57	2589
341.002	29325.32	2684
342.002	29239.58	2828
343.002	29154.33	2987
344.002	29069.58	3211
345.002	28985.32	3416
346.002	28901.55	3608
347.002	28818.26	3793
348.002	28735.45	3994
349.002	28653.12	4161
350.002	28571.25	4301
351.002	28489.85	4385
352.002	28408.92	4456
353.002	28328.44	4507
354.002	28248.42	4541
355.002	28168.85	4560
356.002	28089.72	4578
357.002	28011.04	4603
358.002	27932.80	4660
359.002	27854.99	4785
360.002	27777.62	4956
361.002	27700.67	5140
362.002	27624.15	5343
363.002	27548.05	5589
364.002	27472.37	5836
365.002	27397.11	6059
366.002	27322.25	6240
367.002	27247.81	6368
368.002	27173.77	6448
369.002	27100.12	6505
370.002	27026.88	6488
371.002	26954.03	6435
372.002	26881.58	6372
373.002	26809.51	6251
374.002	26737.83	6133
375.002	26666.53	6022
376.002	26595.61	5915
377.002	26525.06	5834
378.002	26454.89	5785
379.002	26385.09	5743
380.002	26315.66	5731
381.002	26246.59	5759
382.002	26177.88	5810
383.002	26109.53	5902
384.002	26041.54	6009
385.002	25973.90	6129
386.002	25906.61	6242
387.002	25839.67	6304
388.002	25773.07	6272
389.002	25706.82	6191
390.002	25640.91	6061
391.002	25575.33	5868
392.002	25510.09	5679
393.002	25445.18	5477
394.002	25380.60	5257
395.002	25316.34	5028
396.002	25252.41	4796
397.002	25188.81	4539
398.002	25125.52	4291
399.002	25062.55	4080
400.002	24999.89	3836
401.002	24937.55	3572
402.002	24875.52	3333
403.002	24813.79	3093
404.002	24752.37	2884
405.002	24691.26	2660
406.002	24630.44	2427
407.002	24569.92	2235
408.002	24509.71	2037
409.002	24449.78	1870
410.002	24390.15	1699
411.002	24330.80	1540
412.002	24271.75	1387
413.002	24212.98	1249
414.002	24154.50	1137
415.002	24096.29	1034
416.002	24038.37	927.8
417.002	23980.73	822.1
418.002	23923.36	754.5
419.002	23866.26	694.5
420.002	23809.44	634.7
421.002	23752.88	572.4
422.002	23696.60	517.6
423.002	23640.58	463.6
424.002	23584.82	432.8
425.001	23529.33	393.1
426.001	23474.10	359.5
427.001	23419.12	330.1
428.001	23364.41	295.3
429.001	23309.94	277.3
430.001	23255.74	257.9
431.001	23201.78	232.2
432.001	23148.07	215.7
433.001	23094.61	197.4
434.001	23041.40	194.5
435.001	22988.43	175
436.001	22935.71	162.7
437.001	22883.22	144
438.001	22830.98	135.8
439.001	22778.97	128
440.001	22727.20	123.3
441.001	22675.67	111.2
442.001	22624.37	107.3
443.001	22573.30	96.59
444.001	22522.46	93.59
445.001	22471.84	89.47
446.001	22421.46	78.49
447.001	22371.30	69.75
448.001	22321.36	67.47
449.001	22271.65	63.08
450.001	22222.16	59.15
451.001	22172.89	56.05
452.001	22123.83	53.67
453.001	22074.99	44.44
454.001	22026.37	43.48
455.001	21977.96	37.94
456.001	21929.77	41.48
457.001	21881.78	35.47
458.001	21834.00	36.02
459.001	21786.44	32.25
460.001	21739.07	36.13
461.001	21691.92	27.53
462.001	21644.97	30.31
463.001	21598.22	29.19
464.001	21551.67	24.07
465.001	21505.32	26.61
466.001	21459.18	25.66
467.001	21413.22	23.77
468.001	21367.47	24.66
469.001	21321.91	22.21
470.001	21276.55	25.06
471.001	21231.37	18.93
472.001	21186.39	20.95
473.001	21141.60	20.06
474.001	21097.00	25.55
475.001	21052.58	24.57
476.001	21008.36	20.47
477.001	20964.32	22.19
478.001	20920.46	21.19
479.001	20876.78	16.89
480.001	20833.29	20.97
481.001	20789.98	20
482.001	20746.85	25.55
483.001	20703.89	17.96
484.001	20661.12	23.43
485.001	20618.52	16.77
486.001	20576.09	19.33
487.001	20533.84	25.63
488.001	20491.76	19.64
489.001	20449.86	16.9
490.001	20408.13	21.63
491.001	20366.56	23.93
492.001	20325.17	16.04
493.001	20283.94	18.47
494.001	20242.88	15.86
495.001	20201.98	18.7
496.001	20161.26	19.23
497.001	20120.69	19.83
498.001	20080.29	15.74
499.001	20040.05	13.76
500.001	19999.97	12.46
501.001	19960.05	18.88
502.001	19920.29	15.13
503.001	19880.68	17.84
504.001	19841.24	15.12
505.001	19801.95	15.74
506.001	19762.82	17.04
507.001	19723.84	16.75
508.001	19685.01	13.22
509.001	19646.34	17.73
510.001	19607.81	17.89
511.001	19569.44	18.18
512.001	19531.22	17.58
513.001	19493.15	16.52
514.001	19455.23	23.45
515.001	19417.45	18
516.001	19379.82	21.03
517.001	19342.33	19.12
518.001	19304.99	16.34
519.001	19267.80	16.14
520.001	19230.75	11.44
521.001	19193.83	14.56
522.001	19157.06	14.69
523.001	19120.44	13.48
524.001	19083.95	11.42
525.001	19047.60	21.13
526.001	19011.39	29.7
527.001	18975.31	17.79
528.001	18939.37	12.45
529.001	18903.57	18.97
530.001	18867.90	22.71
531.001	18832.37	16.34
532.001	18796.97	16.14
533.001	18761.71	17.12
534.001	18726.57	20.45
535.001	18691.57	16.96
536.001	18656.70	16.85
537.001	18621.96	14.23
538.000	18587.34	14.6
539.000	18552.86	15.51
540.000	18518.50	18.95
541.000	18484.27	22.59
542.000	18450.17	14
543.000	18416.19	15.31
544.000	18382.34	15.42
545.000	18348.61	14.92
546.000	18315.00	17.75
547.000	18281.52	15.17
548.000	18248.16	20.03
549.000	18214.92	23.88
550.000	18181.81	11.51
551.000	18148.81	10.39
552.000	18115.93	12.83
553.000	18083.17	11.82
554.000	18050.53	12.23
555.000	18018.01	11.88
556.000	17985.60	16.24
557.000	17953.31	18.58
558.000	17921.14	13.9
559.000	17889.08	15.83
560.000	17857.13	14
561.000	17825.30	9.317
562.000	17793.59	11.83
563.000	17761.98	13.66
564.000	17730.49	14.31
565.000	17699.11	9.777
566.000	17667.84	12.02
567.000	17636.68	11.01
568.000	17605.63	24.76
569.000	17574.69	9.46
570.000	17543.85	12.42
571.000	17513.13	14.67
572.000	17482.51	11.04
573.000	17452.00	20.7
574.000	17421.60	9.413
575.000	17391.30	11.49
576.000	17361.11	9.333
577.000	17331.02	11.73
578.000	17301.03	12.45
579.000	17271.15	16.84
580.000	17241.38	11.57
581.000	17211.70	16.56
582.000	17182.13	14.28
583.000	17152.66	13.57
584.000	17123.29	13.67
585.000	17094.01	12.75
586.000	17064.84	8.859
587.000	17035.77	15.22
588.000	17006.80	7.587
589.000	16977.93	12.35
590.000	16949.15	13.68
591.000	16920.47	14.7
592.000	16891.89	15.11
593.000	16863.41	20.54
594.000	16835.02	16.37
595.000	16806.72	7.389
596.000	16778.52	9.584
597.000	16750.42	6.875
598.000	16722.41	20.82
599.000	16694.49	13.24
600.000	16666.67	12.28
601.000	16638.94	8.82
602.000	16611.30	17.75
603.000	16583.75	7.266
