Wavelength [nm]	Wavenumbers [1/cm]	2107362U1_0001	2107362U1_0002	2107362U1_0003	2107362U1_0004	2107362U1_0005	2107362U1_0006	2107362U1_0007	2107362U1_0008	2107362U1_0009	2107362U1_0010	2107362U1_0011	2107362U1_0012	2107362U1_0013	2107362U1_0014	2107362U1_0015	2107362U1_0016	2107362U1_0017	2107362U1_0018	2107362U1_0019	2107362U1_0020	2107362U1_0021	2107362U1_0022	2107362U1_0023	2107362U1_0024	2107362U1_0025	2107362U1_0026	2107362U1_0027	2107362U1_0028	2107362U1_0029	2107362U1_0030	2107362U1_0031	2107362U1_0032	2107362U1_0033	2107362U1_0034	2107362U1_0035	2107362U1_0036	2107362U1_0037	2107362U1_0038	2107362U1_0039	2107362U1_0040	2107362U1_0041	2107362U1_0042	2107362U1_0043	2107362U1_0044	2107362U1_0045	2107362U1_0046	2107362U1_0047	2107362U1_0048	2107362U1_0049	2107362U1_0050	2107362U1_0051	2107362U1_0052	2107362U1_0053	2107362U1_0054	2107362U1_0055	2107362U1_0056	2107362U1_0057	2107362U1_0058	2107362U1_0059	2107362U1_0060	2107362U1_0061	2107362U1_0062	2107362U1_0063	2107362U1_0064	2107362U1_0065	2107362U1_0066	2107362U1_0067	2107362U1_0068	2107362U1_0069	2107362U1_0070	2107362U1_0071	2107362U1_0072	2107362U1_0073
175.355	57027.31	0.164	0.8936	0.04459	-0.03696	0.07688	0.04771	0.06662	0.07189	-0.1359	0.09159	0.2942	0.4637	-0.1375	0.5369	-0.07186	0.1606	-0.1284	-0.1247	0.07441	0.01991	0.1407	-0.1092	-0.1755	0.1148	0.2969	0.236	0.004337	0.0598	-0.04428	0.1482	0.2411	0.1073	0.4869	0.7883	-0.02518	-0.1767	0.6945	-0.04517	-0.1296	-0.07127	-0.1228	-0.00835	0.1237	0.1152	0.22	0.7414	-0.05715	0.02872	0.04481	-0.09241	0.3704	0.574	0.04617	1.229	-0.03785	0.8514	-0.08281	0.08674	-0.2277	-0.1554	0.09384	0.1444	-0.2507	-0.04765	0.07888	0.6543	0.36	0.02073	0.09866	-0.2077	-0.186	0.2199	0.1906
175.931	56840.38	0.002958	0.076	0.04683	0.8972	0.1205	0.2357	-0.03657	-0.1348	0.04008	-0.1023	-0.09889	-0.1961	0.9563	0.3163	-0.1193	0.5149	0.2676	0.3774	0.5267	0.1839	-0.07716	-0.1971	0.1705	0.2186	1.132	-0.1314	0.1652	0.4207	0.04627	0.2194	0.06797	0.2287	0.1262	-0.07244	0.1901	-0.06963	-0.1133	0.1232	-0.2336	0.07393	0.06359	-0.07414	-0.1583	-0.2005	-0.1774	-0.05231	0.3175	0.004009	-0.06808	0.2815	-0.2993	-0.02887	-0.1012	-0.08624	-0.03002	0.2932	-0.1197	0.4265	0.09821	0.01233	0.3132	-0.1056	0.1641	-0.02871	-0.08362	-0.1492	0.1716	0.06445	-0.02029	-0.08862	0.4751	-0.1457	-0.07771
176.508	56654.66	0.2702	-0.4356	-0.1296	0.2572	-0.1773	0.03577	-0.3724	-0.1455	-0.4479	-0.2183	-0.5082	-0.3844	0.5168	3.685	3.648	3.706	3.684	3.695	0.3077	-0.02838	0.2419	0.4501	-0.2502	3.679	3.762	-0.3077	-0.1923	0.2999	0.6831	-0.4777	0.3478	0.04533	-0.2384	-0.5638	3.677	-0.03534	-0.3731	3.671	-0.2142	0.2217	3.665	-0.4272	-0.191	-0.3374	-0.3582	-0.7736	0.1119	3.659	0.04689	-0.3395	-0.06521	-0.2085	-0.4886	0.3907	0.03525	-0.1327	-0.2709	0.297	0.04974	0.794	0.546	3.649	0.28	-0.4495	-0.2828	0.2223	-0.1928	3.665	-0.2842	-0.337	-0.09927	-0.12	-0.2545
177.085	56470.15	3.521	-0.4119	3.463	3.508	3.455	3.484	-0.01628	-0.6786	3.416	-0.2845	-0.6513	-0.6228	0.1442	4.012	-0.1789	1.194	4.013	4.013	0.737	-0.33	-0.3253	-0.3681	-0.1857	4.013	0.7805	3.44	3.452	3.521	3.581	-0.275	3.532	3.486	-0.3725	-0.8407	0.3906	3.477	-0.58	4.014	-0.4176	-0.5149	0.3258	-0.3142	-0.5239	-0.489	3.433	-0.7768	-0.576	4.012	3.49	3.429	-0.4775	0.4254	-0.1407	-0.5649	3.488	-0.3997	-0.3806	3.52	3.488	3.597	3.557	4.013	3.521	-0.6274	-0.1343	-0.4941	3.452	4.013	0.6449	0.4165	3.462	-0.09304	0.03003
177.661	56286.85	4.012	3.235	1.307	1.992	0.646	1.264	3.313	0.9045	1.192	3.254	3.188	-0.102	0.3124	0.5021	3.161	0.3472	4.013	0.5272	0.2446	-0.2242	0.06246	0.3308	0.4701	4.013	-0.003086	1.1	4.013	0.841	1.077	3.265	4.013	4.013	3.237	0.7751	0.4266	4.012	3.199	0.6488	0.2825	-0.09142	-0.1932	0.4488	3.204	3.216	4.013	3.17	3.186	4.012	1.18	0.4786	0.3377	0.2417	0.4163	3.179	4.013	-0.1933	0.3868	0.7494	0.7505	0.4241	0.8205	0.8024	4.013	-0.09074	-0.01024	-0.1066	1.019	0.5583	0.1294	0.594	0.9719	0.009802	0.3602
178.238	56104.72	1.015	1.208	0.1087	0.2353	-0.1448	0.2735	0.7642	0.4598	-0.03562	1.052	2.039	0.2834	0.006076	0.01917	0.9939	-0.06856	0.7788	-0.111	-0.108	-0.1731	0.04711	0.1742	-0.09748	0.8651	-0.1012	0.1194	1.3	0.254	0.1977	0.8452	1.016	0.8376	1.151	0.4244	0.1235	1.007	1.282	-0.1069	0.01527	-0.09272	-0.1413	0.5048	0.9426	1.683	1.154	1.399	0.8745	1.045	0.3645	-0.2664	0.1414	0.1428	0.1678	0.815	0.79	-0.1082	0.08541	-0.01296	0.1102	-0.1722	-0.3344	0.04871	1.092	-0.1468	-0.1038	0.02349	-0.03458	0.007721	-0.07335	-0.1857	-0.1096	1.016	-0.06583
178.815	55923.78	2.997	3.063	0.4931	2.916	2.909	2.995	0.01824	3.014	2.896	0.7969	3.344	3.048	2.929	0.263	0.1193	0.3069	0.01644	0.1255	2.907	0.007946	2.957	2.974	-0.05033	2.947	0.1948	0.0788	3.094	3.027	0.02135	0.2101	0.3984	2.937	3.043	3.013	0.1313	2.994	0.4952	0.2438	2.926	0.2951	2.919	0.1321	2.973	0.3215	0.4908	3.127	2.95	3.007	1.005	0.05736	2.961	2.988	2.971	2.93	-0.05335	2.927	1.505	0.03961	2.987	2.92	0.2347	1.519	0.291	-0.03565	2.917	2.961	0.381	0.2319	2.929	-0.1734	1.208	3.295	2.9
179.392	55743.99	1.261	1.181	0.2241	1.278	1.073	1.19	2.801	1.006	1.059	0.04225	1.412	4.013	1.297	0.3943	0.0507	0.0795	-0.1563	-0.1303	1.651	2.799	0.9667	4.013	2.788	1.179	2.87	-0.03618	1.218	1.399	-0.06916	2.871	0.2259	1.606	1.093	1.012	0.2178	1.22	0.2383	-0.006904	1.307	-0.07819	1.64	-0.1629	1.526	0.008496	0.2275	1.243	1.362	1.155	0.2166	-0.07499	0.9538	1.175	1.778	1.03	2.768	1.139	0.5696	0.06184	1.138	4.013	2.927	0.3392	2.869	-0.03133	1.351	0.9134	2.953	2.867	1.224	2.748	0.3549	1.116	1.41
179.968	55565.36	2.613	0.16	-0.06595	-0.08497	-0.04712	-0.02511	1.493	-0.06109	-0.006175	-0.0999	0.3105	1.288	0.1237	0.2144	0.2284	-0.07812	-0.1774	-0.2465	0.06894	1.594	-0.07094	1.516	1.33	0.09349	1.383	0.5008	0.1124	0.1293	-0.1178	1.225	0.09951	0.508	0.03557	0.03048	0.168	2.592	0.1805	-0.169	0.08044	-0.005735	0.1474	-0.1044	0.4572	0.4241	2.632	0.1431	0.2167	0.1167	0.1073	-0.05568	-0.1653	0.7563	0.3658	0.3278	4.013	-0.1061	-0.06104	-0.07584	-0.02133	1.365	1.494	-0.04164	1.274	-0.1349	-0.02305	0.461	1.374	1.369	-0.09036	1.307	0.2394	0.06865	9.565E-5
180.545	55387.87	1.313	0.1027	-0.08317	-0.1887	0.1765	-0.086	-0.06895	-0.0478	0.04505	-0.2283	0.1118	-0.1746	0.2912	-0.175	0.09465	-0.1649	0.2437	-0.1444	-0.3427	-0.007169	0.03969	0.03008	0.02327	0.2287	-0.2664	0.05896	-0.08561	0.4472	0.01289	-0.1739	-0.2067	0.06051	0.1111	0.00861	0.06525	1.458	-0.02952	0.00965	-0.2365	-0.1342	-0.1747	-0.3199	-0.1479	0.2166	1.403	-0.1031	-0.2011	0.1397	-0.04911	-0.1562	-0.2392	0.4288	-0.001026	0.07693	1.283	-0.2402	-0.2434	-0.06964	-0.1562	-0.02131	0.1454	0.2826	-0.1047	-0.3268	-0.247	0.2243	-0.05536	2.399	0.03999	-0.004509	-0.01782	0.1144	-0.07772
