Wavelength [nm]	Wavenumbers [1/cm]	Intensity
175.764	56894.61	213
176.337	56709.71	238.3
176.910	56526.01	219.5
177.483	56343.49	248.1
178.056	56162.15	229.7
178.629	55981.97	222.4
179.202	55802.94	230.7
179.775	55625.06	234
180.348	55448.30	244.4
180.921	55272.67	234.5
181.494	55098.14	228.4
182.067	54924.71	246
182.640	54752.38	241.8
183.214	54581.11	220.7
183.787	54410.92	224.6
184.360	54241.79	230.3
184.933	54073.70	249
185.506	53906.65	278.4
186.079	53740.63	265.8
186.652	53575.64	244.1
187.225	53411.65	257.2
187.798	53248.66	267.9
188.371	53086.66	277
188.944	52925.65	256.3
189.517	52765.61	242.9
190.090	52606.53	262.6
190.664	52448.41	274.2
191.237	52291.24	265.2
191.810	52135.01	260.7
192.383	51979.71	271.9
192.956	51825.33	272.2
193.529	51671.86	271.9
194.102	51519.30	285.7
194.675	51367.64	279.9
195.248	51216.87	259.3
195.821	51066.99	255.8
196.394	50917.97	259.5
196.967	50769.83	270.4
197.540	50622.54	254
198.114	50476.11	268.5
198.687	50330.52	241
199.260	50185.77	277.6
199.833	50041.85	250.8
200.406	49898.75	269.7
200.979	49756.46	260.4
201.552	49614.99	271.7
202.125	49474.32	278
202.698	49334.44	289.7
203.271	49195.36	263.3
203.844	49057.05	252.9
204.417	48919.52	264.2
204.990	48782.76	267.3
205.564	48646.76	262.1
206.137	48511.52	268.4
206.710	48377.03	280.9
207.283	48243.28	269
207.856	48110.27	242.5
208.429	47977.99	239.7
209.002	47846.44	249.8
209.575	47715.60	252.1
210.148	47585.48	259.4
210.721	47456.07	269.8
211.294	47327.36	236.8
211.867	47199.34	247.6
212.440	47072.02	276.2
213.014	46945.38	231.4
213.587	46819.42	265.4
214.160	46694.13	238.5
214.733	46569.52	243.6
215.306	46445.56	247.2
215.879	46322.27	227.9
216.452	46199.63	249.8
217.025	46077.63	253.8
217.598	45956.28	249.8
218.171	45835.57	235.7
218.744	45715.48	234.5
219.317	45596.03	238.9
219.890	45477.20	228.8
220.463	45358.98	226.5
221.037	45241.38	229.7
221.610	45124.39	218.8
222.183	45008.00	218.3
222.756	44892.21	219.4
223.329	44777.01	233.8
223.902	44662.41	236
224.475	44548.38	242
225.048	44434.94	233.6
225.621	44322.08	266.9
226.194	44209.79	230.5
226.767	44098.06	229.3
227.340	43986.90	214.6
227.913	43876.30	238
228.487	43766.25	229.1
229.060	43656.75	233.4
229.633	43547.80	232.9
230.206	43439.39	233.2
230.779	43331.52	236.6
231.352	43224.19	224.9
231.925	43117.38	210.2
232.498	43011.11	224.6
233.071	42905.35	220
233.644	42800.11	205.6
234.217	42695.39	227.1
234.790	42591.18	218.6
235.363	42487.48	215.5
235.937	42384.28	238.9
236.510	42281.58	241.9
237.083	42179.37	221.7
237.656	42077.66	234.2
238.229	41976.44	215.5
238.802	41875.71	210.6
239.375	41775.46	210.3
239.948	41675.68	230.2
240.521	41576.38	241.9
241.094	41477.56	236.6
241.667	41379.20	202.7
242.240	41281.31	227.4
242.813	41183.88	228.3
243.387	41086.91	243.7
243.960	40990.39	239.4
244.533	40894.33	243.1
245.106	40798.71	238.5
245.679	40703.55	233.7
246.252	40608.82	241.3
246.825	40514.54	231.7
247.398	40420.69	226
247.971	40327.27	239.5
248.544	40234.29	231.7
249.117	40141.73	235.9
249.690	40049.60	247
250.263	39957.89	233.2
250.837	39866.60	228.9
251.410	39775.73	227.1
251.983	39685.27	208.1
252.556	39595.22	223.4
253.129	39505.57	205.2
253.702	39416.34	233.2
254.275	39327.50	220.8
254.848	39239.07	226
255.421	39151.03	231.5
255.994	39063.38	216.7
256.567	38976.13	232.1
257.140	38889.27	243
257.713	38802.79	245.1
258.287	38716.69	222
258.860	38630.98	228.6
259.433	38545.65	239.7
260.006	38460.69	226
260.579	38376.10	227.8
261.152	38291.89	235.5
261.725	38208.05	237
262.298	38124.57	241.9
262.871	38041.45	228.5
263.444	37958.70	224.3
264.017	37876.31	245.7
264.590	37794.27	215.6
265.163	37712.59	211.8
265.737	37631.26	224.4
266.310	37550.28	224.1
266.883	37469.65	236.1
267.456	37389.36	228.9
268.029	37309.42	223.9
268.602	37229.82	226.7
269.175	37150.56	235
269.748	37071.63	227
270.321	36993.04	225.4
270.894	36914.78	232.9
271.467	36836.85	228.6
272.040	36759.25	236.9
272.613	36681.98	236
273.186	36605.03	233.8
273.760	36528.40	240.1
274.333	36452.10	241
274.906	36376.11	237.8
275.479	36300.43	232.6
276.052	36225.08	228.1
276.625	36150.03	228
277.198	36075.29	237.4
277.771	36000.86	225.6
278.344	35926.74	219.9
278.917	35852.93	210.7
279.490	35779.41	225.1
280.063	35706.20	211.1
280.636	35633.29	200.4
281.210	35560.67	235
281.783	35488.35	241.1
282.356	35416.32	217.6
282.929	35344.58	228.8
283.502	35273.14	238.7
284.075	35201.98	241.6
