Wavelength [nm]	Wavenumbers [1/cm]	Epsilons ITI-E
200.003	49999.13	1.48E4
201.003	49750.38	1.486E4
202.003	49504.10	1.497E4
203.003	49260.24	1.51E4
204.003	49018.78	1.528E4
205.003	48779.67	1.545E4
206.003	48542.88	1.559E4
207.003	48308.38	1.576E4
208.003	48076.13	1.591E4
209.003	47846.11	1.609E4
210.003	47618.28	1.625E4
211.003	47392.60	1.651E4
212.003	47169.06	1.674E4
213.003	46947.61	1.697E4
214.003	46728.24	1.724E4
215.003	46510.90	1.744E4
216.003	46295.58	1.766E4
217.003	46082.24	1.792E4
218.003	45870.86	1.804E4
219.003	45661.41	1.802E4
220.003	45453.86	1.8E4
221.003	45248.19	1.783E4
222.003	45044.38	1.756E4
223.003	44842.39	1.728E4
224.003	44642.20	1.724E4
225.003	44443.80	1.738E4
226.003	44247.15	1.784E4
227.003	44052.23	1.861E4
228.003	43859.03	1.983E4
229.003	43667.51	2.095E4
230.003	43477.65	2.159E4
231.003	43289.44	2.305E4
232.003	43102.85	2.472E4
233.003	42917.87	2.575E4
234.003	42734.46	2.671E4
235.003	42552.62	2.735E4
236.003	42372.31	2.811E4
237.003	42193.53	2.84E4
238.003	42016.25	2.908E4
239.003	41840.45	2.891E4
240.003	41666.12	2.951E4
241.003	41493.24	2.928E4
242.003	41321.78	2.923E4
243.003	41151.74	2.932E4
244.003	40983.09	2.908E4
245.003	40815.81	2.923E4
246.003	40649.90	2.961E4
247.003	40485.33	2.962E4
248.003	40322.08	2.972E4
249.003	40160.15	2.96E4
250.003	39999.51	3.012E4
251.003	39840.16	2.956E4
252.003	39682.06	3.029E4
253.003	39525.22	3.007E4
254.003	39369.61	3.021E4
255.003	39215.22	3.005E4
256.003	39062.04	3.068E4
257.003	38910.05	2.99E4
258.003	38759.24	3.037E4
259.003	38609.60	3.008E4
260.003	38461.10	3.033E4
261.003	38313.74	3.059E4
262.003	38167.51	3.094E4
263.003	38022.39	2.976E4
264.003	37878.37	2.977E4
265.003	37735.43	3.026E4
266.003	37593.57	2.982E4
267.003	37452.78	2.958E4
268.003	37313.03	2.758E4
269.003	37174.32	2.545E4
270.003	37036.64	2.188E4
271.003	36899.98	1.777E4
272.003	36764.32	1.518E4
273.003	36629.66	1.256E4
274.003	36495.97	1.068E4
275.003	36363.26	9048
276.003	36231.51	7953
277.003	36100.72	7196
278.003	35970.86	6615
279.003	35841.94	6097
280.003	35713.93	5733
281.003	35586.84	5412
282.003	35460.65	5116
283.003	35335.35	4849
284.003	35210.93	4669
285.003	35087.38	4448
286.003	34964.70	4286
287.003	34842.88	4108
288.003	34721.90	3949
289.003	34601.75	3774
290.003	34482.44	3611
291.003	34363.94	3460
292.003	34246.26	3310
