Cycle,CurrentTime (YYYYMMDDHHMISS),ElapsedTime (s),Event
0,20240817134608,0.063,Measure
1,20240817134609,1.1100000000000001,LEDon
1,20240817134613,4.7030000000000003,LEDoff
1,20240817134614,5.2350000000000003,Measure
2,20240817134615,6.282,LEDon
2,20240817134618,9.8439999999999994,LEDoff
2,20240817134619,10.407,Measure
3,20240817134620,11.452999999999999,LEDon
3,20240817134623,15.016,LEDoff
3,20240817134624,15.547000000000001,Measure
4,20240817134625,16.594000000000001,LEDon
4,20240817134629,20.157,LEDoff
4,20240817134629,20.687999999999999,Measure
5,20240817134630,21.734999999999999,LEDon
5,20240817134634,25.297000000000001,LEDoff
5,20240817134634,25.827999999999999,Measure
6,20240817134635,26.890999999999998,LEDon
6,20240817134639,30.452999999999999,LEDoff
6,20240817134639,30.984999999999999,Measure
7,20240817134640,32.031999999999996,LEDon
7,20240817134644,35.594000000000001,LEDoff
7,20240817134644,36.125,Measure
8,20240817134646,37.171999999999997,LEDon
8,20240817134649,40.765999999999998,LEDoff
8,20240817134650,41.313000000000002,Measure
9,20240817134651,42.359999999999999,LEDon
9,20240817134654,45.921999999999997,LEDoff
9,20240817134655,46.453000000000003,Measure
10,20240817134656,47.5,LEDon
10,20240817134659,51.063000000000002,LEDoff
10,20240817134700,51.594000000000001,Measure
11,20240817134701,52.640999999999998,LEDon
11,20240817134705,56.203000000000003,LEDoff
11,20240817134705,56.734999999999999,Measure
12,20240817134706,57.781999999999996,LEDon
12,20240817134710,61.344000000000001,LEDoff
12,20240817134710,61.875,Measure
13,20240817134711,62.953000000000003,LEDon
13,20240817134715,66.516000000000005,LEDoff
13,20240817134715,67.046999999999997,Measure
14,20240817134716,68.093999999999994,LEDon
14,20240817134720,71.656999999999996,LEDoff
14,20240817134721,72.188000000000002,Measure
15,20240817134722,73.234999999999999,LEDon
15,20240817134725,76.796999999999997,LEDoff
15,20240817134726,77.328000000000003,Measure
16,20240817134727,78.375,LEDon
16,20240817134730,81.938000000000002,LEDoff
16,20240817134731,82.468999999999994,Measure
17,20240817134732,83.516000000000005,LEDon
17,20240817134735,87.078000000000003,LEDoff
17,20240817134736,87.609999999999999,Measure
18,20240817134737,88.656999999999996,LEDon
18,20240817134741,92.218999999999994,LEDoff
18,20240817134741,92.75,Measure
19,20240817134742,93.796999999999997,LEDon
19,20240817134746,97.359999999999999,LEDoff
19,20240817134746,97.891000000000005,Measure
20,20240817134747,98.968999999999994,LEDon
20,20240817134751,102.532,LEDoff
20,20240817134751,103.063,Measure
21,20240817134752,104.11,LEDon
21,20240817134756,107.672,LEDoff
21,20240817134757,108.203,Measure
22,20240817134758,109.25,LEDon
22,20240817134801,112.813,LEDoff
22,20240817134802,113.34399999999999,Measure
23,20240817134803,114.39100000000001,LEDon
23,20240817134806,117.953,LEDoff
23,20240817134807,118.485,Measure
24,20240817134808,119.547,LEDon
24,20240817134811,123.11,LEDoff
24,20240817134812,123.64100000000001,Measure
25,20240817134813,124.688,LEDon
25,20240817134817,128.25,LEDoff
25,20240817134817,128.78200000000001,Measure
26,20240817134818,129.828,LEDon
26,20240817134822,133.39099999999999,LEDoff
26,20240817134822,133.922,Measure
27,20240817134823,134.98500000000001,LEDon
27,20240817134827,138.547,LEDoff
27,20240817134827,139.078,Measure
28,20240817134828,140.125,LEDon
28,20240817134832,143.68799999999999,LEDoff
28,20240817134833,144.21899999999999,Measure
