Wavelength [nm]	Wavenumbers [1/cm]	Intensity
175.764	56894.61	240.2
176.337	56709.71	264.9
176.910	56526.01	248.6
177.483	56343.49	273.9
178.056	56162.15	254.9
178.629	55981.97	250.1
179.202	55802.94	258.4
179.775	55625.06	261.7
180.348	55448.30	271.7
180.921	55272.67	261.7
181.494	55098.14	255.5
182.067	54924.71	272.7
182.640	54752.38	268.5
183.214	54581.11	247
183.787	54410.92	250
184.360	54241.79	255.9
184.933	54073.70	277.4
185.506	53906.65	310.6
186.079	53740.63	294.9
186.652	53575.64	273.6
187.225	53411.65	287.3
187.798	53248.66	299.8
188.371	53086.66	305.8
188.944	52925.65	286.7
189.517	52765.61	274
190.090	52606.53	290.3
190.664	52448.41	302.6
191.237	52291.24	293.5
191.810	52135.01	289.8
192.383	51979.71	299.4
192.956	51825.33	299
193.529	51671.86	300.1
194.102	51519.30	314
194.675	51367.64	307.2
195.248	51216.87	286.3
195.821	51066.99	282.1
196.394	50917.97	284.3
196.967	50769.83	294.7
197.540	50622.54	280.2
198.114	50476.11	296
198.687	50330.52	268.2
199.260	50185.77	302.6
199.833	50041.85	277.5
200.406	49898.75	293.8
200.979	49756.46	286.5
201.552	49614.99	295.8
202.125	49474.32	304.6
202.698	49334.44	316.4
203.271	49195.36	289.4
203.844	49057.05	279.4
204.417	48919.52	290.6
204.990	48782.76	292.5
205.564	48646.76	287.6
206.137	48511.52	295.2
206.710	48377.03	307.5
207.283	48243.28	295.5
207.856	48110.27	269.9
208.429	47977.99	265.7
209.002	47846.44	274.2
209.575	47715.60	277.2
210.148	47585.48	285.3
210.721	47456.07	294
211.294	47327.36	263.5
211.867	47199.34	274.7
212.440	47072.02	303.3
213.014	46945.38	258.2
213.587	46819.42	290.4
214.160	46694.13	263.2
214.733	46569.52	270.2
215.306	46445.56	274.6
215.879	46322.27	255.7
216.452	46199.63	275.6
217.025	46077.63	279
217.598	45956.28	276.5
218.171	45835.57	262.4
218.744	45715.48	260.4
219.317	45596.03	265.3
219.890	45477.20	255
220.463	45358.98	252.3
221.037	45241.38	256.5
221.610	45124.39	246.6
222.183	45008.00	246.5
222.756	44892.21	245.2
223.329	44777.01	260.9
223.902	44662.41	264.1
224.475	44548.38	270
225.048	44434.94	260.1
225.621	44322.08	292.3
226.194	44209.79	258.7
226.767	44098.06	257.4
227.340	43986.90	241.1
227.913	43876.30	264.9
228.487	43766.25	255.1
229.060	43656.75	261.6
229.633	43547.80	260.9
230.206	43439.39	261.5
