Wavelength [nm]	Wavenumbers [1/cm]	2107362U1_0001	2107362U1_0002	2107362U1_0003	2107362U1_0004	2107362U1_0005	2107362U1_0006	2107362U1_0007	2107362U1_0008	2107362U1_0009	2107362U1_0010	2107362U1_0011	2107362U1_0012	2107362U1_0013	2107362U1_0014	2107362U1_0015	2107362U1_0016	2107362U1_0017	2107362U1_0018	2107362U1_0019	2107362U1_0020	2107362U1_0021	2107362U1_0022	2107362U1_0023	2107362U1_0024	2107362U1_0025	2107362U1_0026	2107362U1_0027	2107362U1_0028	2107362U1_0029	2107362U1_0030	2107362U1_0031	2107362U1_0032	2107362U1_0033	2107362U1_0034	2107362U1_0035	2107362U1_0036	2107362U1_0037	2107362U1_0038	2107362U1_0039	2107362U1_0040	2107362U1_0041	2107362U1_0042	2107362U1_0043	2107362U1_0044
175.355	57027.31	-0.07435	0.08644	-0.06504	-0.1321	-0.07302	-0.1352	-0.2451	0.1295	-0.2125	-0.1517	-0.303	-0.3288	-0.05004	-0.1177	-0.2149	0.1092	-0.1885	0.5095	0.2047	-0.1322	0.178	0.0034	0.1891	0.2475	0.03125	0.04122	-0.349	-0.002581	-0.2011	-0.1785	-0.1097	-0.1207	-0.2012	-0.1575	0.0824	0.2177	-0.05785	-0.02419	0.1102	0.07335	-0.2465	-0.01554	-0.02895	0.1847
175.931	56840.38	0.06847	0.01135	-0.02642	-0.1297	0.6787	-0.1171	3.824	0.2397	1.66	0.1921	0.2005	0.1822	-0.1172	0.622	-0.06318	-0.2803	0.3009	0.1591	0.1564	0.1376	-0.2213	0.3132	0.1298	-0.2206	-0.2485	0.1085	0.6979	1.04	0.001042	0.2773	-0.1047	-0.06705	-0.05535	0.3168	-0.01783	-0.163	-0.1144	0.05023	-0.117	-0.004106	0.4031	-0.06848	0.4769	0.02775
176.508	56654.66	0.2518	-0.3223	0.2963	3.646	0.9508	-0.07605	4.012	3.68	3.811	-0.3978	0.0909	3.674	3.647	3.715	-0.2486	3.632	0.08688	-0.5521	3.672	3.672	-0.1039	-0.47	-0.1467	-0.2829	3.635	3.668	-0.006977	3.753	3.659	3.684	3.648	3.652	-0.1893	3.687	0.1497	-0.3033	-0.5519	3.663	-0.4481	0.1266	0.4185	0.5602	3.702	-0.4038
177.085	56470.15	3.517	-0.4876	3.524	0.7634	3.61	3.473	4.012	4.012	4.011	-0.258	3.492	4.01	-0.2093	4.011	3.445	0.5454	3.489	-0.6354	4.012	4.012	3.469	-0.6005	-0.3217	3.443	-0.06457	0.4827	3.47	4.011	0.7341	4.012	0.1778	4.012	3.453	0.5768	1.075	-0.7056	3.402	4.012	-0.1169	-0.3171	-0.2389	3.564	4.012	3.421
177.661	56286.85	1.262	0.09802	0.8067	0.3383	0.6514	0.5112	0.8403	0.8261	4.011	-0.3817	0.8028	0.5582	3.155	0.811	0.7514	0.6306	0.775	3.193	0.6895	1.008	0.855	-0.2978	0.04449	4.012	0.2742	3.295	0.547	0.3818	1.388	0.9043	1.709	4.012	0.7386	3.314	3.518	3.169	4.01	0.7514	0.01064	-0.1771	-0.175	0.5509	0.8603	0.5262
178.238	56104.72	-0.1148	0.00642	-0.1766	-0.02552	0.05244	-0.1942	-0.1995	-0.1307	0.7393	-0.2143	-0.02854	0.025	0.9088	-0.1967	-0.2496	0.4963	-0.224	0.8662	-0.1726	-0.01161	0.1993	-0.2313	0.2822	0.9242	0.1203	0.6534	-0.02472	-0.3701	0.2512	-0.1305	0.353	0.8733	-0.0139	0.9562	1.212	0.7044	0.6532	-0.136	-0.1245	-0.1968	-0.2802	-0.09488	-0.2033	-0.01885
178.815	55923.78	0.3767	0.2908	1.095	-0.108	0.4022	-0.181	-0.1832	0.4493	0.07821	0.7281	0.1651	-0.2215	2.961	-0.2549	0.3026	3.064	0.7339	2.946	0.361	0.1198	3.006	0.6213	0.1656	2.966	1.384	0.1902	0.04602	-0.02743	2.916	-0.09705	2.91	0.1632	2.944	2.976	0.6599	2.891	2.873	2.902	1.938	0.2829	0.06927	0.4001	2.87	2.961
179.392	55743.99	2.971	0.07535	0.3719	0.157	1.307	2.721	0.4331	2.987	0.7346	1.1	2.853	2.673	1.172	0.1724	0.273	1.553	0.4462	0.9686	2.951	0.3938	1.193	0.3178	0.06074	1.073	0.469	2.888	0.2703	0.7467	1.504	0.6745	1.287	0.5192	1.552	1.28	0.3406	1.144	1.802	1.98	0.7922	0.09277	0.1281	-0.01725	4.012	1.303
179.968	55565.36	1.265	0.2424	-0.09516	0.1017	0.5037	1.317	0.0771	1.202	0.3028	0.303	1.296	1.406	-0.09466	0.3938	0.05286	0.02899	0.01831	-0.2275	1.568	0.137	0.03459	-0.1218	2.614	2.517	0.7814	1.364	0.09306	0.4311	0.1481	0.2484	0.1481	0.09055	0.07185	0.1389	0.05324	0.1495	0.2846	0.3714	-0.1008	-0.04383	-0.04647	-0.1838	1.205	0.4247
180.545	55387.87	-0.2044	-0.05129	0.032	0.0474	0.1761	0.04084	0.0924	0.9158	-0.08753	-0.1251	-0.1567	0.1749	-0.2757	0.04473	2.422	0.00788	-0.08226	-0.2053	0.2012	-0.05743	-0.1981	-0.2079	4.011	1.437	0.2573	0.3863	0.6893	0.2138	-0.09946	0.5889	0.2467	2.34	-0.1552	-0.2448	-0.1847	0.116	-0.2241	-0.0353	-0.01314	0.8498	2.376	-0.1416	-0.2015	-0.02516
181.122	55211.51	2.165	2.091	2.288	2.28	2.413	2.321	0.1051	3.008	2.204	0.5731	-0.202	-0.3181	2.076	-0.06239	4.011	2.313	2.204	2.14	2.326	-0.2658	2.079	-0.1642	4.011	2.139	2.064	2.55	2.765	-0.1157	0.2387	0.112	2.373	4.012	2.174	2.018	2.115	2.245	2.086	-0.3208	2.275	2.875	1.882	2.184	-0.2149	2.056
