Cycle,CurrentTime (YYYYMMDDHHMISS),ElapsedTime (s),Event
0,20240817140534,0.062,Measure
1,20240817140535,1.109,LEDon
1,20240817140539,4.6719999999999997,LEDoff
1,20240817140539,5.234,Measure
2,20240817140540,6.2809999999999997,LEDon
2,20240817140544,9.8439999999999994,LEDoff
2,20240817140544,10.375,Measure
3,20240817140545,11.422000000000001,LEDon
3,20240817140549,14.984,LEDoff
3,20240817140549,15.515000000000001,Measure
4,20240817140550,16.562000000000001,LEDon
4,20240817140554,20.140000000000001,LEDoff
4,20240817140555,20.672000000000001,Measure
5,20240817140556,21.719000000000001,LEDon
5,20240817140559,25.280999999999999,LEDoff
5,20240817140600,25.812000000000001,Measure
6,20240817140601,26.859000000000002,LEDon
6,20240817140604,30.437000000000001,LEDoff
6,20240817140605,30.969000000000001,Measure
7,20240817140606,32.015000000000001,LEDon
7,20240817140609,35.578000000000003,LEDoff
7,20240817140610,36.109000000000002,Measure
8,20240817140611,37.155999999999999,LEDon
8,20240817140615,40.719000000000001,LEDoff
8,20240817140615,41.25,Measure
9,20240817140616,42.296999999999997,LEDon
9,20240817140620,45.859000000000002,LEDoff
9,20240817140620,46.390000000000001,Measure
10,20240817140621,47.436999999999998,LEDon
10,20240817140625,51.0,LEDoff
10,20240817140625,51.530999999999999,Measure
11,20240817140626,52.578000000000003,LEDon
11,20240817140630,56.140000000000001,LEDoff
11,20240817140631,56.671999999999997,Measure
12,20240817140632,57.719000000000001,LEDon
12,20240817140635,61.280999999999999,LEDoff
12,20240817140636,61.811999999999998,Measure
13,20240817140637,62.859000000000002,LEDon
13,20240817140640,66.421999999999997,LEDoff
13,20240817140641,66.953000000000003,Measure
14,20240817140642,68.0,LEDon
14,20240817140646,71.608999999999995,LEDoff
14,20240817140646,72.140000000000001,Measure
15,20240817140647,73.186999999999998,LEDon
15,20240817140651,76.75,LEDoff
15,20240817140651,77.281000000000006,Measure
16,20240817140652,78.343999999999994,LEDon
16,20240817140656,81.906000000000006,LEDoff
16,20240817140656,82.436999999999998,Measure
17,20240817140657,83.483999999999995,LEDon
17,20240817140701,87.061999999999998,LEDoff
17,20240817140701,87.593999999999994,Measure
18,20240817140703,88.640000000000001,LEDon
18,20240817140706,92.203000000000003,LEDoff
18,20240817140707,92.733999999999995,Measure
19,20240817140708,93.781000000000006,LEDon
19,20240817140711,97.358999999999995,LEDoff
19,20240817140712,97.906000000000006,Measure
20,20240817140713,98.953000000000003,LEDon
20,20240817140716,102.515,LEDoff
20,20240817140717,103.047,Measure
21,20240817140718,104.09399999999999,LEDon
21,20240817140722,107.672,LEDoff
21,20240817140722,108.203,Measure
22,20240817140723,109.25,LEDon
22,20240817140727,112.812,LEDoff
22,20240817140727,113.34399999999999,Measure
23,20240817140728,114.39,LEDon
23,20240817140732,117.953,LEDoff
23,20240817140732,118.48399999999999,Measure
24,20240817140733,119.53100000000001,LEDon
24,20240817140737,123.10899999999999,LEDoff
24,20240817140738,123.65600000000001,Measure
25,20240817140739,124.71899999999999,LEDon
25,20240817140742,128.28100000000001,LEDoff
25,20240817140743,128.81200000000001,Measure
26,20240817140744,129.85900000000001,LEDon
26,20240817140747,133.422,LEDoff
26,20240817140748,133.953,Measure
27,20240817140749,135.01499999999999,LEDon
27,20240817140752,138.578,LEDoff
27,20240817140753,139.10900000000001,Measure
28,20240817140754,140.15600000000001,LEDon
28,20240817140758,143.71899999999999,LEDoff
28,20240817140758,144.25,Measure
29,20240817140759,145.297,LEDon
29,20240817140803,148.85900000000001,LEDoff
29,20240817140803,149.40600000000001,Measure
30,20240817140804,150.46899999999999,LEDon
30,20240817140808,154.03100000000001,LEDoff
30,20240817140808,154.56200000000001,Measure
31,20240817140810,155.60900000000001,LEDon
31,20240817140813,159.172,LEDoff
31,20240817140814,159.703,Measure
32,20240817140815,160.75,LEDon
32,20240817140818,164.328,LEDoff
32,20240817140819,164.85900000000001,Measure
33,20240817140820,165.90600000000001,LEDon
33,20240817140823,169.46899999999999,LEDoff
33,20240817140824,170.0,Measure
34,20240817140825,171.047,LEDon
34,20240817140829,174.60900000000001,LEDoff
34,20240817140829,175.13999999999999,Measure
35,20240817140830,176.21899999999999,LEDon
35,20240817140834,179.78100000000001,LEDoff
35,20240817140834,180.328,Measure
36,20240817140835,181.375,LEDon
36,20240817140839,184.93700000000001,LEDoff
36,20240817140839,185.46899999999999,Measure
37,20240817140840,186.53100000000001,LEDon
37,20240817140844,190.09399999999999,LEDoff
37,20240817140845,190.625,Measure
38,20240817140846,191.672,LEDon
38,20240817140849,195.23400000000001,LEDoff
38,20240817140850,195.76499999999999,Measure
39,20240817140851,196.84399999999999,LEDon
39,20240817140854,200.40600000000001,LEDoff
39,20240817140855,200.93700000000001,Measure
40,20240817140856,201.98400000000001,LEDon
40,20240817140859,205.547,LEDoff
40,20240817140900,206.078,Measure
41,20240817140901,207.125,LEDon
41,20240817140905,210.71899999999999,LEDoff
41,20240817140905,211.25,Measure
42,20240817140906,212.297,LEDon
42,20240817140910,215.85900000000001,LEDoff
42,20240817140910,216.38999999999999,Measure
43,20240817140911,217.43700000000001,LEDon
43,20240817140915,221.0,LEDoff
43,20240817140915,221.53100000000001,Measure
44,20240817140916,222.578,LEDon
