Cycle,CurrentTime (YYYYMMDDHHMISS),ElapsedTime (s),Event
0,20241120121643,0.031,Measure
1,20241120121644,1.0780000000000001,LEDon
1,20241120121712,29.140000000000001,LEDoff
1,20241120121713,30.170999999999999,Measure
2,20241120121715,31.218,LEDon
2,20241120121743,59.280999999999999,LEDoff
2,20241120121744,60.343000000000004,Measure
3,20241120121745,61.390000000000001,LEDon
3,20241120121813,89.453000000000003,LEDoff
3,20241120121814,90.483999999999995,Measure
4,20241120121815,91.531000000000006,LEDon
4,20241120121843,119.593,LEDoff
4,20241120121844,120.625,Measure
5,20241120121845,121.67100000000001,LEDon
5,20241120121913,149.73400000000001,LEDoff
5,20241120121914,150.76499999999999,Measure
6,20241120121915,151.81200000000001,LEDon
6,20241120121943,179.875,LEDoff
6,20241120121944,180.90600000000001,Measure
7,20241120121945,181.953,LEDon
7,20241120122013,210.01499999999999,LEDoff
7,20241120122014,211.04599999999999,Measure
8,20241120122015,212.10900000000001,LEDon
8,20241120122044,240.17099999999999,LEDoff
8,20241120122045,241.203,Measure
9,20241120122046,242.25,LEDon
9,20241120122114,270.31200000000001,LEDoff
9,20241120122115,271.34300000000002,Measure
10,20241120122116,272.38999999999999,LEDon
10,20241120122144,300.45299999999997,LEDoff
10,20241120122145,301.48399999999998,Measure
11,20241120122146,302.53100000000001,LEDon
11,20241120122214,330.59300000000002,LEDoff
11,20241120122215,331.625,Measure
12,20241120122216,332.68700000000001,LEDon
12,20241120122244,360.75,LEDoff
12,20241120122245,361.78100000000001,Measure
13,20241120122246,362.82799999999997,LEDon
13,20241120122314,390.88999999999999,LEDoff
13,20241120122315,391.92099999999999,Measure
14,20241120122316,392.96800000000002,LEDon
14,20241120122344,421.03100000000001,LEDoff
14,20241120122345,422.06200000000001,Measure
15,20241120122346,423.10899999999998,LEDon
15,20241120122415,451.17099999999999,LEDoff
15,20241120122416,452.20299999999997,Measure
16,20241120122417,453.25,LEDon
16,20241120122445,481.31200000000001,LEDoff
16,20241120122446,482.34300000000002,Measure
17,20241120122447,483.38999999999999,LEDon
17,20241120122515,511.45299999999997,LEDoff
17,20241120122516,512.48400000000004,Measure
18,20241120122517,513.53099999999995,LEDon
18,20241120122545,541.59299999999996,LEDoff
18,20241120122546,542.625,Measure
19,20241120122547,543.67100000000005,LEDon
19,20241120122615,571.73400000000004,LEDoff
19,20241120122616,572.76499999999999,Measure
20,20241120122617,573.81200000000001,LEDon
20,20241120122645,601.875,LEDoff
20,20241120122646,602.90599999999995,Measure
21,20241120122647,603.95299999999997,LEDon
21,20241120122715,632.01499999999999,LEDoff
21,20241120122716,633.04600000000005,Measure
22,20241120122717,634.09299999999996,LEDon
22,20241120122745,662.15599999999995,LEDoff
22,20241120122747,663.18700000000001,Measure
23,20241120122748,664.23400000000004,LEDon
23,20241120122816,692.29600000000005,LEDoff
23,20241120122817,693.32799999999997,Measure
24,20241120122818,694.375,LEDon
24,20241120122846,722.43700000000001,LEDoff
24,20241120122847,723.46799999999996,Measure
25,20241120122848,724.51499999999999,LEDon
25,20241120122916,752.57799999999997,LEDoff
25,20241120122917,753.60900000000004,Measure
26,20241120122918,754.65599999999995,LEDon
26,20241120122946,782.75,LEDoff
26,20241120122947,783.78099999999995,Measure
27,20241120122948,784.82799999999997,LEDon
27,20241120123016,812.88999999999999,LEDoff
27,20241120123017,813.92100000000005,Measure
28,20241120123018,814.96799999999996,LEDon
28,20241120123046,843.03099999999995,LEDoff
28,20241120123047,844.07799999999997,Measure
29,20241120123048,845.125,LEDon
29,20241120123117,873.18700000000001,LEDoff
29,20241120123118,874.21799999999996,Measure
30,20241120123119,875.26499999999999,LEDon
30,20241120123147,903.32799999999997,LEDoff
30,20241120123148,904.35900000000004,Measure
31,20241120123149,905.42100000000005,LEDon
31,20241120123217,933.48400000000004,LEDoff
31,20241120123218,934.51499999999999,Measure
32,20241120123219,935.56200000000001,LEDon
32,20241120123247,963.625,LEDoff
32,20241120123248,964.65599999999995,Measure
33,20241120123249,965.70299999999997,LEDon
33,20241120123317,993.76499999999999,LEDoff
33,20241120123318,994.81200000000001,Measure
34,20241120123319,995.85900000000004,LEDon
34,20241120123347,1023.921,LEDoff
34,20241120123348,1024.953,Measure
35,20241120123349,1026.0,LEDon
35,20241120123417,1054.0619999999999,LEDoff
35,20241120123418,1055.0930000000001,Measure
36,20241120123419,1056.1400000000001,LEDon
36,20241120123448,1084.203,LEDoff
36,20241120123449,1085.2339999999999,Measure
37,20241120123450,1086.2809999999999,LEDon
37,20241120123518,1114.3430000000001,LEDoff
37,20241120123519,1115.375,Measure
38,20241120123520,1116.421,LEDon
38,20241120123548,1144.4839999999999,LEDoff
38,20241120123549,1145.5150000000001,Measure
39,20241120123550,1146.5930000000001,LEDon
39,20241120123618,1174.6559999999999,LEDoff
39,20241120123619,1175.6869999999999,Measure
