Wavelength [nm]	Wavenumbers [1/cm]	from clipboard (1)
175.355	57027.17	-105.3
175.932	56840.24	1.345E4
176.508	56654.52	2950
177.085	56470.02	-7587
177.662	56286.71	-2856
178.239	56104.59	344.6
178.815	55923.64	-1032
179.392	55743.86	-1011
179.969	55565.23	-1875
180.545	55387.74	-1672
181.122	55211.38	-911.5
181.699	55036.14	-489
182.276	54862.01	412.9
182.852	54688.97	386
183.429	54517.03	-2028
184.006	54346.16	-2915
184.582	54176.36	2680
185.159	54007.62	9065
185.736	53839.93	7138
186.312	53673.27	7821
186.889	53507.65	7175
187.466	53343.04	7915
188.043	53179.44	9039
188.619	53016.84	4.862E4
189.196	52855.24	9353
189.773	52694.61	6421
190.349	52534.96	6151
190.926	52376.28	7484
191.503	52218.54	7727
192.080	52061.76	7771
192.656	51905.92	7308
193.233	51751.00	7725
193.810	51597.01	7945
194.386	51443.93	8311
194.963	51291.76	8074
195.540	51140.48	9247
196.117	50990.10	1.042E4
196.693	50840.59	1.017E4
197.270	50691.96	1.061E4
197.847	50544.20	9193
198.423	50397.29	8315
199.000	50251.24	7773
199.577	50106.03	8280
200.153	49961.66	9812
200.730	49818.12	9549
201.307	49675.40	9477
201.884	49533.49	1.382E4
202.460	49392.40	1.182E4
203.037	49252.10	1.281E4
203.614	49112.60	1.414E4
204.190	48973.89	1.661E4
204.767	48835.96	1.741E4
205.344	48698.80	1.731E4
205.921	48562.41	1.679E4
206.497	48426.79	1.823E4
207.074	48291.92	1.779E4
207.651	48157.80	1.902E4
208.227	48024.42	2.028E4
208.804	47891.78	2.078E4
209.381	47759.87	2.146E4
209.958	47628.68	2.191E4
210.534	47498.21	2.19E4
211.111	47368.46	2.171E4
211.688	47239.41	2.301E4
212.264	47111.06	2.246E4
212.841	46983.41	2.171E4
213.418	46856.45	2.289E4
213.994	46730.17	2.317E4
214.571	46604.58	2.547E4
215.148	46479.65	2.689E4
215.725	46355.40	2.286E4
216.301	46231.80	2.469E4
216.878	46108.86	2.053E4
217.455	45986.58	2.279E4
218.031	45864.94	2.24E4
218.608	45743.95	2.214E4
219.185	45623.59	2.274E4
219.762	45503.86	2.235E4
220.338	45384.76	2.182E4
220.915	45266.28	2.178E4
221.492	45148.42	2.151E4
222.068	45031.17	2.129E4
222.645	44914.52	2.137E4
223.222	44798.48	2.15E4
223.799	44683.04	2.164E4
224.375	44568.19	2.167E4
224.952	44453.94	2.167E4
225.529	44340.26	2.194E4
226.105	44227.17	2.217E4
226.682	44114.65	2.254E4
227.259	44002.70	2.288E4
227.836	43891.32	2.321E4
228.412	43780.50	2.374E4
228.989	43670.23	2.415E4
229.566	43560.53	2.441E4
230.142	43451.37	2.51E4
230.719	43342.76	2.578E4
231.296	43234.69	2.591E4
231.872	43127.16	2.621E4
232.449	43020.16	2.671E4
233.026	42913.69	2.668E4
233.603	42807.74	2.717E4
234.179	42702.32	2.766E4
234.756	42597.42	2.793E4
235.333	42493.03	2.881E4
235.909	42389.15	2.91E4
236.486	42285.78	2.887E4
237.063	42182.91	2.889E4
237.640	42080.54	2.908E4
238.216	41978.66	2.908E4
238.793	41877.28	2.888E4
239.370	41776.38	2.887E4
239.946	41675.98	2.888E4
240.523	41576.05	2.9E4
241.100	41476.60	2.867E4
241.677	41377.62	2.904E4
242.253	41279.12	2.873E4
242.830	41181.08	2.857E4
243.407	41083.51	2.785E4
243.983	40986.40	2.797E4
244.560	40889.75	2.681E4
245.137	40793.55	2.629E4
245.713	40697.81	2.63E4
246.290	40602.51	2.633E4
246.867	40507.66	2.541E4
247.444	40413.25	2.496E4
248.020	40319.28	2.462E4
248.597	40225.74	2.414E4
249.174	40132.64	2.336E4
249.750	40039.97	2.291E4
250.327	39947.72	2.245E4
250.904	39855.90	2.201E4
251.481	39764.50	2.147E4
252.057	39673.52	2.089E4
252.634	39582.96	2.052E4
253.211	39492.80	2.008E4
253.787	39403.06	1.955E4
254.364	39313.72	1.905E4
254.941	39224.79	1.871E4
255.518	39136.26	1.823E4
256.094	39048.13	1.781E4
256.671	38960.39	1.742E4
257.248	38873.05	1.703E4
257.824	38786.09	1.667E4
258.401	38699.53	1.631E4
258.978	38613.35	1.593E4
259.554	38527.56	1.558E4
260.131	38442.14	1.53E4
260.708	38357.10	1.494E4
261.285	38272.44	1.463E4
261.861	38188.15	1.435E4
262.438	38104.23	1.41E4
263.015	38020.68	1.382E4
263.591	37937.50	1.36E4
264.168	37854.68	1.339E4
264.745	37772.21	1.318E4
265.322	37690.11	1.3E4
265.898	37608.37	1.285E4
266.475	37526.97	1.27E4
267.052	37445.93	1.258E4
267.628	37365.24	1.247E4
268.205	37284.90	1.236E4
268.782	37204.90	1.226E4
269.359	37125.24	1.218E4
269.935	37045.92	1.211E4
270.512	36966.94	1.207E4
271.089	36888.30	1.202E4
271.665	36809.99	1.199E4
272.242	36732.01	1.199E4
272.819	36654.37	1.196E4
273.396	36577.05	1.198E4
273.972	36500.05	1.202E4
274.549	36423.38	1.206E4
275.126	36347.03	1.21E4
275.702	36271.00	1.217E4
276.279	36195.29	1.223E4
276.856	36119.89	1.231E4
277.432	36044.81	1.237E4
278.009	35970.04	1.243E4
278.586	35895.57	1.249E4
279.163	35821.42	1.259E4
279.739	35747.57	1.27E4
280.316	35674.02	1.281E4
280.893	35600.78	1.293E4
281.469	35527.84	1.309E4
282.046	35455.19	1.325E4
282.623	35382.84	1.341E4
283.200	35310.79	1.36E4
283.776	35239.03	1.379E4
284.353	35167.56	1.395E4
284.930	35096.38	1.413E4
285.506	35025.49	1.435E4
286.083	34954.88	1.453E4
286.660	34884.56	1.47E4
287.237	34814.51	1.485E4
287.813	34744.75	1.503E4
288.390	34675.27	1.52E4
288.967	34606.07	1.533E4
289.543	34537.14	1.546E4
290.120	34468.49	1.555E4
290.697	34400.11	1.561E4
291.273	34332.00	1.568E4
291.850	34264.15	1.578E4
292.427	34196.58	1.588E4
293.004	34129.27	1.59E4
293.580	34062.23	1.596E4
294.157	33995.45	1.599E4
294.734	33928.93	1.599E4
295.310	33862.67	1.599E4
295.887	33796.67	1.597E4
296.464	33730.92	1.591E4
297.041	33665.44	1.582E4
297.617	33600.20	1.569E4
298.194	33535.22	1.557E4
298.771	33470.48	1.543E4
299.347	33406.00	1.522E4
299.924	33341.77	1.498E4
300.501	33277.78	1.475E4
301.078	33214.04	1.445E4
301.654	33150.54	1.413E4
302.231	33087.28	1.383E4
302.808	33024.26	1.351E4
303.384	32961.49	1.318E4
303.961	32898.95	1.286E4
304.538	32836.65	1.252E4
305.114	32774.58	1.221E4
305.691	32712.75	1.187E4
306.268	32651.15	1.158E4
306.845	32589.78	1.13E4
307.421	32528.65	1.106E4
307.998	32467.74	1.079E4
308.575	32407.06	1.056E4
309.151	32346.61	1.035E4
309.728	32286.38	1.015E4
310.305	32226.37	9960
310.882	32166.59	9785
311.458	32107.03	9610
312.035	32047.69	9447
312.612	31988.57	9302
313.188	31929.66	9167
313.765	31870.97	9050
314.342	31812.50	8948
314.919	31754.24	8855
315.495	31696.20	8773
316.072	31638.36	8690
316.649	31580.74	8612
317.225	31523.33	8539
317.802	31466.12	8469
318.379	31409.13	8403
318.956	31352.34	8346
319.532	31295.75	8293
320.109	31239.37	8242
320.686	31183.19	8182
321.262	31127.21	8121
321.839	31071.43	8087
322.416	31015.85	8046
322.992	30960.47	8003
323.569	30905.29	7953
324.146	30850.31	7923
324.723	30795.52	7883
325.299	30740.92	7833
325.876	30686.52	7794
326.453	30632.31	7759
327.029	30578.29	7720
327.606	30524.46	7672
328.183	30470.82	7634
328.760	30417.37	7602
329.336	30364.10	7572
329.913	30311.02	7538
330.490	30258.13	7513
331.066	30205.42	7495
331.643	30152.90	7473
332.220	30100.55	7451
332.797	30048.39	7428
333.373	29996.41	7408
333.950	29944.61	7397
334.527	29892.99	7391
335.103	29841.54	7401
335.680	29790.27	7379
336.257	29739.18	7388
336.833	29688.26	7392
337.410	29637.52	7404
337.987	29586.95	7420
338.564	29536.55	7443
339.140	29486.32	7466
339.717	29436.26	7479
340.294	29386.38	7524
340.870	29336.66	7554
341.447	29287.11	7610
342.024	29237.73	7646
342.601	29188.51	7699
343.177	29139.46	7742
343.754	29090.57	7808
344.331	29041.85	7873
344.907	28993.29	7950
345.484	28944.89	8027
346.061	28896.65	8118
346.638	28848.58	8210
347.214	28800.66	8288
347.791	28752.90	8380
348.368	28705.31	8490
348.944	28657.86	8595
349.521	28610.58	8703
350.098	28563.45	8831
350.674	28516.47	8955
351.251	28469.65	9077
351.828	28422.99	9216
352.405	28376.47	9330
352.981	28330.11	9438
353.558	28283.90	9591
354.135	28237.84	9706
354.711	28191.93	9840
355.288	28146.17	9956
355.865	28100.55	1.009E4
356.442	28055.09	1.02E4
357.018	28009.77	1.028E4
357.595	27964.60	1.037E4
358.172	27919.57	1.048E4
358.748	27874.69	1.055E4
359.325	27829.95	1.071E4
359.902	27785.35	1.08E4
360.479	27740.90	1.088E4
361.055	27696.59	1.094E4
361.632	27652.42	1.103E4
362.209	27608.40	1.111E4
362.785	27564.51	1.119E4
363.362	27520.76	1.125E4
363.939	27477.15	1.132E4
364.516	27433.68	1.138E4
365.092	27390.34	1.144E4
365.669	27347.14	1.149E4
366.246	27304.08	1.153E4
366.822	27261.15	1.159E4
367.399	27218.36	1.166E4
367.976	27175.70	1.174E4
368.552	27133.18	1.182E4
369.129	27090.79	1.185E4
369.706	27048.53	1.188E4
370.283	27006.40	1.189E4
370.859	26964.40	1.192E4
371.436	26922.54	1.195E4
372.013	26880.80	1.194E4
372.589	26839.19	1.194E4
373.166	26797.72	1.191E4
373.743	26756.37	1.192E4
374.320	26715.14	1.18E4
374.896	26674.05	1.181E4
375.473	26633.08	1.166E4
376.050	26592.23	1.157E4
376.626	26551.51	1.151E4
377.203	26510.92	1.141E4
377.780	26470.45	1.127E4
378.357	26430.10	1.115E4
378.933	26389.87	1.1E4
379.510	26349.77	1.084E4
380.087	26309.79	1.066E4
380.663	26269.93	1.05E4
381.240	26230.19	1.027E4
381.817	26190.57	1.005E4
382.393	26151.07	9857
382.970	26111.69	9655
383.547	26072.43	9443
384.124	26033.29	9222
384.700	25994.26	9000
385.277	25955.35	8793
385.854	25916.56	8582
386.430	25877.88	8373
387.007	25839.32	8178
387.584	25800.87	7974
388.161	25762.53	7781
388.737	25724.31	7610
389.314	25686.21	7421
389.891	25648.21	7241
390.467	25610.33	7060
391.044	25572.56	6916
391.621	25534.90	6743
392.198	25497.36	6591
392.774	25459.92	6435
393.351	25422.59	6311
393.928	25385.37	6175
394.504	25348.26	6041
395.081	25311.26	5925
395.658	25274.37	5815
396.234	25237.58	5691
396.811	25200.90	5565
397.388	25164.33	5469
397.965	25127.86	5370
398.541	25091.50	5266
399.118	25055.24	5183
399.695	25019.09	5092
400.271	24983.05	5010
400.848	24947.10	4926
401.425	24911.26	4837
402.002	24875.52	4758
402.578	24839.89	4685
403.155	24804.36	4606
403.732	24768.92	4533
404.308	24733.59	4460
404.885	24698.36	4385
405.462	24663.23	4315
406.039	24628.20	4248
406.615	24593.27	4179
407.192	24558.44	4108
407.769	24523.71	4038
408.345	24489.07	3974
408.922	24454.54	3907
409.499	24420.10	3834
410.076	24385.75	3775
410.652	24351.51	3708
411.229	24317.36	3649
411.806	24283.30	3584
412.382	24249.34	3513
412.959	24215.48	3445
413.536	24181.71	3387
414.112	24148.03	3337
414.689	24114.45	3265
415.266	24080.96	3195
415.843	24047.56	3145
416.419	24014.26	3060
416.996	23981.04	3005
417.573	23947.92	2939
418.149	23914.90	2877
418.726	23881.96	2806
419.303	23849.11	2752
419.880	23816.35	2684
420.456	23783.69	2624
421.033	23751.11	2565
421.610	23718.62	2508
422.186	23686.22	2455
422.763	23653.91	2395
423.340	23621.69	2336
423.917	23589.55	2290
424.493	23557.50	2228
425.070	23525.54	2162
425.647	23493.67	2105
426.223	23461.88	2049
426.800	23430.17	1996
427.377	23398.56	1945
427.953	23367.03	1894
428.530	23335.58	1837
429.107	23304.22	1781
429.684	23272.94	1734
430.260	23241.74	1686
430.837	23210.63	1642
431.414	23179.61	1597
431.990	23148.66	1550
432.567	23117.80	1498
433.144	23087.02	1453
433.721	23056.32	1415
434.297	23025.70	1377
434.874	22995.17	1330
435.451	22964.71	1283
436.027	22934.34	1252
436.604	22904.04	1217
437.181	22873.83	1169
437.758	22843.70	1130
438.334	22813.64	1095
438.911	22783.67	1060
439.488	22753.77	1017
440.064	22723.95	982
440.641	22694.21	954.8
441.218	22664.54	916.3
441.794	22634.96	875
442.371	22605.45	846.4
442.948	22576.02	822.8
443.525	22546.66	797.4
444.101	22517.38	764.8
444.678	22488.18	740
445.255	22459.05	715.9
445.831	22430.00	692.8
446.408	22401.02	669.3
446.985	22372.12	644.7
447.562	22343.29	622.9
448.138	22314.54	608.9
448.715	22285.86	584.4
449.292	22257.25	557.1
449.868	22228.72	532.7
450.445	22200.26	511.5
451.022	22171.88	491.9
451.599	22143.56	473.8
452.175	22115.32	456.9
452.752	22087.15	440.1
453.329	22059.05	424.7
453.905	22031.02	407.2
454.482	22003.07	393.2
455.059	21975.18	383.3
455.636	21947.37	370.7
456.212	21919.62	353
456.789	21891.95	338.6
457.366	21864.35	325.3
457.942	21836.81	303.7
458.519	21809.34	293.3
459.096	21781.95	282.1
459.672	21754.62	271.9
460.249	21727.36	265.3
460.826	21700.17	252
461.403	21673.05	243.8
461.979	21645.99	236.3
462.556	21619.00	222.4
463.133	21592.08	201.3
463.709	21565.23	207.8
464.286	21538.44	194.2
464.863	21511.72	187.2
465.440	21485.07	181.6
466.016	21458.48	171.3
466.593	21431.96	169.1
467.170	21405.50	165.3
467.746	21379.11	146.4
468.323	21352.78	149.1
468.900	21326.52	139.2
469.477	21300.32	134.8
470.053	21274.19	132.6
470.630	21248.12	124.5
471.207	21222.11	120.3
471.783	21196.17	117.7
472.360	21170.29	111.4
472.937	21144.48	110.3
473.513	21118.72	110.1
474.090	21093.03	102.7
474.667	21067.41	95.45
475.244	21041.84	85.68
475.820	21016.34	87.22
476.397	20990.90	82.54
476.974	20965.52	76.68
477.550	20940.20	80
478.127	20914.94	73.07
478.704	20889.74	65.77
479.281	20864.61	64.2
479.857	20839.53	62.03
480.434	20814.51	57.63
481.011	20789.56	52.18
481.587	20764.66	52.89
482.164	20739.83	57.36
482.741	20715.05	54.48
483.318	20690.33	41.66
483.894	20665.67	35.55
484.471	20641.07	22.27
485.048	20616.53	32.76
485.624	20592.05	44.75
486.201	20567.62	49.9
486.778	20543.25	28.95
487.354	20518.95	36.29
487.931	20494.69	35.87
488.508	20470.50	18.03
489.085	20446.36	41.4
489.661	20422.28	38.58
490.238	20398.25	30.97
490.815	20374.29	31.89
491.391	20350.37	37.26
491.968	20326.52	16.63
492.545	20302.72	7.992
493.122	20278.97	22.54
493.698	20255.29	18.08
494.275	20231.65	18.72
494.852	20208.07	22.93
495.428	20184.55	15.69
496.005	20161.08	22.35
496.582	20137.67	30.21
497.159	20114.31	23.11
497.735	20091.00	27.18
498.312	20067.75	28.07
498.889	20044.55	21.51
499.465	20021.41	19.9
500.042	19998.32	15.38
500.619	19975.28	15.16
501.196	19952.29	14.4
501.772	19929.36	10.47
502.349	19906.48	16.75
502.926	19883.66	15.76
503.502	19860.88	17.1
504.079	19838.16	18.95
504.656	19815.49	20.48
505.232	19792.87	19.47
505.809	19770.30	12.38
506.386	19747.79	8.937
506.963	19725.32	13.14
507.539	19702.91	18.75
508.116	19680.55	15.01
508.693	19658.23	8.028
509.269	19635.97	12.01
509.846	19613.76	20.92
510.423	19591.60	20.65
511.000	19569.49	13.29
511.576	19547.43	13.68
512.153	19525.42	18.46
512.730	19503.45	13.8
513.306	19481.54	0.4596
513.883	19459.68	18.34
514.460	19437.86	17.81
515.037	19416.10	3.158
515.613	19394.38	12.18
516.190	19372.71	23.82
516.767	19351.09	33.77
517.343	19329.52	18.1
517.920	19308.00	29.82
518.497	19286.52	11.56
519.073	19265.10	19.25
519.650	19243.71	12.42
520.227	19222.38	15.27
520.804	19201.10	27.9
521.380	19179.86	7.409
521.957	19158.67	13.83
522.534	19137.52	36.51
523.110	19116.42	23.17
523.687	19095.37	6.248
524.264	19074.36	3.91
524.841	19053.41	9.118
525.417	19032.49	15.49
525.994	19011.62	14.86
526.571	18990.80	26.98
527.147	18970.03	22.15
527.724	18949.30	25.96
528.301	18928.61	24.29
528.878	18907.97	15.35
529.454	18887.37	9.309
530.031	18866.82	9.406
530.608	18846.32	10.16
531.184	18825.86	9.642
531.761	18805.44	13.93
532.338	18785.07	6.069
532.914	18764.74	6.218
533.491	18744.45	9.74
534.068	18724.21	11.91
534.645	18704.01	12.96
535.221	18683.86	14.55
535.798	18663.75	14.37
536.375	18643.68	15.22
536.951	18623.66	15.96
537.528	18603.68	19.51
538.105	18583.74	11.42
538.682	18563.84	5.32
539.258	18543.99	3.872
539.835	18524.18	6.198
540.412	18504.41	9.189
540.988	18484.68	4.972
541.565	18465.00	10.22
542.142	18445.36	14.39
542.719	18425.76	8.472
543.295	18406.20	9.695
543.872	18386.68	11.55
544.449	18367.20	-0.4318
545.025	18347.77	-3.746
