Wavelength [nm]	Wavenumbers [1/cm]	365nm_0002_30us_baselined
175.355	57027.17	-25.02
175.932	56840.24	-18.81
176.508	56654.52	-5.619
177.085	56470.02	0.1756
177.662	56286.71	-7.297
178.239	56104.59	10.27
178.815	55923.64	6.873
179.392	55743.86	-1.822
179.969	55565.23	-0.9013
180.545	55387.74	17.58
181.122	55211.38	18.38
181.699	55036.14	13.56
182.276	54862.01	4.574
182.852	54688.97	0.38
183.429	54517.03	7.87
184.006	54346.16	3.286
184.582	54176.36	10.98
185.159	54007.62	18.48
185.736	53839.93	25.67
186.312	53673.27	23.3
186.889	53507.65	49.17
187.466	53343.04	14.09
188.043	53179.44	23.86
188.619	53016.84	4.476
189.196	52855.24	2.678
189.773	52694.61	29.57
190.349	52534.96	20.49
190.926	52376.28	31.37
191.503	52218.55	20.87
192.080	52061.76	13.18
192.656	51905.92	21.17
193.233	51751.00	11.58
193.810	51597.01	19.16
194.386	51443.93	6.363
194.963	51291.76	-14.32
195.540	51140.48	-11.31
196.117	50990.10	-2.825
196.693	50840.59	-5.126
197.270	50691.96	-14.22
197.847	50544.20	-11.21
198.423	50397.30	-2.03
199.000	50251.24	-13.42
199.577	50106.03	-18.61
200.153	49961.66	-10.62
200.730	49818.12	-10.12
201.307	49675.40	4.172
201.884	49533.49	0.7692
202.460	49392.40	-6.927
203.037	49252.10	-15.42
203.614	49112.60	-21.38
204.190	48973.89	10.77
204.767	48835.96	-2.027
205.344	48698.80	-20.51
205.921	48562.42	-9.028
206.497	48426.79	-13.92
207.074	48291.92	-17.32
207.651	48157.80	-15.62
208.227	48024.42	-16.93
208.804	47891.78	-22.12
209.381	47759.87	-9.513
209.958	47628.68	-2.833
210.534	47498.21	-14.72
211.111	47368.46	-3.124
211.688	47239.41	0.8789
212.264	47111.07	2.371
212.841	46983.41	-8.325
213.418	46856.45	-31.84
213.994	46730.18	-44.71
214.571	46604.58	-33.23
215.148	46479.65	-54.78
215.725	46355.40	-26.53
216.301	46231.80	-37.72
216.878	46108.87	-29.62
217.455	45986.58	-27.93
218.031	45864.94	-34.12
218.608	45743.95	-31.72
219.185	45623.59	-24.13
219.762	45503.86	-30.33
220.338	45384.76	-38.72
220.915	45266.28	-41.32
221.492	45148.42	-29.12
222.068	45031.17	-26.63
222.645	44914.53	-34.12
223.222	44798.49	-37.71
223.799	44683.05	-28.72
224.375	44568.20	-23.53
224.952	44453.94	-38.22
225.529	44340.26	-29.21
226.105	44227.17	-15.83
226.682	44114.65	-27.22
227.259	44002.70	-37.21
227.835	43891.32	-29.73
228.412	43780.50	-40.02
228.989	43670.24	-41.32
229.566	43560.53	-36.62
230.142	43451.37	-31.32
230.719	43342.76	-25.02
231.296	43234.69	-32.93
231.872	43127.16	-41.61
232.449	43020.16	-23.93
233.026	42913.69	-46.09
233.603	42807.75	-24.32
234.179	42702.33	-18.73
234.756	42597.42	-25.22
235.333	42493.03	-30.81
235.909	42389.15	-24.13
236.486	42285.78	-30.92
237.063	42182.91	-35.61
237.640	42080.54	-24.41
238.216	41978.67	-14.72
238.793	41877.28	-13.82
239.370	41776.39	-22.52
239.946	41675.98	-17.03
240.523	41576.05	-23.72
241.100	41476.60	-24.37
241.676	41377.63	-58.41
242.253	41279.12	-38.91
242.830	41181.09	-6.528
