Wavelength [nm]	Wavenumbers [1/cm]	LED340nm_normalisedarea
175.764	56894.47	226.9
176.337	56709.57	252.5
176.910	56525.87	231.2
177.483	56343.35	264.9
178.056	56162.01	242.1
178.629	55981.83	236.3
179.202	55802.81	245.2
179.776	55624.92	248.8
180.349	55448.17	257.6
180.922	55272.54	247.7
181.495	55098.01	240.2
182.068	54924.58	255.7
182.641	54752.25	250.4
183.214	54580.99	229.5
183.787	54410.80	234.3
184.360	54241.66	236.5
184.933	54073.58	253.1
185.506	53906.53	274.6
186.079	53740.51	258.3
186.652	53575.51	233.5
187.226	53411.52	245.6
187.799	53248.54	261.5
188.372	53086.54	259.4
188.945	52925.53	243.3
189.518	52765.49	226.9
190.091	52606.41	241.8
190.664	52448.30	254
191.237	52291.12	247
191.810	52134.89	241.1
192.383	51979.59	254.6
192.956	51825.21	252.2
193.529	51671.75	254.7
194.102	51519.19	270.1
194.675	51367.53	259.3
195.249	51216.76	236.5
195.822	51066.88	232.2
196.395	50917.87	236.6
196.968	50769.72	250.1
197.541	50622.43	232.7
198.114	50476.00	243.7
198.687	50330.41	223.1
199.260	50185.66	256.7
199.833	50041.74	226.5
200.406	49898.64	249.5
200.979	49756.36	242.8
201.552	49614.89	243.8
202.125	49474.22	260.8
202.699	49334.34	272.2
203.272	49195.26	244.9
203.845	49056.95	227.5
204.418	48919.42	243.9
204.991	48782.66	243.8
205.564	48646.67	242.3
206.137	48511.42	256.2
206.710	48376.93	263.1
207.283	48243.19	246.3
207.856	48110.18	219.9
208.429	47977.90	213.5
209.002	47846.34	228.4
209.575	47715.51	235.4
210.149	47585.39	237.8
210.722	47455.98	249.3
211.295	47327.27	215.7
211.868	47199.25	219.9
212.441	47071.93	252.9
213.014	46945.29	208.3
213.587	46819.33	236.2
214.160	46694.05	217
214.733	46569.43	217.9
215.306	46445.48	221
215.879	46322.18	202.6
216.452	46199.54	222.3
217.025	46077.55	226.3
217.599	45956.19	225.9
218.172	45835.48	209.6
218.745	45715.40	208.9
219.318	45595.95	213.2
219.891	45477.11	199.9
220.464	45358.90	200
221.037	45241.30	205.8
221.610	45124.31	193.7
222.183	45007.92	194
222.756	44892.13	192.6
223.329	44776.93	208.4
223.902	44662.33	208.7
224.475	44548.31	214.9
225.049	44434.87	204.6
225.622	44322.00	234.7
226.195	44209.71	212.6
226.768	44097.98	201.5
227.341	43986.82	190.8
227.914	43876.22	215.4
228.487	43766.17	202.2
229.060	43656.68	201.4
229.633	43547.73	210.5
230.206	43439.32	210.9
230.779	43331.45	210.1
231.352	43224.11	198.3
231.925	43117.31	187.4
232.498	43011.03	199.7
233.072	42905.28	190.9
233.645	42800.04	178.3
234.218	42695.32	197.4
234.791	42591.11	184
235.364	42487.41	184.4
235.937	42384.21	211.1
236.510	42281.51	216
237.083	42179.30	195.5
237.656	42077.59	207.5
238.229	41976.37	186.7
238.802	41875.64	186.5
239.375	41775.39	186.6
239.948	41675.61	196.1
240.522	41576.32	211.1
241.095	41477.49	201.8
241.668	41379.13	176.4
242.241	41281.24	207.1
242.814	41183.81	206.7
243.387	41086.84	220.5
243.960	40990.33	217.7
244.533	40894.26	220.7
245.106	40798.65	212.6
245.679	40703.48	206
246.252	40608.76	216.4
246.825	40514.47	210.2
247.398	40420.62	204.8
247.972	40327.21	218.6
248.545	40234.23	213.2
249.118	40141.67	218.4
249.691	40049.54	222.1
250.264	39957.83	215.2
250.837	39866.54	212.2
251.410	39775.67	206.2
251.983	39685.21	186.5
252.556	39595.16	202.1
253.129	39505.52	187.8
253.702	39416.28	211.2
254.275	39327.44	199.7
