Wavelength [nm],Intensity,Intensity (baselined),Intensity (normalised)
175.764,226.91675,8.275711274999964,1.9156970803138803e-05
176.337,252.53578,33.894741274999944,7.84609983853165e-05
176.91,231.21469,12.573651274999946,2.9106026341406407e-05
177.483,264.87672,46.23568127499993,0.00010702833470328013
178.056,242.14518,23.504141274999967,5.440839260768265e-05
178.629,236.29631,17.65527127499996,4.086917789875057e-05
179.202,245.19161,26.550571274999953,6.146039921164747e-05
179.775,248.81367,30.172631274999958,6.984489878654563e-05
180.348,257.57143,38.93039127499998,9.011773661834854e-05
180.921,247.74492,29.103881274999964,6.737091052553605e-05
181.494,240.17304,21.532001274999942,4.9843198493935275e-05
182.067,255.68993,37.04889127499996,8.576235985756297e-05
182.64,250.47805,31.837011274999952,7.369767687483486e-05
183.214,229.5133,10.872261274999943,2.5167575920448177e-05
183.787,234.29932,15.65828127499995,3.6246459940992856e-05
184.36,236.54592,17.90488127499995,4.1446985814381525e-05
184.933,253.0465,34.405461274999965,7.964323490897766e-05
185.506,274.60494,55.963901274999955,0.00012954763489557837
186.079,258.34303,39.701991274999955,9.190386933619177e-05
186.652,233.53802,14.896981274999945,3.448417010416795e-05
187.225,245.61995,26.978911274999945,6.245193898401783e-05
187.798,261.47762,42.83658127499996,9.915995248293147e-05
188.371,259.39,40.74896127499994,9.432744032064012e-05
188.944,243.28921,24.648171274999953,5.705664223597998e-05
189.517,226.91011,8.269071274999959,1.9141600246831794e-05
190.09,241.75424,23.113201274999966,5.3503427956679994e-05
190.664,254.03278,35.39174127499996,8.192631808284293e-05
191.237,246.9686,28.327561274999965,6.557385174959504e-05
191.81,241.11034,22.469301274999964,5.201290066660834e-05
192.383,254.55477,35.91373127499995,8.31346428850552e-05
192.956,252.22042,33.579381274999946,7.77309895544468e-05
193.529,254.68627,36.04523127499996,8.343904471553268e-05
194.102,270.13085,51.489811274999965,0.00011919081979504001
194.675,259.30472,40.66368127499993,9.413003052517914e-05
195.248,236.47419,17.83315127499995,4.128094213909523e-05
195.821,232.22264,13.581601274999969,3.143927215912306e-05
196.394,236.53674,17.895701274999965,4.142573555731857e-05
196.967,250.1454,31.50436127499995,7.292764441165372e-05
197.54,232.69348,14.05244127499995,3.2529192751229453e-05
198.114,243.68632,25.04528127499995,5.797588946716548e-05
198.687,223.11023,4.469191274999957,1.0345475322158003e-05
199.26,256.6632,38.022161274999974,8.801532692637499e-05
199.833,226.46105,7.820011274999956,1.810209693128656e-05
200.406,249.50309,30.862051274999942,7.144079772166159e-05
200.979,242.80775,24.166711274999955,5.5942138013153613e-05
201.552,243.78013,25.13909127499997,5.819304487185821e-05
202.125,260.74922,42.108181274999936,9.747382097479632e-05
202.698,272.1932,53.552161274999946,0.00012396483587933762
203.271,244.92302,26.281981274999964,6.083865557934381e-05
203.844,227.44032,8.79928127499997,2.036895305700248e-05
204.417,243.86496,25.223921274999952,5.8389412988051336e-05
204.99,243.84746,25.20642127499997,5.834890323874829e-05
205.564,242.33337,23.692331274999958,5.484402287747388e-05
206.137,256.17882,37.53778127499993,8.689406336252195e-05
206.71,263.1105,44.46946127499996,0.00010293981302247517
207.283,246.2707,27.62966127499996,6.395832294738816e-05
207.856,219.90836,1.2673212749999436,2.9336495506690655e-06
208.429,213.46317,-5.177868725000053,-1.1985952227086606e-05
209.002,228.41281,9.771771274999963,2.2620114548416935e-05
209.575,235.34874,16.70770127499995,3.867570229034366e-05
210.148,237.78863,19.147591274999968,4.4323664131891946e-05
210.721,249.37777,30.736731274999954,7.115070161979522e-05
211.294,215.67858,-2.962458725000033,-6.85762630117007e-06
211.867,219.88341,1.2423712749999538,2.875894222376982e-06
212.44,253.0097,34.368661274999965,7.955804869330031e-05
213.014,208.24564,-10.395398725000035,-2.406371407173251e-05
213.587,236.18741,17.546371274999956,4.061709151594453e-05
