Wavelength [nm]	Wavenumbers [1/cm]	2107362U1_0001	2107362U1_0002	2107362U1_0003	2107362U1_0004	2107362U1_0005	2107362U1_0006	2107362U1_0007	2107362U1_0008	2107362U1_0009	2107362U1_0010	2107362U1_0011	2107362U1_0012	2107362U1_0013	2107362U1_0014	2107362U1_0015	2107362U1_0016	2107362U1_0017	2107362U1_0018	2107362U1_0019	2107362U1_0020	2107362U1_0021	2107362U1_0022	2107362U1_0023	2107362U1_0024	2107362U1_0025	2107362U1_0026	2107362U1_0027	2107362U1_0028	2107362U1_0029	2107362U1_0030	2107362U1_0031
175.355	57027.31	-0.01274	0.002223	-0.00924	-0.004735	0.001778	0.009606	0.07847	0.01101	-0.01243	0.04919	-0.04497	-0.004187	-0.01019	-0.01498	0.01434	0.04833	-0.02394	0.001105	0.0103	0.03062	0.0005803	-0.01148	-0.05035	0.002307	-0.0117	0.04036	-0.01671	-0.008005	0.009782	-0.02814	0.009081
175.931	56840.38	3.821	3.824	0.2636	0.2327	0.8914	0.3814	0.1599	0.02198	3.823	0.8151	0.1249	0.1584	0.1862	0.3296	1.425	0.4675	0.07908	0.2786	0.6289	0.2408	0.37	0.3489	3.821	0.3489	3.824	0.6951	3.823	3.823	0.1129	3.822	1.332
176.508	56654.66	0.8065	0.5977	0.2459	0.1756	0.2364	0.3124	0.1447	0.1379	0.5589	0.09574	0.2043	0.3591	0.1254	0.1942	0.3758	0.2413	0.3285	0.2022	0.5789	0.155	0.2832	0.1471	0.6103	0.1779	0.5627	0.179	0.5158	0.7278	0.06952	0.4705	0.3207
177.085	56470.15	0.01217	-0.01442	0.01857	0.1225	-0.05687	0.04304	0.05508	0.06987	0.1391	0.1994	0.1505	0.131	-0.004024	-0.02745	0.1435	0.2077	0.01922	-0.01985	0.09177	0.07143	0.05522	-0.09097	0.0449	-0.01977	0.07739	-0.02749	0.07434	-0.04888	0.1105	-0.007992	0.04219
177.661	56286.85	-0.1207	-0.09708	-0.09115	-0.05009	-0.1085	-0.05038	-0.02276	-0.009988	-0.03823	-0.02005	-0.05015	-0.0422	-0.03169	-0.1122	-0.03481	-0.0497	-0.1006	-0.07869	-0.07507	-0.05339	-0.08423	-0.1243	-0.112	-0.06112	-0.05794	-0.0466	-0.09324	-0.09639	0.004933	-0.113	-0.1182
178.238	56104.72	-0.0156	-0.01601	-0.019	-0.0306	-0.03554	0.02827	0.01001	-0.01724	0.02119	-0.01027	0.005457	-0.0469	-0.001249	-0.02614	0.001367	-0.02669	-0.02494	-0.06929	-0.006004	0.04082	0.02789	0.01048	-0.06505	-0.02578	-0.02959	0.01551	-0.01302	-0.08572	-0.006164	-0.0417	-0.009365
178.815	55923.78	-0.007742	-0.01923	0.02832	0.03075	-0.02144	0.02434	-0.01309	0.00995	0.01354	0.03362	0.02096	0.016	-0.002919	-0.002547	0.03559	-0.03524	-0.03407	-0.042	0.04342	0.06537	0.05028	0.0308	-0.03477	0.002902	0.05431	0.02069	-0.03775	-0.09625	0.05455	-0.01182	0.002422
179.392	55743.99	0.034	0.03776	0.02467	0.0795	0.03233	0.04742	0.05753	0.03965	0.06996	0.06578	0.02646	0.04449	0.04237	0.02836	0.09463	0.05438	0.04207	0.05875	0.05822	0.06013	0.08066	0.06339	0.07632	0.08921	0.06305	0.04673	0.04079	0.01144	0.0579	0.07372	0.03988
179.968	55565.36	-0.04084	-0.01053	-0.07306	0.1516	-0.03276	-0.1238	-0.02976	-0.04775	0.04197	0.08686	0.008795	0.02281	-0.0384	-0.04234	0.02802	-0.07252	-0.03019	-0.04625	-0.01332	0.102	-0.03159	-0.031	0.05805	0.02138	-0.04365	0.03528	-0.1258	-0.08758	-0.01173	-0.04029	-0.0258
180.545	55387.87	0.01912	-0.01048	0.001467	0.1138	0.02172	-0.0313	-0.06219	0.0088	0.01673	0.06602	0.003951	0.02113	-0.006511	0.01845	-0.001876	-0.03695	0.01316	0.007721	0.007898	0.0247	-0.02576	-0.009874	0.02484	0.00616	0.008703	0.03429	-0.07464	-0.00608	0.02675	0.0148	0.1306
181.122	55211.51	0.04768	-0.01783	0.01651	0.03034	0.1006	0.08489	-0.06682	0.04841	0.006931	0.1483	0.07985	0.1096	0.05941	0.1091	0.0753	0.1129	0.2645	0.07534	0.07006	-0.004322	0.04984	0.09018	0.1594	0.1655	0.0877	0.01882	0.05318	0.158	-0.01096	0.1335	0.1541
181.698	55036.27	-0.0009079	-0.0284	-0.01807	-0.006725	0.04497	0.03936	-0.04326	0.006262	-0.008701	0.1074	0.06839	0.06781	0.02057	0.05471	0.05063	0.07856	0.1838	0.01417	0.03254	0.005515	0.01384	0.05775	0.1138	0.1245	0.0381	0.007772	0.01892	0.08368	-0.03661	0.05491	0.02534
182.275	54862.14	0.0751	0.05462	0.08298	-0.0005271	0.0361	0.06697	0.07118	0.02965	0.000152	0.08846	0.01191	-0.0015	0.02732	0.02677	0.02892	0.02209	0.04704	-0.0114	0.02178	0.02637	0.02376	0.03218	0.06036	0.04893	0.07276	0.09221	0.02435	0.05956	0.02405	0.01395	0.07679
182.852	54689.10	0.05388	0.05032	0.08144	-0.002999	0.06046	0.08833	0.07503	0.03045	0.004882	0.122	0.006579	0.01133	0.04363	0.03517	0.04256	0.02892	0.06597	-0.02393	0.01089	0.05712	0.05259	0.02688	0.06127	0.03646	0.08707	0.09785	0.03716	0.03476	0.01212	0.006685	0.101
183.428	54517.16	-0.1443	-0.108	-0.08268	-0.0607	-0.02537	-0.07008	-0.05222	-0.06067	-0.03354	-0.02894	-0.02131	-0.06682	-0.03407	-0.05447	-0.05946	-0.03427	-0.07565	-0.08753	-0.06854	-0.02539	-0.02532	-0.09904	-0.06585	-0.04135	-0.06502	-0.01505	-0.0402	-0.1522	-0.07305	-0.1267	-0.08263
184.005	54346.29	-0.1531	-0.142	-0.1051	-0.08055	-0.07172	-0.1605	-0.06522	-0.08621	-0.04567	-0.08544	-0.03455	-0.114	-0.05485	-0.09571	-0.09789	-0.07701	-0.1218	-0.09448	-0.06133	-0.09891	-0.04856	-0.1401	-0.06825	-0.015	-0.104	-0.0226	-0.06358	-0.1509	-0.09695	-0.1393	-0.1458
184.582	54176.49	1.159	1.163	1.169	1.187	1.172	1.162	1.186	1.171	1.2	1.183	1.176	1.163	1.184	1.166	1.177	1.162	1.171	1.164	1.172	1.167	1.178	1.172	1.143	1.159	1.156	1.18	1.156	1.141	1.171	1.174	1.179
185.159	54007.75	3.998	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
185.735	53840.05	3.998	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
186.312	53673.40	3.998	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
186.889	53507.77	3.998	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
187.465	53343.16	3.998	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
188.042	53179.56	3.998	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
188.619	53016.96	3.998	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
189.196	52855.36	3.998	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
189.772	52694.73	3.998	4	4	4	4	2.773	1.784	1.676	4	2.244	4	4	2.306	4	3.608	4	4	2.121	4	4	1.76	2.797	4	4	4	2.153	4	4	2.007	4	4
190.349	52535.08	1.717	1.511	1.623	1.583	1.775	1.425	1.09	1.088	1.55	1.354	1.762	1.548	1.375	1.689	1.738	1.711	1.539	1.291	1.596	1.52	1.255	1.319	1.596	1.721	1.851	1.123	1.723	1.747	1.394	1.917	1.845
190.926	52376.39	3.527	3.486	3.509	3.501	3.541	3.506	3.467	3.47	3.494	3.508	3.538	3.494	3.51	3.523	3.545	3.527	3.492	3.499	3.503	3.488	3.502	3.483	3.504	3.529	3.556	3.463	3.53	3.535	3.523	3.57	3.555
