Wavelength [nm]	Wavenumbers [1/cm]	Part of: 7315560SP_0001	Part of: 7315560SP_0002	Part of: 7315560SP_0003	Part of: 7315560SP_0004	Part of: 7315560SP_0005	Part of: 7315560SP_0006	Part of: 7315560SP_0007	Part of: 7315560SP_0008	Part of: 7315560SP_0009	Part of: 7315560SP_0010	Part of: 7315560SP_0011	Part of: 7315560SP_0012	Part of: 7315560SP_0013	Part of: 7315560SP_0014	Part of: 7315560SP_0015	Part of: 7315560SP_0016	Part of: 7315560SP_0017	Part of: 7315560SP_0018	Part of: 7315560SP_0019	Part of: 7315560SP_0020	Part of: 7315560SP_0021	Part of: 7315560SP_0022	Part of: 7315560SP_0023	Part of: 7315560SP_0024	Part of: 7315560SP_0025	Part of: 7315560SP_0026	Part of: 7315560SP_0027	Part of: 7315560SP_0028	Part of: 7315560SP_0029	Part of: 7315560SP_0030	Part of: 7315560SP_0031	Part of: 7315560SP_0032	Part of: 7315560SP_0033	Part of: 7315560SP_0034	Part of: 7315560SP_0035	Part of: 7315560SP_0036	Part of: 7315560SP_0037	Part of: 7315560SP_0038	Part of: 7315560SP_0039	Part of: 7315560SP_0040	Part of: 7315560SP_0041	Part of: 7315560SP_0042	Part of: 7315560SP_0043	Part of: 7315560SP_0044	Part of: 7315560SP_0045	Part of: 7315560SP_0046	Part of: 7315560SP_0047	Part of: 7315560SP_0048	Part of: 7315560SP_0049	Part of: 7315560SP_0050	Part of: 7315560SP_0051	Part of: 7315560SP_0052	Part of: 7315560SP_0053	Part of: 7315560SP_0054	Part of: 7315560SP_0055	Part of: 7315560SP_0056	Part of: 7315560SP_0057	Part of: 7315560SP_0058	Part of: 7315560SP_0059	Part of: 7315560SP_0060	Part of: 7315560SP_0061	Part of: 7315560SP_0062	Part of: 7315560SP_0063	Part of: 7315560SP_0064	Part of: 7315560SP_0065	Part of: 7315560SP_0066	Part of: 7315560SP_0067	Part of: 7315560SP_0068	Part of: 7315560SP_0069	Part of: 7315560SP_0070	Part of: 7315560SP_0071	Part of: 7315560SP_0072	Part of: 7315560SP_0073	Part of: 7315560SP_0074	Part of: 7315560SP_0075	Part of: 7315560SP_0076	Part of: 7315560SP_0077	Part of: 7315560SP_0078	Part of: 7315560SP_0079	Part of: 7315560SP_0080	Part of: 7315560SP_0081	Part of: 7315560SP_0082	Part of: 7315560SP_0083	Part of: 7315560SP_0084	Part of: 7315560SP_0085	Part of: 7315560SP_0086	Part of: 7315560SP_0087	Part of: 7315560SP_0088	Part of: 7315560SP_0089	Part of: 7315560SP_0090	Part of: 7315560SP_0091	Part of: 7315560SP_0092	Part of: 7315560SP_0093	Part of: 7315560SP_0094	Part of: 7315560SP_0095	Part of: 7315560SP_0096	Part of: 7315560SP_0097	Part of: 7315560SP_0098	Part of: 7315560SP_0099	Part of: 7315560SP_0100	Part of: 7315560SP_0101	Part of: 7315560SP_0102	Part of: 7315560SP_0103	Part of: 7315560SP_0104	Part of: 7315560SP_0105	Part of: 7315560SP_0106	Part of: 7315560SP_0107	Part of: 7315560SP_0108	Part of: 7315560SP_0109	Part of: 7315560SP_0110	Part of: 7315560SP_0111	Part of: 7315560SP_0112	Part of: 7315560SP_0113	Part of: 7315560SP_0114	Part of: 7315560SP_0115	Part of: 7315560SP_0116	Part of: 7315560SP_0117	Part of: 7315560SP_0118	Part of: 7315560SP_0119	Part of: 7315560SP_0120	Part of: 7315560SP_0121
187.798	53248.66	0.1091	0.1054	0.1021	0.1161	0.1048	0.1042	0.1078	0.1115	0.1072	0.1071	0.1052	0.1038	0.1031	0.1042	0.0948	0.1028	0.09888	0.1028	0.103	0.0988	0.09173	0.09859	0.09553	0.09429	0.1013	0.09656	0.09455	0.1013	0.1008	0.09224	0.08717	0.09416	0.08619	0.08704	0.09103	0.08676	0.09362	0.1	0.09452	0.09361	0.08713	0.08943	0.08487	0.08415	0.092	0.08947	0.08634	0.0878	0.09409	0.09033	0.09013	0.08692	0.08548	0.08088	0.08365	0.09214	0.09273	0.09038	0.09086	0.08844	0.09015	0.08713	0.09736	0.09342	0.09709	0.09703	0.09006	0.08657	0.08355	0.08736	0.0878	0.09164	0.09011	0.09204	0.09401	0.09348	0.09321	0.09277	0.08606	0.08866	0.09227	0.09111	0.08463	0.09402	0.08737	0.0889	0.08453	0.0935	0.08408	0.08979	0.08442	0.07911	0.08863	0.08598	0.09345	0.09443	0.0882	0.09039	0.09339	0.09567	0.09378	0.08492	0.09149	0.08982	0.09251	0.08876	0.09484	0.08787	0.08832	0.08485	0.08536	0.08569	0.08869	0.08694	0.09119	0.08212	0.08119	0.09141	0.08828	0.09429	0.09407
188.371	53086.66	0.1097	0.1082	0.1082	0.1151	0.11	0.1037	0.1025	0.1114	0.1057	0.1137	0.1019	0.1107	0.1017	0.09771	0.1019	0.1002	0.1028	0.1036	0.1074	0.1034	0.1003	0.1014	0.09836	0.09976	0.09213	0.09707	0.1009	0.09819	0.09777	0.0955	0.09342	0.09551	0.08993	0.08807	0.08946	0.08929	0.09424	0.09502	0.09324	0.09383	0.08229	0.09362	0.08986	0.08645	0.09058	0.09238	0.09397	0.09073	0.09852	0.095	0.08922	0.08792	0.08855	0.0894	0.08996	0.09033	0.09295	0.0952	0.08825	0.09517	0.08988	0.08651	0.09867	0.0948	0.09309	0.08687	0.09582	0.08797	0.08926	0.09004	0.09179	0.09495	0.09048	0.08573	0.08924	0.08698	0.08802	0.09295	0.09258	0.0947	0.09422	0.09332	0.0915	0.09517	0.09597	0.09291	0.0869	0.09352	0.08639	0.09061	0.08347	0.08309	0.08776	0.09038	0.09684	0.09527	0.09248	0.09393	0.09003	0.09126	0.08626	0.08678	0.08925	0.0932	0.09567	0.09485	0.09036	0.08616	0.09314	0.08899	0.08849	0.08627	0.09019	0.09405	0.09324	0.0867	0.08864	0.09167	0.08705	0.09625	0.08853
188.944	52925.65	0.1141	0.1131	0.1107	0.1211	0.1157	0.1059	0.1106	0.1069	0.1112	0.1182	0.1114	0.1093	0.1088	0.1078	0.1026	0.1033	0.1008	0.1034	0.1158	0.1026	0.1016	0.1011	0.09456	0.09643	0.09681	0.1029	0.1018	0.0989	0.09918	0.09835	0.0907	0.09685	0.1002	0.0928	0.09332	0.09252	0.0909	0.09283	0.09569	0.09081	0.09146	0.09565	0.09182	0.09165	0.09359	0.09415	0.09224	0.09416	0.1005	0.09775	0.09634	0.09355	0.09542	0.09871	0.09325	0.09658	0.1015	0.09335	0.09389	0.09769	0.09701	0.09098	0.1006	0.102	0.09654	0.0943	0.09319	0.09321	0.0939	0.09543	0.09642	0.09856	0.09571	0.09208	0.09635	0.09758	0.09355	0.09992	0.08821	0.09507	0.09509	0.09675	0.09692	0.09837	0.0999	0.09948	0.09204	0.09651	0.08954	0.09241	0.08661	0.09048	0.09087	0.0934	0.09801	0.1008	0.09702	0.09802	0.09572	0.08947	0.09286	0.08924	0.09414	0.09535	0.09537	0.09935	0.09845	0.09479	0.09189	0.0923	0.08987	0.08895	0.09495	0.09625	0.09692	0.08537	0.08805	0.09228	0.09203	0.09877	0.09042
189.517	52765.61	0.1172	0.1118	0.1092	0.1142	0.1136	0.112	0.1053	0.1118	0.1151	0.1177	0.1125	0.1129	0.108	0.1041	0.1071	0.1027	0.1004	0.1103	0.1082	0.1056	0.1054	0.1012	0.09592	0.1017	0.1025	0.1027	0.1018	0.09966	0.09341	0.09761	0.09689	0.101	0.101	0.09188	0.09186	0.08701	0.09767	0.09804	0.09714	0.09356	0.09063	0.09179	0.09319	0.09001	0.09673	0.1033	0.09328	0.09542	0.0968	0.09636	0.09254	0.09706	0.09158	0.09236	0.0956	0.09573	0.09593	0.09423	0.09461	0.09637	0.09146	0.09246	0.09955	0.1016	0.09761	0.0936	0.09728	0.0874	0.09551	0.1004	0.09272	0.09699	0.1018	0.09693	0.09882	0.09956	0.09658	0.09746	0.08878	0.09615	0.09358	0.09529	0.09538	0.1007	0.09265	0.09181	0.08876	0.09965	0.09172	0.09586	0.08945	0.08865	0.08635	0.09389	0.09735	0.09514	0.09508	0.1017	0.09679	0.09703	0.09577	0.09148	0.0958	0.1019	0.0932	0.09752	0.09633	0.09527	0.09699	0.09329	0.09248	0.09042	0.09028	0.09561	0.0954	0.09126	0.09637	0.09422	0.09109	0.09642	0.09427
190.090	52606.53	0.1241	0.1153	0.1077	0.1232	0.1158	0.11	0.1143	0.1132	0.1192	0.1206	0.1111	0.1149	0.1109	0.1096	0.1077	0.1073	0.106	0.115	0.1088	0.1063	0.1082	0.1047	0.1005	0.09973	0.1059	0.1016	0.1054	0.09973	0.0998	0.09959	0.09806	0.1014	0.1017	0.1017	0.09265	0.09427	0.09949	0.1022	0.0992	0.09787	0.09665	0.09633	0.098	0.09306	0.09673	0.09759	0.0957	0.09908	0.1027	0.0958	0.09509	0.09766	0.09439	0.095	0.09599	0.09798	0.09625	0.09859	0.09854	0.1013	0.09659	0.09471	0.101	0.1069	0.1003	0.09582	0.09445	0.09163	0.09757	0.101	0.09509	0.09778	0.09786	0.09896	0.1018	0.0991	0.09267	0.09968	0.09417	0.0952	0.0942	0.09869	0.1039	0.1014	0.09537	0.09661	0.095	0.09808	0.09152	0.09638	0.09389	0.09391	0.09157	0.09611	0.1017	0.09951	0.0967	0.09716	0.09859	0.093	0.0979	0.09107	0.09443	0.09866	0.1018	0.09758	0.09846	0.09682	0.09913	0.09312	0.09321	0.09252	0.09473	0.09678	0.09685	0.09117	0.09707	0.09697	0.09736	0.1021	0.09698
190.664	52448.41	0.115	0.1124	0.1048	0.1184	0.1146	0.1113	0.1075	0.1057	0.1108	0.1168	0.1088	0.11	0.1065	0.1084	0.1026	0.09898	0.1049	0.1048	0.1073	0.1029	0.09896	0.1013	0.1006	0.09332	0.09912	0.1012	0.101	0.09875	0.1009	0.09718	0.09475	0.09605	0.09605	0.09627	0.09587	0.09061	0.09183	0.09717	0.09839	0.09341	0.09054	0.09041	0.09337	0.08977	0.09282	0.09255	0.09712	0.09314	0.1029	0.09614	0.09178	0.09415	0.0944	0.09423	0.09319	0.0919	0.0963	0.09494	0.09641	0.09379	0.09356	0.0912	0.09943	0.1009	0.09906	0.09612	0.09228	0.08959	0.09243	0.09763	0.09316	0.09749	0.09534	0.09238	0.09768	0.09373	0.09376	0.09242	0.09266	0.09243	0.09469	0.09122	0.09933	0.09285	0.0966	0.09645	0.09331	0.095	0.09148	0.09095	0.09021	0.09	0.09118	0.09206	0.1005	0.09744	0.09519	0.09753	0.09788	0.09325	0.09124	0.0888	0.09352	0.09432	0.1002	0.09364	0.09616	0.09311	0.09239	0.09337	0.09167	0.09315	0.09556	0.0954	0.09507	0.094	0.09294	0.0963	0.09507	0.1	0.09679
191.237	52291.24	0.1131	0.1117	0.1057	0.1126	0.1101	0.1118	0.1071	0.1054	0.1074	0.1124	0.1065	0.1095	0.1072	0.1024	0.1001	0.1008	0.1027	0.1033	0.1034	0.09914	0.09964	0.1014	0.09889	0.09535	0.09658	0.1011	0.1009	0.09588	0.09959	0.09719	0.09365	0.09505	0.0944	0.09094	0.09823	0.08896	0.09581	0.09544	0.09744	0.09289	0.08765	0.09434	0.09297	0.08931	0.09484	0.09583	0.0913	0.09243	0.09799	0.09701	0.09063	0.09447	0.09214	0.09592	0.09234	0.09309	0.09507	0.09463	0.09466	0.09636	0.0927	0.09149	0.0992	0.09949	0.09694	0.09166	0.09199	0.09194	0.09192	0.09441	0.08995	0.09568	0.0954	0.0928	0.09634	0.09629	0.09406	0.09584	0.08951	0.09191	0.09443	0.09149	0.0974	0.09363	0.09346	0.09597	0.09292	0.09453	0.08948	0.09105	0.0886	0.09003	0.08819	0.0903	0.1014	0.09531	0.09397	0.09574	0.09639	0.09188	0.09613	0.08806	0.09519	0.09949	0.09535	0.09462	0.09156	0.09103	0.09356	0.09091	0.09353	0.09222	0.09289	0.09256	0.09436	0.09434	0.08925	0.09417	0.0938	0.09483	0.09493
191.810	52135.01	0.1085	0.1077	0.1018	0.1115	0.1084	0.1018	0.1051	0.1065	0.1045	0.1101	0.1043	0.1051	0.1044	0.1008	0.0995	0.0977	0.1005	0.1012	0.09849	0.09845	0.09852	0.09867	0.09774	0.0946	0.09764	0.09828	0.09744	0.09375	0.09733	0.09333	0.08983	0.09443	0.08987	0.08781	0.09227	0.09023	0.0935	0.09304	0.09497	0.09083	0.08553	0.08992	0.09098	0.08866	0.09353	0.0921	0.09067	0.09185	0.09497	0.09846	0.0908	0.09082	0.08756	0.09294	0.08991	0.09148	0.08912	0.09545	0.09531	0.09428	0.0917	0.09088	0.09316	0.09362	0.09201	0.0861	0.0886	0.0904	0.09012	0.0899	0.08981	0.09295	0.09418	0.08927	0.09552	0.0927	0.08953	0.09272	0.08695	0.09124	0.08993	0.09383	0.09754	0.09162	0.0893	0.09186	0.09087	0.09361	0.08596	0.09028	0.08953	0.08641	0.08792	0.08739	0.09421	0.09302	0.09326	0.09108	0.09291	0.08976	0.09317	0.08542	0.09397	0.09397	0.09563	0.09235	0.08953	0.08874	0.09118	0.08723	0.08628	0.08956	0.09069	0.09212	0.0923	0.08873	0.08885	0.09153	0.09154	0.09501	0.08974
192.383	51979.71	0.1119	0.1087	0.105	0.1145	0.114	0.105	0.1093	0.107	0.1093	0.1124	0.1043	0.1081	0.1075	0.1064	0.1034	0.1017	0.104	0.1017	0.1017	0.1023	0.09902	0.1024	0.101	0.09647	0.09877	0.1037	0.09947	0.09788	0.09838	0.09385	0.09196	0.09729	0.0929	0.09099	0.09656	0.09176	0.09477	0.09421	0.09672	0.0935	0.09014	0.09228	0.09204	0.09226	0.09324	0.09366	0.09218	0.09311	0.09639	0.09732	0.09135	0.09437	0.08892	0.09394	0.09144	0.09143	0.0908	0.09581	0.09716	0.09588	0.09326	0.09074	0.09372	0.09582	0.09523	0.08789	0.08929	0.09076	0.09083	0.09393	0.0941	0.09544	0.09469	0.091	0.09717	0.09115	0.09166	0.09331	0.09281	0.09412	0.09241	0.09721	0.09718	0.09668	0.09398	0.09313	0.09352	0.09348	0.08854	0.0934	0.09018	0.08924	0.08958	0.0892	0.09479	0.0945	0.09455	0.09453	0.09375	0.08974	0.09263	0.08914	0.0942	0.09735	0.09748	0.09442	0.09172	0.09253	0.09225	0.08932	0.09028	0.09202	0.09216	0.09106	0.09252	0.08714	0.0912	0.09029	0.09253	0.09651	0.08802
192.956	51825.33	0.1253	0.12	0.1157	0.1243	0.1211	0.1155	0.1187	0.1159	0.1178	0.1213	0.1118	0.1181	0.1198	0.1158	0.1128	0.112	0.1166	0.1128	0.1139	0.1101	0.1068	0.1104	0.1098	0.1055	0.1047	0.1121	0.1112	0.1068	0.1053	0.1035	0.1007	0.1062	0.1023	0.09956	0.1044	0.09911	0.1014	0.1032	0.1052	0.09979	0.09545	0.1016	0.103	0.09708	0.1049	0.1018	0.102	0.1026	0.1069	0.1033	0.0996	0.1016	0.09911	0.1037	0.1017	0.1008	0.09908	0.1029	0.1017	0.1048	0.1022	0.09831	0.1046	0.1033	0.1045	0.09672	0.1006	0.09892	0.09739	0.1039	0.1021	0.1067	0.1029	0.09877	0.1041	0.1014	0.1029	0.1036	0.1025	0.101	0.1012	0.1026	0.1031	0.1043	0.1039	0.1037	0.09995	0.1029	0.09609	0.1018	0.09654	0.09696	0.09985	0.09608	0.1068	0.1015	0.1046	0.1024	0.1009	0.1003	0.09995	0.09938	0.1005	0.1051	0.1049	0.1028	0.1039	0.09982	0.1009	0.09724	0.1014	0.09859	0.1028	0.0986	0.1	0.09669	0.09721	0.1011	0.1008	0.1028	0.09543
