Cycle,ElapsedTime (s),Event
0,0.078,Measure
1,1.125,LEDon
1,29.688,LEDoff
1,30.219,Measure
2,31.266,LEDon
2,59.828,LEDoff
2,60.36,Measure
3,61.407,LEDon
3,89.969,LEDoff
3,90.5,Measure
4,91.547,LEDon
4,120.11,LEDoff
4,120.641,Measure
5,121.688,LEDon
5,150.25,LEDoff
5,150.782,Measure
6,151.828,LEDon
6,180.391,LEDoff
6,180.922,Measure
7,181.969,LEDon
7,210.532,LEDoff
7,211.063,Measure
8,212.11,LEDon
8,240.672,LEDoff
8,241.203,Measure
9,242.25,LEDon
9,270.813,LEDoff
9,271.344,Measure
10,272.391,LEDon
10,300.953,LEDoff
10,301.485,Measure
11,302.532,LEDon
11,331.094,LEDoff
11,331.625,Measure
12,332.672,LEDon
12,361.235,LEDoff
12,361.766,Measure
13,362.813,LEDon
13,391.375,LEDoff
13,391.907,Measure
14,392.953,LEDon
14,421.516,LEDoff
14,422.047,Measure
15,423.094,LEDon
15,451.657,LEDoff
15,452.188,Measure
16,453.235,LEDon
16,481.797,LEDoff
16,482.328,Measure
17,483.375,LEDon
17,511.938,LEDoff
17,512.469,Measure
18,513.516,LEDon
18,542.078,LEDoff
18,542.61,Measure
19,543.657,LEDon
19,572.219,LEDoff
19,572.75,Measure
20,573.797,LEDon
20,602.36,LEDoff
20,602.891,Measure
21,603.938,LEDon
21,632.5,LEDoff
21,633.032,Measure
22,634.078,LEDon
22,662.641,LEDoff
22,663.172,Measure
23,664.219,LEDon
23,692.782,LEDoff
23,693.313,Measure
24,694.36,LEDon
24,722.922,LEDoff
24,723.453,Measure
25,724.5,LEDon
25,753.063,LEDoff
25,753.61,Measure
26,754.657,LEDon
26,783.219,LEDoff
26,783.75,Measure
27,784.797,LEDon
27,813.36,LEDoff
27,813.891,Measure
28,814.938,LEDon
28,843.5,LEDoff
28,844.032,Measure
29,845.078,LEDon
29,873.641,LEDoff
29,874.172,Measure
30,875.219,LEDon
30,903.782,LEDoff
30,904.313,Measure
31,905.36,LEDon
31,933.922,LEDoff
31,934.453,Measure
32,935.5,LEDon
32,964.063,LEDoff
32,964.594,Measure
33,965.641,LEDon
33,994.203,LEDoff
33,994.75,Measure
34,995.797,LEDon
34,1024.36,LEDoff
34,1024.907,Measure
35,1025.953,LEDon
35,1054.516,LEDoff
35,1055.047,Measure
36,1056.094,LEDon
36,1084.657,LEDoff
36,1085.188,Measure
37,1086.235,LEDon
37,1114.797,LEDoff
37,1115.328,Measure
38,1116.375,LEDon
38,1144.938,LEDoff
38,1145.469,Measure
39,1146.516,LEDon
39,1175.078,LEDoff
39,1175.61,Measure
40,1176.657,LEDon
40,1205.219,LEDoff
40,1205.75,Measure
41,1206.797,LEDon
41,1235.36,LEDoff
41,1235.891,Measure
42,1236.938,LEDon
42,1265.5,LEDoff
42,1266.032,Measure
43,1267.078,LEDon
43,1295.641,LEDoff
43,1296.172,Measure
44,1297.219,LEDon
44,1325.782,LEDoff
44,1326.313,Measure
45,1327.36,LEDon
